age,birthplace,filename,native_language,sex,path_to_audio,transcription,sewd_mid_transcriptions
45.0,"prishtina, kosovo",albanian7,albanian,female,data/speech_accent_archive/recordings/recordings/albanian7.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snowpiece five thick slaves of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and te big toy frog for the kits she can scoobe these things into three red bags and we will go meet her onece day at ed train station
43.0,"prishtina, kosovo",albanian8,albanian,female,data/speech_accent_archive/recordings/recordings/albanian8.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things from her with her from the store six spoons of fresh snow piece five thick slabs of blue cheese and maybe a snack for her brother bob wielso need a small plastic snake and a big toy frog for the kids she can schoob these things into three red bags and we will go meet her wet wenesday at the train station
22.0,"tirana, albania",albanian9,albanian,female,data/speech_accent_archive/recordings/recordings/albanian9.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the sore six spoons of fresh snow bees five thick slabs of blue cheese and maybe a snack for her brother bob we else o need a small blastic snake and a big toy frog for the kids she can scoove these things into three red bags and we will go meet her wednesday at the train station
39.0,"ouarzazat, morocco",amazigh2,amazigh,male,data/speech_accent_archive/recordings/recordings/amazigh2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plise call stilla ask her to bring thes thanks with her from the store six spoons of fresh snow piece five thick slaps of ble cheese and maybe a snack for her brather bob we also need e smalplasic nack and the big toy frog for the kits she can scoop the thanks into three thrid bags and well go meet her wenesday at the transtation
24.0,"addis ababa, ethiopia",amharic11,amharic,female,data/speech_accent_archive/recordings/recordings/amharic11.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please co ustella ask her to bring these things with her from the store six spoons of fresh snow pees five tick slep of blue cheese and maybe a snack for her brother bob we also need a small plastic snack ind a big toyfrog from the keats she can scoop the stinks into three red backs and we all s we will go meet her ones day at the transdation
26.0,"addis ababa, ethiopia",amharic12,amharic,female,data/speech_accent_archive/recordings/recordings/amharic12.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please coll a stella ask her to bring the stings with her from the stoer six a spoon of fresh snowpiece five stix slopes of blue cheese and maybe a snap for the brother ba her brother ba we also need a small plastic snack and the big toy frog for the kiss she can scope the stings into three red bags and we wiuld go meet her wens day at the trin station
36.0,"werder, ethiopia",amharic16,amharic,male,data/speech_accent_archive/recordings/recordings/amharic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plise called stela ask her to bring thes things with her from the star six sponcs of fresh snow pace five tick slaps of blue cheese and maybe a snack for her brazer bab we also need a small plastic snack and a beak toyfrog for the kits she can scoop thes things into three rid bacgs and we will go meet her wednesday at the train station
21.0,"addis ababa, ethiopia",amharic17,amharic,male,data/speech_accent_archive/recordings/recordings/amharic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring this thing with her from the store six sponce of fresh snew piece five thick slaps of blue cheese a mayby a snack for her brother bob we also need a smll plastic snake and a big toy frog for the kits she can scoob thes things into three ret bags and we'll go to meet her wenesday at the train station
20.0,"addis ababa, ethiopia",amharic18,amharic,female,data/speech_accent_archive/recordings/recordings/amharic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pees five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plassic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
19.0,"tefki, ethiopia",amharic19,amharic,female,data/speech_accent_archive/recordings/recordings/amharic19.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things with her from the store six spoons of fresh snow pees five thick slaps of blue cheese and may be a snack for brother bob we also need a small plastic snake and a big toy frog for the kits she can scoop these things into three red bags and weill go meet her wednesday at the train station
27.0,"addis ababa, ethiopia",amharic3,amharic,male,data/speech_accent_archive/recordings/recordings/amharic3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,blisk collsetta ask her to bring these things with her from the store six spoon off fresh snapies five tick lip off bluechies and maybe a snack for her bride's abot we also need a small plastic snack and big toyp frog for her kips the skanskive these things into three reed backs and we will go meet her whence day at the train station
31.0,"addis ababa, ethiopia",amharic5,amharic,male,data/speech_accent_archive/recordings/recordings/amharic5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plise cores stila ask her to bring these things with her from the stok six spoons of fresh snowpiese five tick slaps of bruse cheese and maybe a snack for her brather bop we also need a smoreclastic sneck and a blick toy frog for the kits stanscope zistings into three red boks and we'll go meet her wednesday or the trainstash
31.0,"addis ababa, ethiopia",amharic6,amharic,female,data/speech_accent_archive/recordings/recordings/amharic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,keys call stela ask her to bring these things with her from the store six ponts of fresh snow keys five six slaps of blue cheese and maybe a snap for her brother bob we oughtso need a small plastic sneak and a big toyphrou for thei kits she can scoop thes things into three red backs and we would go meet her wensday at the tren station
22.0,"jiddah, saudi arabia",arabic102,arabic,male,data/speech_accent_archive/recordings/recordings/arabic102.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things with her from the store six spoons of fresh snowpees five thick thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids we can scoop these things into three red bags and we will go meet her a wednesday at the train station
22.0,"meknes, morocco",arabic16,arabic,male,data/speech_accent_archive/recordings/recordings/arabic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costella ask her to brink these things with her from the stole sixpoons of fresh snow pees five six slabs of blue cheese thene may be a snack for her brother ball we also need a small blestic snak in the big toy frog for the kes she can scoop these things into tree rat backs if we will go mit her wenesday at the transtation
35.0,"settat, morocco",arabic17,arabic,male,data/speech_accent_archive/recordings/recordings/arabic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call still ask how to bring these things with her from the store six spoons of fresh snowpies five thick slabs of blue cheese and maybe a snack for her brother bob we also need a smawbrasic snack and a big toyfrog for the kids she can scoobe these things into three red bags and we will go meet her whence they are the turnestation
18.0,"kuwait city, kuwait",arabic18,arabic,male,data/speech_accent_archive/recordings/recordings/arabic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stilla ask her to bring these things with her from the stalk six spoons of fetch snow pies five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plasty snake and a big toy folk for the kits she can scoo these things into three red bags and we will go meet her wenes day at the train station
18.0,"damascus, syria",arabic2,arabic,male,data/speech_accent_archive/recordings/recordings/arabic2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pees five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small splastic snake and a big toy frog for the kits she can scoob these things into the three red bags and we will go meet her wednesday at the train station
36.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,data/speech_accent_archive/recordings/recordings/arabic20.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call scella ask her to bring these things with her from the store six spoons of fresh snow peeves five thick slaps of blue cheese and maybe a snag of her brother bar we oughtso kneed a smortlastic snake and a big tlowy frog for the kits she can scoop these things into three red bags and ligo meet her wenesday at the train stage
46.0,"beirut, lebanon",arabic21,arabic,female,data/speech_accent_archive/recordings/recordings/arabic21.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colstella ask her to bring these things with her from the store six spoons of fresh snow pees five thick slaps of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kits she can scroop these things into three red bags and we will go meet her wenesday at the train station
23.0,"abu dhabi, united arab emirates",arabic22,arabic,female,data/speech_accent_archive/recordings/recordings/arabic22.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,kees colstela ask her to bring these things with her from the sdoor six poors of frish snow pees five thix slaves of blue cheese and maybe a snat for her brother bop we also need a small plassic snake and a big twiferop for the kigs chekins coop these things into three ret bags and we will go meet her ones day at the dren station
42.0,"al mahalla, egypt",arabic23,arabic,male,data/speech_accent_archive/recordings/recordings/arabic23.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to brang these thanks with her from the store six spoons of fresh snow pees five thick slabs of blue cheese and maybe a snake for her brother bow we also need a small plastic snake and a big toy fride for the kids she can scoop these thanks into three rid bags and well go meet her wenis day at the train station
19.0,"riyadh, saudi arabia",arabic30,arabic,female,data/speech_accent_archive/recordings/recordings/arabic30.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callstela ask her to bring these things with her for the store six spoons of fresh elm spoons of fresh snow peese five thick slaps of boo cheese and maybe a snack for her brother bob we also need a small plassic snack a snack and a big am toy frock for her the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
42.0,"baghdad, iraq",arabic32,arabic,male,data/speech_accent_archive/recordings/recordings/arabic32.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stilla ask her to bring these things with her from the store six spoons of fresh snow pees five thick slobs of blue cheese and maybe snaps for her brother bob we also need a small flassic snap a snake and a big to of rob for the kits she can scroob these things into three thred bags and we will go meet her ones day at the train station
34.0,"kuwait city, kuwait",arabic34,arabic,female,data/speech_accent_archive/recordings/recordings/arabic34.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things with her from the store six spoons of fresh snow pees five thick slaves of blue cheese and maybe a snap for her brother bob we also need a small plastic snake and a big toy frog for the kits she can scoop these things into three red bags and we will go meet her wednesday at the train station
18.0,"jiddah, saudi arabia",arabic37,arabic,male,data/speech_accent_archive/recordings/recordings/arabic37.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costela ask her to bring these things from the store six spoons of fresh snowpiece five thick slebs of blue cheese and maybe a snap for a brother bob we also need a small plastic snake and a bag a toy frog for the kits she can scoobe these things into three ret bags and we will go meet her wednesday at the train station
19.0,"sharjah, united arab emirates",arabic4,arabic,male,data/speech_accent_archive/recordings/recordings/arabic4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please god stela ask her to bring these things with her from the star six spoons of fresh snow pies five thick slaps of blue cheese and maybe a snack for her brother bog we also need a much plastic snack as e victoy frog for the kits she can scoob these things into three red bags and we'll go meet here wenis day at the dran station
23.0,"jiddah, saudi arabia",arabic51,arabic,male,data/speech_accent_archive/recordings/recordings/arabic51.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please called sthella ask her to bring these things with her from the store six spoons of fresh snowpies five thick slaps of blue cheese and maybe a snack for her brother bob we also need a smol plastic snake and a big toy frog for the kits she can scoop these things into three rud bags and we will go meet her ones day at the train station
21.0,"jiddah, saudi arabia",arabic52,arabic,female,data/speech_accent_archive/recordings/recordings/arabic52.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pees five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
22.0,"baghdad, iraq",arabic54,arabic,male,data/speech_accent_archive/recordings/recordings/arabic54.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things with her from the store six spoons of fresh snow pees five thick slaps of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toyfrock for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
43.0,"ain defla, algeria",arabic56,arabic,male,data/speech_accent_archive/recordings/recordings/arabic56.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stila ask her to bring these things with her from the store six spoons of fresh snow piese five thick slevs of blue cheese and maybe a snack for her brother bob we also need a small plastic snacke and a big tawy frog for the keds she can scoop these things into three red begs and we will go meet her wensdi at the train station
28.0,"beirut, lebanon",arabic57,arabic,female,data/speech_accent_archive/recordings/recordings/arabic57.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please goll stella ask her to bring these things with her from the store six spoons of fresh snow piece five thick slabs of flue cheese and maybe a snack for her brother bob we also need a small clastic snake and a big doy frock for dhikets she can scoop these things into three red bags and will go meet her once day at the train station
34.0,"baghdad, iraq",arabic58,arabic,male,data/speech_accent_archive/recordings/recordings/arabic58.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costila ask her to bring these things with her from the store sixy spoons of fresh snow beez a five thixed lops of h blue cheese and may be a snack for her brother bob we also need a small blastic snat snake and a big toy frog for likuets she can scoop these things into three red box and we will go meet her wenis day at the chrine station
55.0,"irbid, jordan",arabic59,arabic,male,data/speech_accent_archive/recordings/recordings/arabic59.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask here to bring these things with her from the store six spoons of fresh snow pees five thick slaps of blue cheese and may be a snack for her brother bow we also need a small plassic snake and a big toy frog for the kibs she can scood these things into three rid bags and we will go meet her once day at the train station
21.0,"sanaa, yemen",arabic6,arabic,male,data/speech_accent_archive/recordings/recordings/arabic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costil ask her to bring these things with her from the sorp six spons of fresh snow beath five fix slaps of blue cheese and maybe a snake for her brother pop we also need a small blassic snake and a bictory frog for the keats she can't scobe this at these things into three rybags and we will go meet her when a ones day at the trinstation
20.0,"manama, bahrain",arabic61,arabic,male,data/speech_accent_archive/recordings/recordings/arabic61.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call scella ask her to bring these things with her from the store six spoons of fresh snow pees five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big tory frog for the kids she can scoop these things into three red bags and we will go meet her wenesday at the train station
23.0,"riyadh, saudi arabia",arabic64,arabic,male,data/speech_accent_archive/recordings/recordings/arabic64.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,a plese colstela ask her to bring these things with her from the star six spoons of fresh snowpiece five thick slaps of bluchies and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kets we can scoove these things into three red bags and we will go meet her wenesday at the train station
32.0,"samail, oman",arabic65,arabic,female,data/speech_accent_archive/recordings/recordings/arabic65.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call steela ask her to bring these things with her from the store six poons of fresh snow pees five thick slaps of plue cheese and maybe as not for her brother's brother pop we also need us more plastic snake an a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wenesday at the train station
55.0,"kerma, sudan",arabic69,arabic,female,data/speech_accent_archive/recordings/recordings/arabic69.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pees go stilla ask how to bring thee things with harpon e stall six spoons o fresh snaw pees bit thick slaps with blue chees and maybe snacked for her brother bob who alsonate a small blastic snack and a big to phraw for the case she can scood thee things into three bags and your will go methraw wensday ag e trestitia
47.0,"casablanca, morocco",arabic70,arabic,male,data/speech_accent_archive/recordings/recordings/arabic70.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bang these things with her from the store six spoons of fresh snow piece five thick slabs of boot cheese and maybe a snack for her brother bob we'll also need a small plostick snack and a big toy frag for the kits she can scroob these things into three red bags and woll go meet her ones day at the train station
20.0,"baghdad, iraq",arabic72,arabic,female,data/speech_accent_archive/recordings/recordings/arabic72.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cold stilla ask her to bring these things with her from the store six poons of fresh snow beas bye thick slabs of blue cheese and maybe a snack for her brother bob we also need a small blastic snake and a big tolly frog for the kits she can scoo these things into three red bags and we will will meet her enesday at the during station
18.0,"alexandria, egypt",arabic74,arabic,male,data/speech_accent_archive/recordings/recordings/arabic74.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callstela ask her to bring these fhings with her from the store six spoons of fresh snow piese five thick slaps of blue cheese and mame a snack for her brover bop we also eat a small plastic snake and a big toy frock for bekids she can scoob these fings into free red backs and we will go meet her ones day at tha train station
