age,birthplace,filename,native_language,sex,path_to_audio,transcription,wavlm_large_transcriptions
45.0,"prishtina, kosovo",albanian7,albanian,female,data/speech_accent_archive/recordings/recordings/albanian7.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snowpiece five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wenesday at at t the train station
43.0,"prishtina, kosovo",albanian8,albanian,female,data/speech_accent_archive/recordings/recordings/albanian8.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things from her with her from the store six spoons of fresh snow piece five thick slabs of blue chees and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wwenese day at the train station
22.0,"tirana, albania",albanian9,albanian,female,data/speech_accent_archive/recordings/recordings/albanian9.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring this things with her from the store six spoons of fresh snow peas five thick slabs of blue chees and maybe a snak for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoov these things into three red bags and we will go meet her wednesday at the train station
39.0,"ouarzazat, morocco",amazigh2,amazigh,male,data/speech_accent_archive/recordings/recordings/amazigh2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stilla ask her to bring dhis thanks with her from the store six poons of frahe snowpise five thick slaps of blu cheese and maybe a snak for her brother bab we also need a smal plastic snack and a big toy frork for the kids she can scoop the thanks into threerid bags and we will go met her wednsday at the trainstation
24.0,"addis ababa, ethiopia",amharic11,amharic,female,data/speech_accent_archive/recordings/recordings/amharic11.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things with her from the store six spoons of fresh snow piese five thick sliep of blue cheese and maybe a snuk for her brother bob we also need a small plastic snagk and a big toy frog from the keats she can scoop this things into three red bogs and we all we will go meet her ones day at the train station
26.0,"addis ababa, ethiopia",amharic12,amharic,female,data/speech_accent_archive/recordings/recordings/amharic12.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring the stings with her from the tor six aspoon of fresh snowpis five tick slops of blu chees and may be a snack for the brother bab her brother bab we also need a small plastic snack and a big toy frog for the kids she can scop the stings into three rad box and we will go met her wenesday at the train station
36.0,"werder, ethiopia",amharic16,amharic,male,data/speech_accent_archive/recordings/recordings/amharic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring this stings wih her from the store six sponse of frehnopace five tick slabs of blu ches and maybe a snak for her broser bab we also need a small plastic snak and a big toy frok for the kids she can scop thei stings into three red box and we will go met her wenesday at the train station
21.0,"addis ababa, ethiopia",amharic17,amharic,male,data/speech_accent_archive/recordings/recordings/amharic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring the s thing wis her from the store six poons of fresh snowpiise five thick slabs of blue cheese and mabe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scouov the sthings into three red bags and well go to meet her woenesday at the train station
20.0,"addis ababa, ethiopia",amharic18,amharic,female,data/speech_accent_archive/recordings/recordings/amharic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the traen station
19.0,"tefki, ethiopia",amharic19,amharic,female,data/speech_accent_archive/recordings/recordings/amharic19.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slaps of blue chees and may be a snack for hea brother bob we also need a small plastic snake and a big toyfrog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
27.0,"addis ababa, ethiopia",amharic3,amharic,male,data/speech_accent_archive/recordings/recordings/amharic3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleise call setta ask her to bring thes tings with her from the store six pun of freh sno pice five ticks sliep of blu chese and maybe a snack for her bride a bob we also ned a small plastic snack and big toy frog for her kids the scanes cof these tings into three reed baks and we will go meet her whensday at the train station
31.0,"addis ababa, ethiopia",amharic5,amharic,male,data/speech_accent_archive/recordings/recordings/amharic5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleise call  stela ask her to bring thes things with her from the stop sixespons of fresh snowpice five tick slabs of blue chies and maybe a snack for her brother bob we also need a small plastic snak and a big toy frog for the kids she can scop these things into three red box and will go met her wensday at the transteche
31.0,"addis ababa, ethiopia",amharic6,amharic,female,data/speech_accent_archive/recordings/recordings/amharic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,cees call stella ask her to bring the things with her from the store sixpums of fresh snow piese five thic slaps of blue cheese and maybe a snack for her brother bob we also ned a smal plastic snak and a big toy frog for the kids she can scoop this things into three red backs and we will go met her wensday at the tran station
22.0,"jiddah, saudi arabia",arabic102,arabic,male,data/speech_accent_archive/recordings/recordings/arabic102.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stella ask her to bring these things with her from the store six spoons of fresh snopies five thick slabs of blu chees and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids we can scoop these things into three red bags and we will go meet her  wednesday at the trainstation
22.0,"meknes, morocco",arabic16,arabic,male,data/speech_accent_archive/recordings/recordings/arabic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stella ask her to bring thes things with her from the stoe sixpons of fresno pees five six  laps of blu chees and maybe a snack for her brother bob we also need a small plastic snake in the big toy frok for the kiys she can scoop theise things into tree red bagks nd we will go mit her wenseday at the tran station
35.0,"settat, morocco",arabic17,arabic,male,data/speech_accent_archive/recordings/recordings/arabic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring thes things with her from the store six pons of fi snowpiese five thick slabs of blue cheese and maybe a snack for her brohther bob we also ned a smal plastic snake and a big toy frog for the kids she can scoo thes things into three red bags and we will go meet her wenze day at the trin station
18.0,"kuwait city, kuwait",arabic18,arabic,male,data/speech_accent_archive/recordings/recordings/arabic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring thise things with her from the stak six spoons of which snow piis five thick slabs of bluue cheese and maybe a snack for her brother bob  we also need a small plastic  snake and a big toy fork for the kids she can scoo these things into three red bags and we will go met her woenes day at the train station
18.0,"damascus, syria",arabic2,arabic,male,data/speech_accent_archive/recordings/recordings/arabic2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store sixpoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into the three red bags and we will go meet her wednesday at the train station
36.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,data/speech_accent_archive/recordings/recordings/arabic20.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pees five thick slabs of blue cheese and maybe a snak of her brother ba we also need a small plastic snaye and a big toy frok for the kaids she can scoov these things into three red bags and ligo meet her wednzeday at the train statio
46.0,"beirut, lebanon",arabic21,arabic,female,data/speech_accent_archive/recordings/recordings/arabic21.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thicck slabs of blu ches and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wensday at the train station
23.0,"abu dhabi, united arab emirates",arabic22,arabic,female,data/speech_accent_archive/recordings/recordings/arabic22.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pese costa askd her to bring thes things with her from the stoor sixpons of fresh snowpies five thick slabs of blue chees and maybe a snik for her brother bop we also need a small plastic snake and a big ty frok for the kids she can scoup these things into three rad bags and we will go meet her nc day at the transtation
42.0,"al mahalla, egypt",arabic23,arabic,male,data/speech_accent_archive/recordings/recordings/arabic23.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these thanks with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these thanks into three rid bags and we will go meet her wins day at the train station
19.0,"riyadh, saudi arabia",arabic30,arabic,female,data/speech_accent_archive/recordings/recordings/arabic30.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callstela ask her to bring these things with her for the store six spoons of fresh am spoons of fresh snow peas five thick slaps of bloo ches and maybe a snack for her brother bob we also need a small plastic snak a snack and a big m toy frock for the kids she can scoop these things into three red bags and we will go meet her onece day at the train station
42.0,"baghdad, iraq",arabic32,arabic,male,data/speech_accent_archive/recordings/recordings/arabic32.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peese five thick slabs of blue cheese and maybe snacks for her brother bob we also need a small plastic sna a snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her ones day at the train station
34.0,"kuwait city, kuwait",arabic34,arabic,female,data/speech_accent_archive/recordings/recordings/arabic34.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabvs of blue chees and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednes day at the train station
18.0,"jiddah, saudi arabia",arabic37,arabic,male,data/speech_accent_archive/recordings/recordings/arabic37.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things from the store six poons of fresh snow piese five thick slabs of blue ches and maybe a snak for a brother bob we also need a small plastic snake  and a bag  o toy frog for the kids she can scoop these things into three red bagks and we will go meet her wensday at the train station
19.0,"sharjah, united arab emirates",arabic4,arabic,male,data/speech_accent_archive/recordings/recordings/arabic4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stela ask her to bring these things with hair from the store six spoons of fresh snow pias five thick slaps of bluo chees and maybe a snack for her brother bob we also need a smal plastic snak and a big toy frog for the kids she can scoop these things into three red bags and wellll go meet here whenist day at the train station
23.0,"jiddah, saudi arabia",arabic51,arabic,male,data/speech_accent_archive/recordings/recordings/arabic51.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snowpies five thick slabs of blue chees and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three rud bags and we will go m har ones day at the train station
21.0,"jiddah, saudi arabia",arabic52,arabic,female,data/speech_accent_archive/recordings/recordings/arabic52.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her oednesday at the train station
22.0,"baghdad, iraq",arabic54,arabic,male,data/speech_accent_archive/recordings/recordings/arabic54.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fressh snow pease five thick slabs of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meat her odnes day at the traien station
43.0,"ain defla, algeria",arabic56,arabic,male,data/speech_accent_archive/recordings/recordings/arabic56.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stilla ask her to bring these things with her from the store six spoons of fresh snow pies five thick slibes of blue chees and may be o snack for her brother bob we also need a small plastic snake and a big toy frog for the kiieds she can scoop these things into three red baegs and we will go met her wensdy at the train station
28.0,"beirut, lebanon",arabic57,arabic,female,data/speech_accent_archive/recordings/recordings/arabic57.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call steala ask her to bring these things with her from the store sixspoons of fresh snowpease five thick slabs of fliu cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy froghk for the kids she can scoop these things into three red bags and we will go meeat her wense day at the train station
34.0,"baghdad, iraq",arabic58,arabic,male,data/speech_accent_archive/recordings/recordings/arabic58.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store sixespons of fresh snowbees a five thick slops of blue cheese and maybe aa snack for her brother bob we also need a small plastic nsnake and a big toy frog for the kits she can scoop these things into three red box and we will go neat her when it day at the train station
55.0,"irbid, jordan",arabic59,arabic,male,data/speech_accent_archive/recordings/recordings/arabic59.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,lease call stella ask here to bring these things with her from the store six spoons of fresh snow pease five thick slabs of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can schoo these things into three rid bags and we will go meet her ones day at the train station
21.0,"sanaa, yemen",arabic6,arabic,male,data/speech_accent_archive/recordings/recordings/arabic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colstella ask here to bring this things with hair from the sto six pons of fresh snow beys five thick slaps of bluches and may be a snake for heir brother bop we also need a smal blassick snake and a big toy frok for the keats she can scop this  these things into three ri bags and we will go meet her w oense day at ther trien station
20.0,"manama, bahrain",arabic61,arabic,male,data/speech_accent_archive/recordings/recordings/arabic61.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snowpiese five thick slabs of blue chees and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wenes day at the train station
23.0,"riyadh, saudi arabia",arabic64,arabic,male,data/speech_accent_archive/recordings/recordings/arabic64.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow piece five thick slaps of blucies and may be a snack for her brother bob we also need a smal plastic snake and a big toy frog for the kids we can scoop these things into three red bags and we will go meet her wenes day at the train station
32.0,"samail, oman",arabic65,arabic,female,data/speech_accent_archive/recordings/recordings/arabic65.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call steela ask her to bring these things with her from the store sixpouns of fresh snow pees five thick slaps of blu cheese and maybe a snak for her brothers brother pop we also need a smal plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her whenes day at the train station
55.0,"kerma, sudan",arabic69,arabic,female,data/speech_accent_archive/recordings/recordings/arabic69.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring thi things with her from the stove six spoouns of freh sno ps five thick slovs of  bluo ches and maybe snagk for her brother bob we also nede a smal blstic snak and a big tal frok for the kise she can scu the things into three backs and wel weill go met her wensda at the tranestation
47.0,"casablanca, morocco",arabic70,arabic,male,data/speech_accent_archive/recordings/recordings/arabic70.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these thinks with her from the store six poons of fresh snowpies five thick slabs of blo ches and maybe a snack for her brother bob we also need a small plastic snack and a big toy frag for the kids she can scoup these things into three red bags and well go meet her ones day at the train station
20.0,"baghdad, iraq",arabic72,arabic,female,data/speech_accent_archive/recordings/recordings/arabic72.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stola ask her to bring these things with her from the store sixpoons of fresh snow bes fyve thick slabs of blue cheese and may be snik for her brother bob we also need a small plastic snake and a big toy frok for the kidts she can scoo these things into three red bags and we will go met her whens day at the train station
18.0,"alexandria, egypt",arabic74,arabic,male,data/speech_accent_archive/recordings/recordings/arabic74.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these fings with her from the stor six poons of fresh snow pease five thick slabs of blue cheese and may be a snack for her brover bob we also need a small plastic snake and a big toy frok for te kids she can scoo thees fings into free red backs and we will go meet her odnes day at the train station
