age,birthplace,filename,native_language,sex,path_to_audio,transcription,unispeech_large_transcriptions
45.0,"prishtina, kosovo",albanian7,albanian,female,data/speech_accent_archive/recordings/recordings/albanian7.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas coll stellaascor to bring thes tings with her from the stor sics spons fressh snopes five thick slabs of bloces  and maby a snag for her brother bobwe lso need a s mall plastic snake and he big toyfrog for the kids e sheican scop this tangs into three red bags and whevill go met her wensday atad trin station
43.0,"prishtina, kosovo",albanian8,albanian,female,data/speech_accent_archive/recordings/recordings/albanian8.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please collstellae askher to bring theese things from her  with her from the stor  sics poons of fresh sno pes  five fick slabs of bloo ces and mab a snag for her brother bobe we allsoned ae small plastic snak and a big toy frog for the kids  she can sqoob thes things into thr red bags and wewille go met her wee whens day at the trin station
22.0,"tirana, albania",albanian9,albanian,female,data/speech_accent_archive/recordings/recordings/albanian9.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,eplease cole stella ascor to bring thes tings wither from the stor sic s pons o fresh sno pes five fhick slabs of blu cjes and maybe a snagk for her brolher bobewe alson ned a small plastic snake an a big toy frog forthe cids shecanscoobles tings into thrred bags and revellgo met her wensday at te train s tation
39.0,"ouarzazat, morocco",amazigh2,amazigh,male,data/speech_accent_archive/recordings/recordings/amazigh2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas col stelem ascor o bring distanks with her from he store sis ponsee frae snopes five tik slaps of blujiees and maybe a snagk for her brother bol we also kneed a s mal plastik snack and e big toy frog for the kids she can scopedie thanking to threed red bags and e wego met her wens day at the trin station
24.0,"addis ababa, ethiopia",amharic11,amharic,female,data/speech_accent_archive/recordings/recordings/amharic11.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas cal stella ascor to bring dis things with her from the store  sixe spoons of fresh snowpes five tig slip o blu  chiesand mabe a snoug for her brother bob whe also neede a small plastic snag in a big toyfrog from the kits shecaned s cop distings   into thre red bos  and we als we well go med her woensday at the trinstation
26.0,"addis ababa, ethiopia",amharic12,amharic,female,data/speech_accent_archive/recordings/recordings/amharic12.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,polase cold steallo ask her to brig destins with her from dhe stor  siksesspono fresh snopes fivestis sloks of blou ces and maybe a snug for the brother bo her brother bbwhe allso need a smolrle plastic snag and the big toy frog for the kidsshe can scolp distins into thre read bags and wegelgo metd her ewhenstay atthe trinstation ddd
36.0,"werder, ethiopia",amharic16,amharic,male,data/speech_accent_archive/recordings/recordings/amharic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plscolstella askerd to brig distingish with her from the stor sixs spons of fres sno pis five tick slaps of blogis and mabe a skngg for her broser bob  we also needed small plastic snagand a bigtoy frob folder kids  she canscop distingis into thre red bobseand we willgometer wensday ade trin stacone
21.0,"addis ababa, ethiopia",amharic17,amharic,male,data/speech_accent_archive/recordings/recordings/amharic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,e pleas caomlstella askur to bring di stingwis her from dhe store si spns of fresh snopes flivetig slabs of blouou ches amaby a sng for her brother bob whe also ned d a smal plastic snake and a big toyfrog for the kidts sheican schobe distins into thre red begs and will go to met her wens day   at the train station
20.0,"addis ababa, ethiopia",amharic18,amharic,female,data/speech_accent_archive/recordings/recordings/amharic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,epleas caollstella asckuerd to bring these things with her from the stor  sik bpons of fresh sno pes  five thic slabes of blu ches and maybe a snach for her brother bob we also ned small plasstic snack and big toy frog for the cids she caen schop the things into three red bags and we wll go meat her whensday at the trinstation
19.0,"tefki, ethiopia",amharic19,amharic,female,data/speech_accent_archive/recordings/recordings/amharic19.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gollstella   askoer to bring te s things with her from the stor sik spons oaf fresh sno pes   five thick slabs of blu ches   and maybe a snach foer brother bob    whe also need a small plastic snak and big toy frog for the kids she cn schoop these things into thre redbags and wellgo medt her whensday at the trainstation
27.0,"addis ababa, ethiopia",amharic3,amharic,male,data/speech_accent_archive/recordings/recordings/amharic3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plas  colseet ask her to bring distingish whith her from the stor sis spon off fres nopiese five tics sleb of bluces and maybe snoggd for herbridse bobewe also ned s malle plastic snack and bigtofrogfor kids discans co distings into thre red bacgs and we will gometer whens day at te train station
31.0,"addis ababa, ethiopia",amharic5,amharic,male,data/speech_accent_archive/recordings/recordings/amharic5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pls coles stella ask her to bring zistings  with her from the sto sicx sponsoe fresh snopes fivetic slabs ofe bluches and maybe snagg for her brother bobwe also ned a smalplastic snack and a big toy frog forezacidssh candscop zistinges into thr red bagsand wil go midt hir wensday athe traine stashon
31.0,"addis ababa, ethiopia",amharic6,amharic,female,data/speech_accent_archive/recordings/recordings/amharic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,cles colestela askhaer to brig de stings wother fromndtestore sispons o fresh sno  pes  five sti slags of blu ces and mabe a snug for her brother bobiewe allso ned a small plastic snagk and a big toyfroe for the kidse shican scop distings into thrbee backsand weweld go met her wenste at te trenstathon
22.0,"jiddah, saudi arabia",arabic102,arabic,male,data/speech_accent_archive/recordings/recordings/arabic102.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas cous stella  os curedta bring thes things with her from the stor  sic spoons o fresh sno pes five thi thick slabs of blu cees and maybe a snake for her brother bob whe also need small plastic snak in a big toyfrogd for the kids we can sthoe thes things into thre red bags and we wl go met her o wensday at the trin s taton i dt
22.0,"meknes, morocco",arabic16,arabic,male,data/speech_accent_archive/recordings/recordings/arabic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,cgles costellae as her to bringk distings bet her from the stoe sixspons of fress no pbas fivestic slabs of blou ces te mabe a snagg for her broter boll we allso ned a small plastic snake in the big dtoy froc for de kids shei can scoope distains into trradt bacds wevellgomis her wensday ater transtation
35.0,"settat, morocco",arabic17,arabic,male,data/speech_accent_archive/recordings/recordings/arabic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colstel ask ot to bring distants with her f oundtherstore si pons of fres snopes five thicslabs of blu cheseand may bye snack e for hebrother bob  wills onni smae plastic snak and big toyfrog fo the kids she can scole tistins into thr redbags and wewe go met here wensthay at detranstation
18.0,"kuwait city, kuwait",arabic18,arabic,male,data/speech_accent_archive/recordings/recordings/arabic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ffff iles colstele ask her to braing thes things withu f rom thestoee siks spuns of pach snopesee five thiks slubs of bluo cisee and mabe a snuge f or herbrothers bobe we allsou ned a small plastick snagk and bic toyfog for the kids she canscoe this things into thrgede bagse eand we wold go mat hee wons day at the  eeetrain stasion
18.0,"damascus, syria",arabic2,arabic,male,data/speech_accent_archive/recordings/recordings/arabic2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,eplease call stella ask her to bring thes things with her from the store si pons of fresh snow pees  five thic slabs of blu chees and maybe a snag for her brother bob we also need a small splastic snak  and big toy frog for the kids she can scoob thes things into the thre red bags and we will go meet her wensday at the train station
36.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,data/speech_accent_archive/recordings/recordings/arabic20.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas col stella ask hor to grinng thes tings with her from the stor sis spons of fresh snopes five fick slabs of ploocs and maybe a snag of her brother bal we also kwed a smallplastig snade and oe big toy frog  forthe kits she canscoe thes things into thre red bags and ungomeat her wens tay at the tran stashi
46.0,"beirut, lebanon",arabic21,arabic,female,data/speech_accent_archive/recordings/recordings/arabic21.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plas colstelaaskher to bring thes things with her from the store sis spons of fresh snopesfive tigk slabs   of blo ces and maybe a snage for her brother bob we allso ned a small plastic snage and a big to frog forthe kids shecans cop thes tings into thre red bags and we wll go met her wensday at the train station
23.0,"abu dhabi, united arab emirates",arabic22,arabic,female,data/speech_accent_archive/recordings/recordings/arabic22.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pas consteaskrod to brang ditins woth herrer fome thes toreeshix pons of frese sno pe five this labes oh blu ches annbis nne for her brother bobpe we also ned a small plastic snage and a victo for poordckeus chickalnscow tings into threwedads  and wevilgometer wones tda ate transtation
42.0,"al mahalla, egypt",arabic23,arabic,male,data/speech_accent_archive/recordings/recordings/arabic23.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,eplease coll stellaeaskor tobranvwe thanks with her from the storee  sit spons of fresh snow pees  five fig slabs of blu chees and mabe a snak for her brother bobwe allso need a small plastic snak and a big toyfrog for the ckids she can schoope these thanks into thre red bagse andwyl go met her wonsday at the train station
19.0,"riyadh, saudi arabia",arabic30,arabic,female,data/speech_accent_archive/recordings/recordings/arabic30.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pfas costella as cr to bring these things with her for the s tor sixpuns ive fresh ame spoonsoirve fresh s no peis five thigks lampser boochiees and mabe asnack for her brother bob whe also need s mall passti snack m  snack and he vigom toyfrok for er th kidsshe kan scoop these things into thre red bags and wewill gole met her wens day at the trinstation
42.0,"baghdad, iraq",arabic32,arabic,male,data/speech_accent_archive/recordings/recordings/arabic32.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas colle stellaeeaskor tobring these things with her fon dhes door sixs spoons o fresh sno pees fie cic slabs ofp blu ces and mayby snags for her brother boe whe also nee a smal plastic snah o snaa and a big toy fr  for the cids shecan s coub thes things into threhred bags  and we wll go meat her ons dy at te trainstation
34.0,"kuwait city, kuwait",arabic34,arabic,female,data/speech_accent_archive/recordings/recordings/arabic34.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas coll stolla askhur to bring teys things with her from the stor sis spons ar fresh snow peesfive fic s labs of blu chees ind meybe snagd for her brother bobewe also nee a small plastic snake in a big toy frog for the kids she cn scoop thes things into thre red bags and we will go met her wensday of the train station
18.0,"jiddah, saudi arabia",arabic37,arabic,male,data/speech_accent_archive/recordings/recordings/arabic37.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,fplease cos stela oskuor to bring thes things from the stor sics pons of freshsnopes fie fi s labs of bluces and maybe a s nag forored brotther bolb we also need a small plastic snak  and ebag fo o toy frog for te cids chicanscoobes things into  hrered bogs and wilgometer whensday at the trainstashone
19.0,"sharjah, united arab emirates",arabic4,arabic,male,data/speech_accent_archive/recordings/recordings/arabic4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please coled stalla ask hare to bring these things with her from the stor sis pons of fresssnoe pes five tiks slapps of blu ces and maybe a snug for heyr brother bob wit ot to ned a s male plastic snak ate vick toy frog for the kids she cans cooub these thingse into thre red bags and wel gow metar wen s day at ther tran staton
23.0,"jiddah, saudi arabia",arabic51,arabic,male,data/speech_accent_archive/recordings/recordings/arabic51.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas cose tellaeask her to bring thes things with her from the stor  sis pons o fresh snopes  five thigk slabs of bluthees  and maybe a snag for her brother bob we also need a smalle plastic snake and a big toy frog for the kits she can s coop thes things into three red bags and we will go me heire wons day at the train station
21.0,"jiddah, saudi arabia",arabic52,arabic,female,data/speech_accent_archive/recordings/recordings/arabic52.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please coll stella oaskher to bring thes things with her from the stor sik spons a fresh snow pes five hick slabs of blu chees and maybe a snoc for her brother bob we also neet a small plastic snak and a big toy frog frd the kids she can scoop these things into three red bags and we will go met her whensday a the train station
22.0,"baghdad, iraq",arabic54,arabic,male,data/speech_accent_archive/recordings/recordings/arabic54.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas co stella ask her to bring thes things with her from the s tor siks spons o fres snow pes  five fic slabs of blu ches and maybe e snace for her brother bob we also need a small plastic snake and a bic toyfrog for the cits she can scoopthes things into thre red bags and we will go meat her wons day at the trainstaeton
43.0,"ain defla, algeria",arabic56,arabic,male,data/speech_accent_archive/recordings/recordings/arabic56.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plese cole stela ask her to bring thes things with here from te store sikxspons off fresh snowpis five fick slabs of blu ces and maybe o snacke for her brother bob we oalso ned o small plastick snak and big toy frog for the kids she can scoop these things into thre red begzs and we will go met her wsdy at thetrain station
28.0,"beirut, lebanon",arabic57,arabic,female,data/speech_accent_archive/recordings/recordings/arabic57.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas calles tea  askor to bring hes things with her from the stor sig pons affresh sno pes  five ficg labs of flu cese and maybe a snacg for her brother bob whe also ned small plastic snage and a big toy froc for dhe ceds she can sqoop te things into three red bags and evielgo met her wens day at the trinstation
34.0,"baghdad, iraq",arabic58,arabic,male,data/speech_accent_archive/recordings/recordings/arabic58.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,las colstella as hur toberiang thes things with her fron the store sis ispons olfresh snowbes a fi fik s lobs of blou ces andmybe a snagg for her  brother bob we also need a small plastic sna snack and a big toyfrog for lckids she can s koop thes things into thre red bogs and we willgow nedt her weins day at the transtation
55.0,"irbid, jordan",arabic59,arabic,male,data/speech_accent_archive/recordings/recordings/arabic59.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ffplas costelae ask her to bring thes things with her from the stor   sics spons o fressh snow  pasfie fick slabs oe blu ces and mabe a snach for herbrotherebob e whe also ned a smoll plastic snace and a big toy  frog for the kidsee shecan sco thes things into thre red bags and we wil go met har wones day at the trainstation
21.0,"sanaa, yemen",arabic6,arabic,male,data/speech_accent_archive/recordings/recordings/arabic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,s pleas costil ask her to braing thes things with heure from the s tore sispons of fres s no bes fietucs slaps of glousis and mabe a snage for herebrother bobe  we allso ned a small plastic snae undere bectoy froge for the ckits she canscopp this a thise things into threded b bag  and we will go met herd wen wones day at that trinstasion
20.0,"manama, bahrain",arabic61,arabic,male,data/speech_accent_archive/recordings/recordings/arabic61.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stello askher to bring the things with her from the stor si  pons or fresh snopesee five thic slabs of bluces and maybe a snack for her brother bobwe also need a s mall plastic snace and de big toy frok for the kidse she can scoobe hes things into thre redbags  and ll go met her wenes day out te train station
23.0,"riyadh, saudi arabia",arabic64,arabic,male,data/speech_accent_archive/recordings/recordings/arabic64.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas colstella  askur to bring thes tings with her from the stor  siks spons  fresh snopes five thik slabs of blou ties and mabe a snach for her brother bobe we also ned a smalleplastic snacg and e big toooy frog for the cetse whe can scoob thes tings into thre red bags  and we will go met her wins day at thetrain stastioneeee
32.0,"samail, oman",arabic65,arabic,female,data/speech_accent_archive/recordings/recordings/arabic65.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,eeepleas col stel ask her to bring thes things with her from the s tor sis pons of fresh snopes  five thik s lapbs of ploo ches  and maybe a snoghe for her brothers  brother pop we also ned a s molle plastic snak an a big toy frog foor the kids  she gon scoop thes things into thr red bags  and we well go met her wenes day ated train stationheheee
55.0,"kerma, sudan",arabic69,arabic,female,data/speech_accent_archive/recordings/recordings/arabic69.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plas god stellae ask hatonly thinst s hor brom he stoee shikspo s ofrecs nopos  hithic slofs  bookes eand mab sngge efor her broter bobeho astornad a small blasti sngkh and bitetory prod  forthe kis  shigkanscoody thinks  into thre bas and wulwillgomdt heor wonsdy adedtrestaton     o o
47.0,"casablanca, morocco",arabic70,arabic,male,data/speech_accent_archive/recordings/recordings/arabic70.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,fffpleas costelo escutuoping distins   with her from the sto sic pons o fresh snopes five thik slabs of bolooces and maybe a snak for her brotherbob where also ned a smalle plastic snack and a big toy frog fotekids she canscoob distings into thre wedtbegs and wotgo  met here monsday at the trinstation
