age,birthplace,filename,native_language,sex,path_to_audio,transcription,sew_small_transcriptions
45.0,"prishtina, kosovo",albanian7,albanian,female,data/speech_accent_archive/recordings/recordings/albanian7.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please clolhes talla askher to bring these things with her from the store si spoons of fresh snow peeese five thix lavs off blu cheese and mabia snak for her brother bob we allso need a small plastic snak and ha big doy frog for the keds she can scoop theese things into threeread bags and wereall goo meet her wins thay at at trainstation
43.0,"prishtina, kosovo",albanian8,albanian,female,data/speech_accent_archive/recordings/recordings/albanian8.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stallaask her to bring these things from her with her from the store six spooons off fresh snow peese five fixlabs of blu cheese and mebia snac or her bother bobweol son net the small plastic snak and a big toy frog ffor the kide she can scoob these things into threered bags and we willgo meat her we wensthay at the transtation
22.0,"tirana, albania",albanian9,albanian,female,data/speech_accent_archive/recordings/recordings/albanian9.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stellaascer to bring thes things with her from the sarsicspoons of fresh snow beeesefive thikes labbs of blu cheesenmeebia snac for her brother bobwe llso ned a smlblestic snak an a big toy frog for the cidsshe can scroove thes things into three rad vags and weill gomeet her wens day at the trainstation
39.0,"ouarzazat, morocco",amazigh2,amazigh,male,data/speech_accent_archive/recordings/recordings/amazigh2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,poleas cald stilla ascurgs tr bring dis thanks with her from the storesicspoons of fras snow pees five thixslaps of blucheees and mabiasnag for her brither bobwe olso need he smoplasicsnag and the bik toy fog for the kidsshe can scopdit thank s into threethreed bbags and wl wledelemet her wends the ad the transtation
24.0,"addis ababa, ethiopia",amharic11,amharic,female,data/speech_accent_archive/recordings/recordings/amharic11.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleascol with stilla usort s of bring thes things with her from the store sic spoons of fresh snow pees fie tic slip of blu cheeese and  maybe a snug for her brother bopwe also neet asmall plastic snuk in a big toyfrog fro the ceedeshe con a scoop destings into three red busand we alsw will gow meet her one sday at the transtation
26.0,"addis ababa, ethiopia",amharic12,amharic,female,data/speech_accent_archive/recordings/recordings/amharic12.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleasecold hestallaaskher to brin thsthings with her from thus tre sis a spoon of fresh smapeas fie tiks slops of blu chees and may bee a sno for ther brother bp her brother bopwe alsow neeed a smlr plastic n snak an dha big toy frog for thea kevesshe can scop thestings into three radbks andd we would gomet her wen sty othe transtation
36.0,"werder, ethiopia",amharic16,amharic,male,data/speech_accent_archive/recordings/recordings/amharic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plescald stalarask er to bring thistingis with her from the storsix spons of fresh snopasefive tiks lves of bojeees and mabee asnot for her brother bobwe allso need a small plostic snacand abeagtoyfrog for theirkitsshe cn scop distingis into three wadbags and we willgometherwenstay undertranstation
21.0,"addis ababa, ethiopia",amharic17,amharic,male,data/speech_accent_archive/recordings/recordings/amharic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ascer to bring the sthing wis her from the storsic sphons of freshsno es five thic slaps of blu chees a meaevia snac for her brotherer bopwe also nee a small plastic snak an a big toy frog for the cisshe can scoop thsthings intoo three red bags and will o to met her onestaeat the trainsteation
20.0,"addis ababa, ethiopia",amharic18,amharic,female,data/speech_accent_archive/recordings/recordings/amharic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stellaascer to bring thease things with her from the storsicspooons of fresh snow pees five thik slabs of blu chees and maybe a snak for her brother bobwe allso med a small clasic snak an a big toy frog for the kidsshe con scoopiese thins into three red bags and we willl go meeat her wenesday at the transation
19.0,"tefki, ethiopia",amharic19,amharic,female,data/speech_accent_archive/recordings/recordings/amharic19.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please golstalla askher to bring these things with her from the storesik spoons of fresh snow peesfive thick slaps of blu cheeese and maybe a snac for ea brother bobwe also mett a small clastic snak and a big toy frog for the gits she con scup these things into three red bags and welgo meet her wene s day at the transtation
27.0,"addis ababa, ethiopia",amharic3,amharic,male,data/speech_accent_archive/recordings/recordings/amharic3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,blisccol set ask her to bring thestings with her from the store sixponoll freshsnorpiesfive teks lip of bluciees and mabiy is not or her brites abopwe olso met t s mal plastic snack and big toith frob for herckivs the scanescup thestings into three reed baks and we will gometherwenstey out etrainstation
31.0,"addis ababa, ethiopia",amharic5,amharic,male,data/speech_accent_archive/recordings/recordings/amharic5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plasecorters stealaaschar to bring thestings wes har from the stoksics sponsolfe fresh snopieesfieftic slapsof bruscheesand maybe asnack for hare brotherd boakwe alrso need as morustic sneac and ablic toye frog fore vacitshconscop zestings in to sreylate bgsand wel co methire wensteay onte transtash
31.0,"addis ababa, ethiopia",amharic6,amharic,female,data/speech_accent_archive/recordings/recordings/amharic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ceas colth staylaascor to bring thes things with her from the storsik ponsl freshsopeasefive tiks lvs of bleu cheesand mabiasnck for her brother bolbwe olslol met asmor clostic smak and a big toyfro for their kitsshe can scoop les thing s into threelat baksand woman gold meth her wean s the aitha transtation
22.0,"jiddah, saudi arabia",arabic102,arabic,male,data/speech_accent_archive/recordings/recordings/arabic102.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleases call stellaouscartor bring thes things with her from the stor siksoons of fresh snowpeees five fi thic slabs of bluchees and maybe a snack for her brother bob we also mee a small postiks nae in a big toy frog fo the kids we can scop thes things into thre red bags and we will go meat her of ones stay at the trans tation
22.0,"meknes, morocco",arabic16,arabic,male,data/speech_accent_archive/recordings/recordings/arabic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas costella askk her to brink thestings wet here from the stoll sixspoons of fresnal pees fife ticslabes of blu chees th maybasnagg for her brother boalwe also nee a small plesticsnage in the bi toyfrok for the ees she can scoop thestings into tree rat baks f we wel gomate her wensday at the transtation
35.0,"settat, morocco",arabic17,arabic,male,data/speech_accent_archive/recordings/recordings/arabic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pease calls stee uscor to bring thes tings with her from the stooresickspons of fresnell peasefive thickslabs of bleu cheesean maybe e snak for her brother bobwlso nee the smlprestic snek and a big toy frog for the cedsshe can scoob thies tings into three red bagsand we well go meet herwens the adetranstation
18.0,"kuwait city, kuwait",arabic18,arabic,male,data/speech_accent_archive/recordings/recordings/arabic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleees cols tilearask her to bring thes things withu from the stopsixcoons of plessno peefive thi slabs off blu cheeszand maybe axsnack fol he brother bowe all so met a small lastik snak an the bic toy forg for the cidsshe can sco tes things into seged bagsand we will go met haones day at that trains tation
18.0,"damascus, syria",arabic2,arabic,male,data/speech_accent_archive/recordings/recordings/arabic2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please called stelrask her to bring these things with her from the stooresikspoons of fresh snow peesefive tic slabbs of blu cheeese and maybe a snak for her brother bobwe also neeat a smalls blastic snak and a big toy frog for the kidsshe can scoo these things into the three red bags and we will go meet her wen stay and the trainstation
36.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,data/speech_accent_archive/recordings/recordings/arabic20.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please called stala ask her to bring thes things with herromn the stowsixscoons of fresh snow pees fived fikslas off bloochees and maybe a snack of her brothert falwe also en thesmolastic sna and a big tloy fron for the kitsshe can scoo thes thims into hered bags and wellegolmeedhe wanste a the fen stish
46.0,"beirut, lebanon",arabic21,arabic,female,data/speech_accent_archive/recordings/recordings/arabic21.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas colth stela ask her to brin pese thingswith her from the storesisclons of fresh snow peesefif thikslaps of leo cheese and maybe asnak for her brother bobwe also need a small plastic snak and a bigtoy frog for the citsshe an scroop these taings into threee redbaksand w will gool meat her wenstey at the trainstation
23.0,"abu dhabi, united arab emirates",arabic22,arabic,female,data/speech_accent_archive/recordings/recordings/arabic22.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,phe s calsd teas hr to bring thes things with hurr from the sdoresixtors of frissnol peefive thixt lives ol blu cheesnnavie is nign for her brother baakwe also neeatth smol plasticsnac an a biktoy fr for the keshe can scoop thes things into threrigbgsand we willl gol meesher wonsday at tha transtation
42.0,"al mahalla, egypt",arabic23,arabic,male,data/speech_accent_archive/recordings/recordings/arabic23.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,clease call stellarasker to brain veet thangs with her from the storesik spooons of fresh snow peesefive thik slabs of bu ceeseand maybe a snak for her brother bopwe al so neet a small plastic snac and a big toy frig for the kidshe can scoop thease thanks into threee red bags and wililll go meet her wins day ad the trainstation
19.0,"riyadh, saudi arabia",arabic30,arabic,female,data/speech_accent_archive/recordings/recordings/arabic30.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cll sd tlla askcer to bing these things with her for the storsispoons of fresh um swhoons of ffresh sno peease five thik lps of buchees n mabe a snak for her brother bop whe also ned a smallplassic snack ea snack and a bigem toy fronk for er the cids she can scoop these things into threy red bags and we will gob meet her wonesday at the transtation
42.0,"baghdad, iraq",arabic32,arabic,male,data/speech_accent_archive/recordings/recordings/arabic32.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cald stila asker to bring these things fit her from the sflor six spoons or freshsnow peeaesfive thikslows of blu cheeesan mabee snacses for her rother bowe also need a small plasic snat  sneacan a big tory brod for the kitsshe can scup these things into threeth red bagsand we will girlmet her ones thay at the transtation
34.0,"kuwait city, kuwait",arabic34,arabic,female,data/speech_accent_archive/recordings/recordings/arabic34.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella askher to bring these things with her from the store sikspooons of fresh snow peese five fixslabbs of blu chees and maybeas snack or her brother bob we also need a small plastik snak in a big toy frog for the kids she can scoop these things into three red bags and weewill gow meat her wen stayat the trainstation
18.0,"jiddah, saudi arabia",arabic37,arabic,male,data/speech_accent_archive/recordings/recordings/arabic37.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cos stela uscr to bring thes things from the storesixspoons of ffresh nor pees five fikes lbs of bludies and maybe as nt for a bother bpwe al so neete as morebles tisnake for undebug foha toy frog for the ceadsshe can scoop these things intolthrered blks and dwe il gomeater wen they ad the treainstate
19.0,"sharjah, united arab emirates",arabic4,arabic,male,data/speech_accent_archive/recordings/recordings/arabic4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pease car stla ask are to bring these things with heare from the stare sicspoons of fresh sno pees five fikslaps of blu cheeese and maybe as nac for hear brother bob we ot to need as morprustic snak ade the bic tory frog efor the kits she cn scub these hings into three red bungs and weelgon  neete hare wenesday ut that tanstation
23.0,"jiddah, saudi arabia",arabic51,arabic,male,data/speech_accent_archive/recordings/recordings/arabic51.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call fhellaask her to bring these things with her from the storesiksspoons of fresh sno peeese five thik slaps off blu cheeese and maybe a snac for her brother bobwe also neet a smalplastic s nak and a big toy frog for the citsshe can scup thes things into three red bags an e wll gomee har ones daey at the transtation
21.0,"jiddah, saudi arabia",arabic52,arabic,female,data/speech_accent_archive/recordings/recordings/arabic52.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stella asker to bring veese things with her from the store sikspooons of ffresh snow peese five fi slubs of blu cheese and maybe a snac for her brother ob we allsow need a smal plssics snak and a big toy frob for i the kidsshe can scooop these things into three red bags and wewlgow meat her wnesthay at the trans station
22.0,"baghdad, iraq",arabic54,arabic,male,data/speech_accent_archive/recordings/recordings/arabic54.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cals stella ask her to bring tese things with her from the storesick spoons of fresh snow peese five ficslapps of blu cheese and maybe a snack for her brother bobwe also need a small plastic snakand a bik toyfrog for the kids she can scroup these things into three red bags and we will gol meether ones dayat the transtation
43.0,"ain defla, algeria",arabic56,arabic,male,data/speech_accent_archive/recordings/recordings/arabic56.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please coloesteea  ask had to brding thes pngz wethe had frongb the stre sixspoons o fresh snall peasze five fike sleibes of bucheesze and maybe or snake for had brother bobba we allso need or smol plostic snak and th big toye frog for the keedsz she can scoop thes thingz into thre aed begz and we wee gomeet haduenste outto the train station
28.0,"beirut, lebanon",arabic57,arabic,female,data/speech_accent_archive/recordings/recordings/arabic57.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gallds talla ascer to bring des things with her from the sthore sixspooons of fresh sno peesefive fiks labs of flu cheeseand maybe a smack for her brother bobwe allso need a small classtic smak  and a bik doy frocd for dicatesshe can scop tee things into thre red bagsand  will go meat her ones day at thetrainstation
34.0,"baghdad, iraq",arabic58,arabic,male,data/speech_accent_archive/recordings/recordings/arabic58.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,leas cols thilla as her to bring these things with her frong the stoursitsthe spoons of fresh snowbees five fix lops off  bluhese enmaybee asnac for her brother bopwe also eed ae smallblasticny esnacc and a big soy frog forlicets she cn scop these things into three rat boks and we wll golmeat her wen esday at the shnistation
55.0,"irbid, jordan",arabic59,arabic,male,data/speech_accent_archive/recordings/recordings/arabic59.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,eas cals stealearalscare to bring these hings with her from the stosifooes of fresh snow peesfive fikslas of bblu cheesand may be a snack for her brother bobwe also need a smoll plasicsnakeand a big toyfrog for the kisshe can scoll these things into hreee red bagsand we willl go meat have ones day at the trainstation
21.0,"sanaa, yemen",arabic6,arabic,male,data/speech_accent_archive/recordings/recordings/arabic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleas coscilaaskhar to bring thes things with her from the torsixspns of fres snl bees five fixsleps off crocheesn maybe a sna for her brother popwe allso ned he smolblesigsnek undavictory broth for the keeds she con scok ththis athes thinks into threedai bt bagsanwelol go met her wen barons day aded tha trastation
20.0,"manama, bahrain",arabic61,arabic,male,data/speech_accent_archive/recordings/recordings/arabic61.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,clease called sthella askar to bring these things ithere from the store sicspoons of fresh sn peese five thic slabbs of blueese and maybe a snark for her brother bobwe also need a smal clostiksmak onthe big toryfrolg for the cidsshe can scoopp these things onto threered bags anel gomeater wenesday ouf the transtation
23.0,"riyadh, saudi arabia",arabic64,arabic,male,data/speech_accent_archive/recordings/recordings/arabic64.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,aplease cal stella ascoftobring these things with her from the starsics spoons of fresh snow peesfive thic slaps of bluceeasand maybe asnac for her brother bobwe also needs ua smolplastik snak and e bi toy frg for the cetswe can scove these things into threee read bags and we willl go meat her wings day athitarainstation
32.0,"samail, oman",arabic65,arabic,female,data/speech_accent_archive/recordings/recordings/arabic65.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pease colt stearlaask her to bring thes things with her ffromm thesdorsixs pooons of fresh snow peese five thics laps of buw shees and maybe us no for her brothers brother pallwe also neat us more lastic snak and a big doy frog ffor the kisshe gan scoop thes things into thre read basand we will gor meat her when s day othe trainstation
55.0,"kerma, sudan",arabic69,arabic,female,data/speech_accent_archive/recordings/recordings/arabic69.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pesgostillaask hat to vingie things isfarfromn the stolsikspoooos afresh snr pers fie thiksas bruucheesin mabes nic for her blother bobwho lso nate a smalblstexsnk  and e bei tor fob for the cisesheconscoobiees things into thre bacsun billwellygolmeet hwens ded vitranstistion
47.0,"casablanca, morocco",arabic70,arabic,male,data/speech_accent_archive/recordings/recordings/arabic70.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please caled steallowask urthip ang thes tingsweth hara from the stoor  sicc spoons or fresh snowpeease  five thic slabs of gochieesand maybe a snak for her brother bodwe also neathe small pstic snacand a big toy frk for the kids she cus scupthes tings into threee rethbags aol dolmeat her ones day at the transtation
