age,birthplace,filename,native_language,sex,path_to_audio,transcription,unispeechsat_base_transcriptions
45.0,"prishtina, kosovo",albanian7,albanian,female,data/speech_accent_archive/recordings/recordings/albanian7.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleace call thela ask her to bring these things with her from the store six spoons of fresh snow piece five thix laves of blue cheese and may be a snak for her brother bob we also need a small plastic snake and a big doyfrog for the kedts she can scoop these things into three red bags and we wi'll go meet her whence day at at train station
43.0,"prishtina, kosovo",albanian8,albanian,female,data/speech_accent_archive/recordings/recordings/albanian8.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callstela ask her to bring these things from her with her from the store six spoons of fresh snow piesce five thicx slabs of blue cheese and may be a snack for her brother bab we ulsoneat a small blast icf snake and a big toy frog for the kits she can schoob these things into three red bags and we will go meet her wet wenesday at the transtation
22.0,"tirana, albania",albanian9,albanian,female,data/speech_accent_archive/recordings/recordings/albanian9.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring thise things with her from the sore six spoons are fresh snow beese five thix slabs of blue cheese and may be a snag for her brother bob we also need a small blastic snake and a big toy frog for the kids she can scoove this things into three o rab bags and we will go meet her wednesday at the train station
39.0,"ouarzazat, morocco",amazigh2,amazigh,male,data/speech_accent_archive/recordings/recordings/amazigh2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stilla ask her to bring distanks with her from the store six spoons of fres snow pece five thix slaps of blu cheese and maybe asnak for her bather ba we also need a smalplasix nak and a big toy frog for the kids she can scoupt i thanks into three trid bags and we will gomeet her wins day a dhe triin station
24.0,"addis ababa, ethiopia",amharic11,amharic,female,data/speech_accent_archive/recordings/recordings/amharic11.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleace collstella asker to bring these things with her from the store six spoons of fresh snow piece five tick slip of blue cheese and maybe a snug for her brother bab we also neet a small plastic snug in a big toyfrog from the kets she can scoup distincts into three red bags and we all we will go meet her onesday at the trainstation
26.0,"addis ababa, ethiopia",amharic12,amharic,female,data/speech_accent_archive/recordings/recordings/amharic12.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,police calld astella ask her to bring the s things with her from the stor sicks a spoon of fresh snowpiece five sixs slopes of blue cheese and may be a snag for the brother ba her brother ba we also need a smorl plastic snag an tha big toiy frog for the kases she can escope the s things into three ared backs and we will go mit her whensday ad the train station
36.0,"werder, ethiopia",amharic16,amharic,male,data/speech_accent_archive/recordings/recordings/amharic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plucecolstela ask her to bring dis tingues with her from the stor six sponts of fresh snopezs five tix slups of bloces and maybe a snark for her brazer bab we also need a small plastic snark and a biq toy frog for their kids she can scope this tinges into three red babs and we will go meet her wenstay atthe train station
21.0,"addis ababa, ethiopia",amharic17,amharic,male,data/speech_accent_archive/recordings/recordings/amharic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,poleace call stella esker to bring this thing was her from the store six spoonts of fresh snowpes five thick leps of blue cheese a maybe a snack for her brother bab we also needt e small plastic snake and a big toy frog for the kitts she can scoup thisthings into three red begs and will go to meet her wenesday at the train station
20.0,"addis ababa, ethiopia",amharic18,amharic,female,data/speech_accent_archive/recordings/recordings/amharic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callstella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and may be a snack for her brother bob we also needt a small class ic snake and a big toiy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the transtation
19.0,"tefki, ethiopia",amharic19,amharic,female,data/speech_accent_archive/recordings/recordings/amharic19.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please calstella ask her to bring these things with her from the store six spoons of fresh snow peyse five thicx slaps of blue cheese and may be a snack for he brother bab we also ned a small plastic snake and a big toy frog for the kitts she can scoop these things into three red bags and wewill go meet her wednesday at the train station
27.0,"addis ababa, ethiopia",amharic3,amharic,male,data/speech_accent_archive/recordings/recordings/amharic3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,blis calsetta ask her to bring thise thinges with her from the stor six spuno fresh snopiece five tich slip off bluchis and maybe i knock for her brizar bap we also neede a small plastic snack and big to fra forte kips the skannscu distincts into  three reed backs and we will go meet her whens dey athe train station
31.0,"addis ababa, ethiopia",amharic5,amharic,male,data/speech_accent_archive/recordings/recordings/amharic5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plicecoris stilla ask her to bring thistings with her from dhe sto six ponts of fresh snowpiece five six laps of blue cheese and may be a snack for her brazer bob we also need a smorlplastic snack in a bliqu toy frog for the kitts she canescop sisting thes into three red bags and will go meet her wednesday a the transtation
31.0,"addis ababa, ethiopia",amharic6,amharic,female,data/speech_accent_archive/recordings/recordings/amharic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pese cold staylar ask her to bring these things with her froum the door six pums of fresh snow peace five siks laps of blue cheese and may be a snack for her brother bob we ought so neet a small plastic snak and a big toifrok for the kitts she can scoop these things into three red backs and we would go meeth her wenesday at the tran station
22.0,"jiddah, saudi arabia",arabic102,arabic,male,data/speech_accent_archive/recordings/recordings/arabic102.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela askd her to bring these things with her from the store six spoons of fresh snowpeese five thick thix slabs of blue cheese and may be a snack for her brother bab we also neet a small pastic snake in a big toy frog for the kids we can scoop these things into three red bags and we will go meet her a whednesday at the train station
22.0,"meknes, morocco",arabic16,arabic,male,data/speech_accent_archive/recordings/recordings/arabic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costala ask her to bring these things with her from the sto six pons of fre snall bees five sic slaps of blue cheese that may be a snack for her brother ba we also need a small blessic snake in the beig doyfrok for de kats she can scoop these things into tree rat baks if we we'll go meet her wenesday at the transtation
35.0,"settat, morocco",arabic17,arabic,male,data/speech_accent_archive/recordings/recordings/arabic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please golstill ask her to bring these things with her from the store six spoons of frissnow peese five thick slebs of blue cheese and may be a sneck for he brather bob we also neet a smapressic snake and a big toyfrog for the kits she can scoold these things into three red bags and we will go meet her whence they are dieternstation
18.0,"kuwait city, kuwait",arabic18,arabic,male,data/speech_accent_archive/recordings/recordings/arabic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleese scolls tiller ask her to bring these things with her from the stok six spoons of which snow pece five thix labs of blue cheese and maybe a snack for her brother bok we also need a small plactic snake and the big toyfolk for the kits she can scroow these things into three ged baks and we will go meet her wens day at the train stationed
18.0,"damascus, syria",arabic2,arabic,male,data/speech_accent_archive/recordings/recordings/arabic2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and may be a snack for her brother bob we also need a small splastic snake and big toy frog for the kits she can scoop these things into the three red bags and we will go meet her wednesday at the train station
36.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,data/speech_accent_archive/recordings/recordings/arabic20.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pees five thick slaps of blue cheese and may be a snak of her brother wa we also need as mor lastic snake and a big toy frog for the kitts she can scoov these things into three red bags and wu go met e wednesday at the train station
46.0,"beirut, lebanon",arabic21,arabic,female,data/speech_accent_archive/recordings/recordings/arabic21.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colestella ask her to bring these things with her from the stoore six spoons of fresh snow peas five thick slaps of blue cheese and may be a snack for her brother bub we also need a small plastic snake and a big toy frog for thikits she can scroop these things into three red bags and we will go meet her wenesday at the train station
23.0,"abu dhabi, united arab emirates",arabic22,arabic,female,data/speech_accent_archive/recordings/recordings/arabic22.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gostaa asked her to bring these things with her from this door six pourns of frish snow pees five thix laps of blue cheese a may be as now for her brother bok we also need a small blasked snake and a big twife ok for the keeds she cans oop these things into three rid bags and we will go met her enesday at the tran station
42.0,"al mahalla, egypt",arabic23,arabic,male,data/speech_accent_archive/recordings/recordings/arabic23.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring theese thanks with her from the store six spoons of fresh snow peese five thick slabs of blue cheese and may be a snak for her brother bab we also neet a small plastic snake and a big toy frog for the kids she can scoop these thanks into three rid begs and we'ill go meet her winis day at the train station
19.0,"riyadh, saudi arabia",arabic30,arabic,female,data/speech_accent_archive/recordings/recordings/arabic30.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please castella ask her to bring these things with her for the store six spoons of fresh mb spoons of fresh snotpiee five thick laps of bloo cheese and maybe a snack for her brother bob we also need a small placic snak  snack and a big  toy frog forr the kids she can scoop these things into three red bags and we will go meet her wednesday at the trai station
42.0,"baghdad, iraq",arabic32,arabic,male,data/speech_accent_archive/recordings/recordings/arabic32.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stilla ask her to bring these things with her from the door six spoons of fresh snow pees five thicxk slobs of blue cheese and maybe snacks for her brother bab we also need a small plasic sna a snake and a big toefra for the kits she can scroop these things into three red bags and we will go meet her enesday at the train station
34.0,"kuwait city, kuwait",arabic34,arabic,female,data/speech_accent_archive/recordings/recordings/arabic34.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callstella ask her to bring these things with her from the store six spoons of fresh snow peas five thix clavs of blue cheese and may be a snack for her brother bab we also neet a small plastic snake and a big toy frog for the kits she can scoop these things into three red bags and we will go meet her wenesday at the train station
18.0,"jiddah, saudi arabia",arabic37,arabic,male,data/speech_accent_archive/recordings/recordings/arabic37.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleace colstilla ask her to bring these things from the store six spoons of fresh snow piece five thix slabs of blooe cheece and maybe a np for a buther bup we also neet as mall blastic snakefr and a bag a doyfrog for the kits she can scoob these things into three rit baks and we will go meet her wednesday at the train station
19.0,"sharjah, united arab emirates",arabic4,arabic,male,data/speech_accent_archive/recordings/recordings/arabic4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please corstela ask her to bring these things with her from dthe star six spoons of freh snu piee five thick slaps of blu cheese and may be asnick for her brother bub we ought so need a smarblastic snack at the victyfug for the kits she can scoop these things into three red bags and we'll go met her whenis day at thet rain station
23.0,"jiddah, saudi arabia",arabic51,arabic,male,data/speech_accent_archive/recordings/recordings/arabic51.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call sthella ask her to bring these things with her from the store six spoons of fresh snow peese five thicx slaps of blue cheese and may be a snack for her brother bab we also need a small plastic snake and a big toy frog for the kitts she can scoop these things into three red bags and we will go meet haire onesday at the train station
21.0,"jiddah, saudi arabia",arabic52,arabic,female,data/speech_accent_archive/recordings/recordings/arabic52.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six poons of fresh snow pese five thix slaps of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
22.0,"baghdad, iraq",arabic54,arabic,male,data/speech_accent_archive/recordings/recordings/arabic54.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costella ask her to bring these things with her from the store six spoons of fresh snow piece five thick slaps of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a bicg toyfrog for the kits she can schoop these things into three red bags and we will go meet her wednesday at the transtation
43.0,"ain defla, algeria",arabic56,arabic,male,data/speech_accent_archive/recordings/recordings/arabic56.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callestila ask her to bring these things with her from the store six poons of fresh snowpeza five thick slibes of blu cheesa and may be a snak for her brother bab we also need a small plastic snake and a big to frog for the keyds she can scouop these things into three red begs and we will go meet her wensdy at the train station
28.0,"beirut, lebanon",arabic57,arabic,female,data/speech_accent_archive/recordings/recordings/arabic57.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gol thoua ask her to bring these things with her from the store six spoons a fresh snow pese five thick slabs of luew cheese and may be a snag for her brother bab we also kneed a small clastic snake and a bigdoy frog for dikeds she can scoop these things into three red bags and we will go meeth her whence day at the train station
34.0,"baghdad, iraq",arabic58,arabic,male,data/speech_accent_archive/recordings/recordings/arabic58.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colstila ask her to bring these things with her from the store six espons of fresh snow bees a five thixd laps of blue cheese and may be a snak for her brother bab we also need a small blastic ne a snak and a big toy frog for lqits she can scoop these things into three red bas and we will gometo her when is day at the shinin station
55.0,"irbid, jordan",arabic59,arabic,male,data/speech_accent_archive/recordings/recordings/arabic59.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stellear ask her to bring these things with her from the stor six spoons of fresh snow ease five thick slaps of blue cheese and maybe a snack for her brother bow we also need a small plastic snake and a big toy frog for the kits she can scoop these things into three rid bags and we will go meet her one day at the train station
21.0,"sanaa, yemen",arabic6,arabic,male,data/speech_accent_archive/recordings/recordings/arabic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cosila ask her to bring these things with hair from the str six pons of frish snow base fie thicx slaps of bru cheese and maybe a snak for her brother pob we also kneed a small blassig snak and at victoyfrag for the kates she can't coke this a these things into three reiht bags and we will go meet her when  once day at their transtation
20.0,"manama, bahrain",arabic61,arabic,male,data/speech_accent_archive/recordings/recordings/arabic61.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call tella ask her to bring these things with her from the store six spoons of fresh snow piece five thick slabs of bloochees and may be a snack for her brother bab we also need a small plastic snake on the big toryfrog for the kids she can scoop these things into three red bags and we will go meet her wenesday of the train station
23.0,"riyadh, saudi arabia",arabic64,arabic,male,data/speech_accent_archive/recordings/recordings/arabic64.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,a poleice colstela ask her to bring these things with her from the store six spoons of fresh snowpiece five thick slaps of blouociis and may be a snack for her brother bab we also need a smalplastic snake and a big toa frog for the kits we can schoop these things into three red bags and we will go meet her wednesday at the train station
32.0,"samail, oman",arabic65,arabic,female,data/speech_accent_archive/recordings/recordings/arabic65.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please called stealer ask her to bring these things with her from this toor six poons of fresh snow pese five thick laps of blue cheese and may be as no for her brother's brother pa we also need as more plastic snake and a big doy frog for the kits she can scoop these things into three red bags and we will go meet her wenysday othe train station
55.0,"kerma, sudan",arabic69,arabic,female,data/speech_accent_archive/recordings/recordings/arabic69.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pece godstilla ask how to bring these things is far fron this tall seek spoons of frainor pes like thickslavhs  blue cheese and may be snak for her brother bab wyo also nade a small glasti snag and a bi tor fro for the kase she can scood thee things into three backs and we'll well go mit rawinesdy a he transtation
47.0,"casablanca, morocco",arabic70,arabic,male,data/speech_accent_archive/recordings/recordings/arabic70.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callstello asked her to beng these things with har from the storm six spoons of fresh snowpiese five thick slabs of bucheese and may be a snack for her brother bob we also neat a small blustic snack and a big toy frag for the kids she can scroop these things into three red bags i will go met her wenesday at the train station
20.0,"baghdad, iraq",arabic72,arabic,female,data/speech_accent_archive/recordings/recordings/arabic72.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,blece colstilla ask her to bring these things with her from the store six bons of fresh snow beese biv thick slavs of blue cheese and may be a snag for her brother bab we also need e small blastic snake and abeg doll frog for the kitts she can scroube these things into three rad bags and weak will go meet her whens they a the drain station
18.0,"alexandria, egypt",arabic74,arabic,male,data/speech_accent_archive/recordings/recordings/arabic74.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please holls tella ask her to bring these things with her from the store six spoons of fresh snow peese five thicx slaps of blue cheese and may be a snack for her brotherd bab we also neat a small plastic snake and the big toyfrock for viketts she can scool these things into free red backs and we will go meet her enesday at the train station
