age,birthplace,filename,native_language,sex,path_to_audio,transcription,sewd_tiny_transcriptions
31.0,"addis ababa, ethiopia",amharic6,amharic,female,data/speech_accent_archive/recordings/recordings/amharic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,kease coll stela ask her to bring this things with her froudhest door six puns of fresh snow keas five siks laps off blue chees and nely us snack for her brother bob the ortoned us more plastic sleek and a big toyfro for ther kits she can scoop distings into three lad backs and wewill go meath her rensdia their transtation
22.0,"jiddah, saudi arabia",arabic102,arabic,male,data/speech_accent_archive/recordings/recordings/arabic102.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snowpees five fit thick slabs of blucheese and may be a snack for her brother bog we also need a small pastic snake in a big toy frog for the kids we can scoop these things into three red bags and we will go meet her of whens day at the trainstation
22.0,"meknes, morocco",arabic16,arabic,male,data/speech_accent_archive/recordings/recordings/arabic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costella ask her to bring this things bit her from the stol six poos of re snow bes five six labs of blue chees the may be a snack for her brother ball we also need a small blestic snage in the big doy frok for the kys she can scoop distinks into treerat backs and we will go mit her whens day at the transtation
35.0,"settat, morocco",arabic17,arabic,male,data/speech_accent_archive/recordings/recordings/arabic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please go still askk her to bein this things with her from the stor sixpons of fre snopees fav thicks slabs of ble cheese and maye he sneck for her brother bob wosone the smoprastic snick and a big to frug for the kits she can scood this things into three oured bags and we will go meet her whence they are the trn station
18.0,"kuwait city, kuwait",arabic18,arabic,male,data/speech_accent_archive/recordings/recordings/arabic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ples cols tella ask her to bring these things with her from the stok six scoons of witch snow pees five ticks labs of blue chees and may be a snack for her brother bok we alsonlyed a small plastic snake and the big toyfork for the kids she can sco these things into theged bags and we will go me tell ones day at the train station
18.0,"damascus, syria",arabic2,arabic,male,data/speech_accent_archive/recordings/recordings/arabic2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please called stelle ask her to bring these things with her from the store six poons of fresh snow pees fife thick slabs of blue cheese and may be a snack for her brother bob we also need a small's plastic snake and a big toy frog for the kits she can scoop these things into the three red bags and we will go meet her whenseday at the trainstation
36.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,data/speech_accent_archive/recordings/recordings/arabic20.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cald stela ask her to bring these things with her from the store six spoons of fresh snow pees fine fick slaps of bluchees and maybe a snack of her brotherbaw we orsone tismorelastic snate and a big toy fronk for the kits she can schoov these timps into threelar bags and willy go me to wensday at the fanstich
46.0,"beirut, lebanon",arabic21,arabic,female,data/speech_accent_archive/recordings/recordings/arabic21.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cotela ask her to bring these things with her from the store six spuns of fresh snow pees five thik slaps of bluecheese and may be a snack for her brother welk we also need a small plastic snake and a big toy frog for the kits she can scoop these things into three red baks and will go meet her whence they at the train station
23.0,"abu dhabi, united arab emirates",arabic22,arabic,female,data/speech_accent_archive/recordings/recordings/arabic22.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,peese gase da askd her to bring these things with her from the door six pors of fert snow pees five tix labes of blue cheese a mabe is non for her brother bok we also need this more plasic nake and a big dy fro for the givs she cans forp the tings into three art bags and we will go meeto one's day at the drassstatio
42.0,"al mahalla, egypt",arabic23,arabic,male,data/speech_accent_archive/recordings/recordings/arabic23.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,clease call stella ask her to brang these thanks with her from the store six spoons of fresh snow peas five thick slaps of blue cheese and may be a snack for her brother bow we also need the small plastic snake and a big toy fride for the kids she can scoop these thangs into three rid bags and will go meet her when'sday at the train station
19.0,"riyadh, saudi arabia",arabic30,arabic,female,data/speech_accent_archive/recordings/recordings/arabic30.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costela ask her to bring these things with her for the stort six spoos of fresh am swoos of fresh snot pees five thik laps of blou cheese and maybe a snack for her brother bop we also need a small plasic snack a snack and a bik am toyfrok for her the kits she can schoop these things intithity red bags and we will go meet her whence they at the tra station
42.0,"baghdad, iraq",arabic32,arabic,male,data/speech_accent_archive/recordings/recordings/arabic32.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the stoor six spoons of frih snowpees fire thick slobs of blue cheese and maybe snacks for her brother bob we also need a small plasic snat a smeak an a big torfra for the kits she can scroupe these things into three thred bags and we will go meet her ones day at the trainstation
34.0,"kuwait city, kuwait",arabic34,arabic,female,data/speech_accent_archive/recordings/recordings/arabic34.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick clabs of blue cheese and maybe a snat for her brother bop we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her onee day at the train station
18.0,"jiddah, saudi arabia",arabic37,arabic,male,data/speech_accent_archive/recordings/recordings/arabic37.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleace costela ask her to bring these things from the store six poons of frish snor piece five fi labs of blucies and may be as nat for a brother bob we allso need us more blasic snakef and te bag a toy frog for the kits she can scoope these things into a hreer it backs and we will go meet her when they at the trin state
19.0,"sharjah, united arab emirates",arabic4,arabic,male,data/speech_accent_archive/recordings/recordings/arabic4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please card stera as care to bring these things with heir from the start six pons of first snow peece five thix slaps of bluecheese and may be as nack for her brother bok we out to needhas morh brustic snick as the victoy frok for the kits she can scoop these things into three redbanks and well go neet here whenis day at the transtation
23.0,"jiddah, saudi arabia",arabic51,arabic,male,data/speech_accent_archive/recordings/recordings/arabic51.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callds fella ask her to bring these things with her from the store six spoons of fresh snowpees five thick slaps of blue cheese and may be a snack for her brother bob we also need a smoll plastic snake and a big toy frog for the kits she can scoop these things into three red bags and we will go mee hare one's day at the trainstation
21.0,"jiddah, saudi arabia",arabic52,arabic,female,data/speech_accent_archive/recordings/recordings/arabic52.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six poons a fresh snow peas five thick slabs of blue chees and may be a snack for her brother bob we also net a small plastic snake and a big toy frog for it the kids she can schoop these things into three red bags and we will go meet her wenesday of the train station
22.0,"baghdad, iraq",arabic54,arabic,male,data/speech_accent_archive/recordings/recordings/arabic54.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pees five ticx slaps of blue cheese and may be a snack for her brother bob we also need a small blastic snake and a bik toyfrog for the kids she can scoop these things into three redbags and we will go meet her enceday and the trainstation
43.0,"ain defla, algeria",arabic56,arabic,male,data/speech_accent_archive/recordings/recordings/arabic56.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colustila ask hare to bring thes things with had from the store six poons of fresh snow piese five thick slives of bluchisa and may be o snack for har brather babba we also need or small plastic snick and a big taly frog for the keyds she can scoop these things into three red begs and we wel go meet har wesdy at the tran station
28.0,"beirut, lebanon",arabic57,arabic,female,data/speech_accent_archive/recordings/recordings/arabic57.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gall stala ask her to bring these things with her from the stlore six puns of fresh snow pees five fix labs of flue cheese and may be a smack for her brother bob we also need a small clastic snake and a big doy frog for dicets she can scoop de things into three red bags and we will go meet her once day at the transtation
34.0,"baghdad, iraq",arabic58,arabic,male,data/speech_accent_archive/recordings/recordings/arabic58.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costilla ask her to bring these things with her from the sorce sits aspoonse of first snowbees a five thix lops of bluuchise and may be as snack for her brother bo we also need a small blastic nae snake and a big toy frog for licates she can coop these things in to three ret box and we will go neet her whens day at the chini station
55.0,"irbid, jordan",arabic59,arabic,male,data/speech_accent_archive/recordings/recordings/arabic59.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,feese col stella ask hare to bring these things with her from the stor six foons of fresh snow teas five fick slaps of blue cheese and may be a snack for her brother bow we also ned a smoll plastic snake and a big toy frog for the kips she can scool these things into three red bags and we will go meeto have one day at the trainstation
21.0,"sanaa, yemen",arabic6,arabic,male,data/speech_accent_archive/recordings/recordings/arabic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costil ask care to bring this things with heir from the stot sixpons of frish sno bath fifix sleps of gluchees and may be a snake for her brother bo we also need the smo blessic snik and abictoyfrog for the keats she canscob this a these things into treedit bbags and we will go meet her when o once day at their transtation
20.0,"manama, bahrain",arabic61,arabic,male,data/speech_accent_archive/recordings/recordings/arabic61.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleese callcella ask her to bring these things with here from the store six poons of fresh snowpees five thick slabs of bluchees and may be a snack for her brother bob we also need a small plastic snake and the big tory frog for the keds she can scroupe these things into three redbags and we will go meet her wentisday out the train station
23.0,"riyadh, saudi arabia",arabic64,arabic,male,data/speech_accent_archive/recordings/recordings/arabic64.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,a please colstela ask catobring these things with her from the star six spoons of fresh snow pies five thick slaps of bluchis and may be a snat for her brother bok we also need the smoplastic snake and a big to a frog for the kets we can scoope these things into three red bags and we will go meet her when day at the tran station
32.0,"samail, oman",arabic65,arabic,female,data/speech_accent_archive/recordings/recordings/arabic65.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call steela ask her to bring these things with her from the doore six poons of fresh snow peas five thicks laps of blue cheese and may be as not for her brother's brother par we also need us more plastic snake and a big tay frog for the gits she can schoop these things into three red bags and we will go meet her one is day athe trastation
55.0,"kerma, sudan",arabic69,arabic,female,data/speech_accent_archive/recordings/recordings/arabic69.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,peace go tella ask hat te binglet things is fartlon the stoll seik spoos a fristnor pees fie thick lovs brukis i may be snigh for her brella bog you alsonate a small blostic's nigt and a beik tor frort for the kease she can goodly things eto three backs i wull really go meet her ands did i the trestitia
47.0,"casablanca, morocco",arabic70,arabic,male,data/speech_accent_archive/recordings/recordings/arabic70.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stellar ask her to ban these things withhar from the store six spons or fresh snowpies five thick slabs of buchies and may be a snack for her bother bob were also nee the small plustic snack and a big toy frag for the kitts she cast scoop les things injo three wed bags a lo do mee her one day at the transtation
20.0,"baghdad, iraq",arabic72,arabic,female,data/speech_accent_archive/recordings/recordings/arabic72.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,bleece gol stola ask her to bring these things with her from the store six boonsof fresh snowbes by thick slabs of blue cheese and may be s nack for her brother bog we also need u mol blastic snake and a big joy frog for the kits she can screve these things into three red bags and we will go meet her whens tey add  during station
18.0,"alexandria, egypt",arabic74,arabic,male,data/speech_accent_archive/recordings/recordings/arabic74.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please clot's tola ask her to bring these things with her from estor six poons ar fresh snow beas five thixed labs of blue cheese and may be u snack for her brother gout we olsalneeded a small plastic snake and the big tord frock for wicads she can scud these things into free red backs and we will go meet her one's day at the transtation
