age,birthplace,filename,native_language,sex,path_to_audio,transcription,sewd_base_transcriptions
45.0,"prishtina, kosovo",albanian7,albanian,female,data/speech_accent_archive/recordings/recordings/albanian7.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snowpeece five thick slaps of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a begdoy frog for the kets she can scoop these things into three rad bags and we will go meet her wednesday at train station
43.0,"prishtina, kosovo",albanian8,albanian,female,data/speech_accent_archive/recordings/recordings/albanian8.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things from her with her from the store six spoons of fresh snowpeese five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
22.0,"tirana, albania",albanian9,albanian,female,data/speech_accent_archive/recordings/recordings/albanian9.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow bees five thick slabs of blue cheese and maybe a snak for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scove these things into three rad bags and we will go meet her wednesday at the train station
39.0,"ouarzazat, morocco",amazigh2,amazigh,male,data/speech_accent_archive/recordings/recordings/amazigh2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call tilam ask her to bring thes thanks with her from the stor six spoons of fraid snowpiese five thick slaps of blue cheese and maybe a snack for her bratherbob we also need a smalplastic snack and a big toy frok for the kits she can scoop the thanks into three rid backs and we will go  meet her wednesday at the trin station
24.0,"addis ababa, ethiopia",amharic11,amharic,female,data/speech_accent_archive/recordings/recordings/amharic11.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call estella ask her to bring these things with her from the store sixspoonsof fresh snowpease five tick slep of blue cheese and maybe a snak for her brother bob we also need a small plastic snak and a big toy frog from the keats she can't scoop thise things into three red bags and we alls we wi'll go meet her onesday at the train station
26.0,"addis ababa, ethiopia",amharic12,amharic,female,data/speech_accent_archive/recordings/recordings/amharic12.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call astella ask her to bring the stinks with her from the store sixa spoon of fresh snopiese five stix slops of blue cheese and maybe a snap for the brother bub her brother bob we also need a small plastic snack and a big toy frog for the kits she can scop the stings into three radbacks and we will go mith her wenstay at the tran station
36.0,"werder, ethiopia",amharic16,amharic,male,data/speech_accent_archive/recordings/recordings/amharic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plise cal staila ask her to bring the stinges with her from the store six spons of fresh snopies five tix slaps of buocies and maybe a snak for her braza bab we also need a small plastic snack and a big toy frog for their kits she can scoap the stinges into three red babs and we will go mit her wednesday at the train station
21.0,"addis ababa, ethiopia",amharic17,amharic,male,data/speech_accent_archive/recordings/recordings/amharic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring the sting with her from the store six spoons of fresh snowpease five thig slaps of blue cheese a maybe a snake for her brother bob we also need a small plastic snake and a big towy frog for the kits she can scoop the stings into three red bags and we'll go to meet her wednesday at the train station
20.0,"addis ababa, ethiopia",amharic18,amharic,female,data/speech_accent_archive/recordings/recordings/amharic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snowpease five thick slabs of blue cheese and maybe a snack for her brother boub we also need a small classic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
19.0,"tefki, ethiopia",amharic19,amharic,female,data/speech_accent_archive/recordings/recordings/amharic19.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pease five thick slaps of blue cheese and may be a snak for brother bob we also need a small plastic snake and a big toy frog for the kits she can scoop these things into three redbags and wewill go meet her wednesday at the train station
27.0,"addis ababa, ethiopia",amharic3,amharic,male,data/speech_accent_archive/recordings/recordings/amharic3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,blise calsetter ask her to bring these tinges with her from the store sixspoon of fresh snopiese five tiks lep of blue cheese and maybe a snack for her briasa bob we also need a small plastic snack and big toy frog for her kits the scannis koov these things into three red backs and we will go meet her wednesday at the train station
31.0,"addis ababa, ethiopia",amharic5,amharic,male,data/speech_accent_archive/recordings/recordings/amharic5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plese colis stella ask her to bring the stings with her from the stock six spoons of fresh snowpiece five tik slaps of blue cheese and maybe a snack for her brazer bop we also need a small plastic snak and a big toy frog for the kits she can scop the stings into three red buks and we'll go met her wednesday at the transtash
31.0,"addis ababa, ethiopia",amharic6,amharic,female,data/speech_accent_archive/recordings/recordings/amharic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,kits calld stella ask her to bring thes things with her from the store sixpoons of fresh no kease five thick slaps of blue cheese and maybe a snack for her brother bob we also need a small plastic snak and a big toy fro for the kits she can scoop these things into three red backs and we will go with her wenesday at the tren station
22.0,"jiddah, saudi arabia",arabic102,arabic,male,data/speech_accent_archive/recordings/recordings/arabic102.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snopease five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small postic snake and a big toy frog for the kids we can scoop these things into three red bags and we will go meet her o wednesday at the train station
22.0,"meknes, morocco",arabic16,arabic,male,data/speech_accent_archive/recordings/recordings/arabic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costella ask her to bring these things with her from the stol sixpoons of fresh no peese five six laps of blue cheese that may be a snak for her brother balb we also need a small blestic snake in the big doy frog for the keys she can scoop these things into three rat backs if we will go met her wednesday at the train station
35.0,"settat, morocco",arabic17,arabic,male,data/speech_accent_archive/recordings/recordings/arabic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gal stell ask her to bring these things with her from the storm sixpoons of fresh snopeese five thick slabs of blue cheese and maybe a snack for her brother bob we also need a smoprastic snak and a big toy frog for the kids she can scool these things into three red bags and we will go meet her wednsday at the trurn station
18.0,"kuwait city, kuwait",arabic18,arabic,male,data/speech_accent_archive/recordings/recordings/arabic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colstaller ask her to bring these things with her from the stock six spoons of whech snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy folk for the kids she can screw these things into three red bags and we will go meet her wednesday at the train station
18.0,"damascus, syria",arabic2,arabic,male,data/speech_accent_archive/recordings/recordings/arabic2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store sixpoons of fresh snow pease five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small splastic snake and a big toy frog for the kids she can scoop these things into the three red bags and we will go meet her wednesday at the train station
36.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,data/speech_accent_archive/recordings/recordings/arabic20.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the storke six spoons of fresh snow beads five thick slaps of blue cheese and maybe a snak of her brotherwa we alsoneed a small lastic snake and a big cloy frog for the gits she can sqoop these things into three red bags and we go meet her wednesday at the train stach
46.0,"beirut, lebanon",arabic21,arabic,female,data/speech_accent_archive/recordings/recordings/arabic21.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pease five thick slaps of blew cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the gits she can screw these things into three red bags and we will go meet her wednesday at the train station
23.0,"abu dhabi, united arab emirates",arabic22,arabic,female,data/speech_accent_archive/recordings/recordings/arabic22.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,peese gonstera ask her to bring these things with her from the stork six pors of frish snaw keese five thix slabs of blue cheese and maybe a snak for her brother bob we also need a small plasic snake and a big twi frok for the kids shikans cook these things into three rid bags and we will go meet her ones day at the tran station
42.0,"al mahalla, egypt",arabic23,arabic,male,data/speech_accent_archive/recordings/recordings/arabic23.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these thanks with her from the store six spoons of fresh snow pease five thick slaps of blue cheese and maybe a snak for her brother bow we also need a small plastic snake and a big toy frog for the kids she can scoop these thanks into three red bags and we will go meet her wene'sday at the train station
19.0,"riyadh, saudi arabia",arabic30,arabic,female,data/speech_accent_archive/recordings/recordings/arabic30.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please castella ask her to bring these things with her for the store six spoons a fresh am spoons of fresh notpheese five thick slaps of blue cheese and maybe a snack for her brother bob we also need a small plassic snack a snack and a big a toy frog for the kids she can scoop these things into the red bags and we will go meet her wednesday at the traide station
42.0,"baghdad, iraq",arabic32,arabic,male,data/speech_accent_archive/recordings/recordings/arabic32.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snopeese five thick slobs of blue cheese and maybe snaks for her brother bob we also need a small plassic snap a snake and a big torevror for the kids she can screw these things into three hread bags and we will go meet her wednesday at the train station
34.0,"kuwait city, kuwait",arabic34,arabic,female,data/speech_accent_archive/recordings/recordings/arabic34.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow pease five thick slaps of blue cheese and may be a snap for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
18.0,"jiddah, saudi arabia",arabic37,arabic,male,data/speech_accent_archive/recordings/recordings/arabic37.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colstella ask her to bring these things from the store sixpoons of fresh snowpease five thick slabs of blue cheese and maybe a sknife for a buther bob we also need a small plastic snake and a bag a toy frog for the kids she can scoop these things into three red bags and we will go meet her wednsday at the train station
19.0,"sharjah, united arab emirates",arabic4,arabic,male,data/speech_accent_archive/recordings/recordings/arabic4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please godge stella ask here to bring these things with her from the star six spoons of fresh snoppees five thick slaps of blue cheese and maybe a snack for her brother bob we ought to need a small plastic nak at ta big tollyfrot for the kits she can scoop these things into three red bags and we'll go meet her when's dey at the tran station
23.0,"jiddah, saudi arabia",arabic51,arabic,male,data/speech_accent_archive/recordings/recordings/arabic51.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store sixspoons of fresh snowpeese five thick slaps of blue cheese and maybe a snake for her brother bob we also need a small plastic snake and a big toy frog for the kids she can coop these things into three red bags and we will go meet her wednesday at the train station
21.0,"jiddah, saudi arabia",arabic52,arabic,female,data/speech_accent_archive/recordings/recordings/arabic52.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of french snow peas five thick slaps of blue cheese and maybe a snap for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station
22.0,"baghdad, iraq",arabic54,arabic,male,data/speech_accent_archive/recordings/recordings/arabic54.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peese five thick slaps of blue cheese and maybe a snak for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wedne'sday at the train station
43.0,"ain defla, algeria",arabic56,arabic,male,data/speech_accent_archive/recordings/recordings/arabic56.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colastila ask her to bring these things with her from the store six spoons of fresh snowpeas five thick slibs of blue cheese and maybe a snak for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red begs and we will go meet her wednesday at the train station
28.0,"beirut, lebanon",arabic57,arabic,female,data/speech_accent_archive/recordings/recordings/arabic57.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gol stella ask her to bring these things with her from the stor six spoons of fresh snowpeese five thick slabs of blue cheese and maybe a snake for her brother bob we also need a small plastic snake and a big doy frog for the kits she can scoot these things into three red bags and we will go meet her wenesday at the train station
34.0,"baghdad, iraq",arabic58,arabic,male,data/speech_accent_archive/recordings/recordings/arabic58.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please calstila ask her to bring these things with her from the store six spoons of fresh snow bees a five thix lops of blue cheese and maybe a snak for her brother bob we also need a small blastic na a snake and a big thoy frog for likits she can scoop these things into three red box and we will go meet her wen'sday at the chine station
55.0,"irbid, jordan",arabic59,arabic,male,data/speech_accent_archive/recordings/recordings/arabic59.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the stoore six spoons of fresh snow cheese five thick slaps of blue cheese and maybe a snak for her brother bow we also need a small plastic snake and a big toy frog for the kiks she can schoop these things into three red bags and we will go meet her wonesday at the train station
21.0,"sanaa, yemen",arabic6,arabic,male,data/speech_accent_archive/recordings/recordings/arabic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costila ask her to bring these things with her from the sork six pons of fresh snow beathe five thix slaps of blue cheese and maybe a snake for her brother pop we also need a small blassic snake and a bigtoy frug for the keats she can't scobe this and these things into three raid bbags and we will go meet her wen ar wone'sday at the train station
20.0,"manama, bahrain",arabic61,arabic,male,data/speech_accent_archive/recordings/recordings/arabic61.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colstella ask her to bring these things with her from the store sixspoons of fresh snowpease five thick slabs of blue cheese and maybe a snak for her brother bob we also need a small plastic snake and a big toyfrog for the kids she can scroop these things into three red bags and we will go meet her wednesday at the train station
23.0,"riyadh, saudi arabia",arabic64,arabic,male,data/speech_accent_archive/recordings/recordings/arabic64.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,a please calstellar ask her to bring these things with her from the store six spoons of fresh snowpeeve five thick slaps of blue cheese and maybe a snack for her brother bol we also need a small plastic snake and a big towy frog for the kets we can scoove these things into three red bags and we will go meet her wednesday at the train station
32.0,"samail, oman",arabic65,arabic,female,data/speech_accent_archive/recordings/recordings/arabic65.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things with her from the store six poonts of fresh snowpeas five thick slaps of blue cheese and maybe a snout for her brother's brother poub we also need a small plastic snake and a big toy frog for the gids she can't schoop these things into three red bags and we will go meet her wenesday at the train station
55.0,"kerma, sudan",arabic69,arabic,female,data/speech_accent_archive/recordings/recordings/arabic69.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gol stilla ask her to wing these things is felt on the stall six foos a fresh snow pees ie thick sluvs of blue cheese and maybe snak for her brother bob we also nade a small blasto snak and a big tol traw for the kis she can scoob these things into three waks and yu'l will go meet her wednesday i betray station
47.0,"casablanca, morocco",arabic70,arabic,male,data/speech_accent_archive/recordings/recordings/arabic70.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bang these things with her from the store six spoons of fresh snowpies five thick slabs of goo cheese and maybe a snack for her bother bob wel also need a small plostic snack and a big toy frag for the kits she can scroup these things into three red bags and we'll go meet her wednesday at the train station
20.0,"baghdad, iraq",arabic72,arabic,female,data/speech_accent_archive/recordings/recordings/arabic72.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stolla ask her to bring these things with her from the store six spoons of fresh snow beats five thick slaps of blue cheese and maybe a snak for her brother bobb we also need a small plastic snake and a big toy frok for the kits she can scoop these things into three red bags and we will go meet her whensday at the trine station
18.0,"alexandria, egypt",arabic74,arabic,male,data/speech_accent_archive/recordings/recordings/arabic74.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please holls stella ask her to bring these things with her from the store six spoons of fresh snow peese five thick slaps of blue cheese and maybe a snack for her brover balb we also need a small plastic snake and a big toy frog for bickeds she can scoop these things into free red baks and we will go meet her wednesday at the train station
