age,birthplace,filename,native_language,sex,path_to_audio,transcription,sew_mid_transcriptions
45.0,"prishtina, kosovo",albanian7,albanian,female,data/speech_accent_archive/recordings/recordings/albanian7.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call tella ask her to bring these things with her from the stor six spoons of fresh snow pease five thix lavs of blu cheese and may be a snack for her brother bobb we also need a small plastic snake an the big toy frog for the keds she can scoop these things into three red bags and we will go meet her whens they at edd trainstation
43.0,"prishtina, kosovo",albanian8,albanian,female,data/speech_accent_archive/recordings/recordings/albanian8.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callstela ask her to bring these things from her with her from the stor six spoons of fresh snow pies five tix labs of blue chees and meet the a snack or her brother bobb we olso net a small plastic snake and a big toy frog for the kids she can scoob these things into three red baggs and we will go meet her whet whence they at the trainstation
22.0,"tirana, albania",albanian9,albanian,female,data/speech_accent_archive/recordings/recordings/albanian9.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stella ask her to bring this things with her from the sor six spooons of fresh snow pees five thic slabs of blu chees and may be a snack or her brother bog we also need a smal plastic snake in a big toy frogg for the kds she can scooveles things into three ared baggs and we will go meet her wensday at the trai station
39.0,"ouarzazat, morocco",amazigh2,amazigh,male,data/speech_accent_archive/recordings/recordings/amazigh2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plise call tila ask her to bring dis tanks with her from the stor six spoons of fre snowpees five thixs laps of blechees aand maybe a snack or her brather bok we also need a smapasixs nack and the bik to frog for the kitts she can scoop dith thank into three thrid baks and we will gomit her when they at the trinstation
24.0,"addis ababa, ethiopia",amharic11,amharic,female,data/speech_accent_archive/recordings/recordings/amharic11.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plese costella aask her to bring thes thins with her from the stor six spoones of fresh snow kees five tick slip of blue chees ad may be a snock for her brother bob we also need a small plastics snuck in a big tofrog from the keats she can ascop distins into three red bugs and we alswe well go meet her onesday at the transtation
26.0,"addis ababa, ethiopia",amharic12,amharic,female,data/speech_accent_archive/recordings/recordings/amharic12.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plise colistella ask her to bring thes things with her from the toor six aspoon of fresh snowpinss ive tixs slops of blue chhees and may be a snoc for the brother bo her brother bob we also need a smal plastic nsnack an the big wofrog for the kivs she can ascope thestings into three aredbacs and we will go mit her whenise they ar the trenstation
36.0,"werder, ethiopia",amharic16,amharic,male,data/speech_accent_archive/recordings/recordings/amharic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plis calld tela ask her to bring this tings with her from the stor six sppuns of fresh snopas five tiixs luvs of blujies and may be a snoc for her bbroter bab we also need a small plastic snack and a big toy frog for their kitts shehe can scop thes tings into three rad baks and wel will go mith her wansta a the trainstation
21.0,"addis ababa, ethiopia",amharic17,amharic,male,data/speech_accent_archive/recordings/recordings/amharic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stela ask her to bring the stink was her from the stor sixs scoons of fresh no pese five thick slaps of blue chhees an maby a snack for her brother  or bob we also neede a small plastic snake and a bake to ffrog for the kits she can scoop thestings into three red baggs and will go to meet her onstac at the train station
20.0,"addis ababa, ethiopia",amharic18,amharic,female,data/speech_accent_archive/recordings/recordings/amharic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call sdella ask her to bring these things with her from the stor six spoons of fresh snow pees five thick slabbes of blue cheees and may be a snack for her brother bog we also nede a small plasic snake and a big toy frog for the kids she can scoop these things into three red baggs and we will go meet her wonsday at the tran station
19.0,"tefki, ethiopia",amharic19,amharic,female,data/speech_accent_archive/recordings/recordings/amharic19.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleatse calstella ask her to bring these things with her from the stoore sic spoons of fresh snow pees fie thicc slaps of blu chees and may be a snack for brother bob we also neede a small clastic smake and a big toy frog for the kits she con scute these things into three red bags and we l go meet her onesday at the train station
27.0,"addis ababa, ethiopia",amharic3,amharic,male,data/speech_accent_archive/recordings/recordings/amharic3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,blice cal setter ask her to bring distingise with her from the storp six spon of fresh norpisse five tic lip of dluchis and may be isnock for her briz abob we also mide a small plastics nack aand big toit frog for her kips the scaniscove distingse into three rid baks and we will go mittr whens they at the tran station
31.0,"addis ababa, ethiopia",amharic5,amharic,male,data/speech_accent_archive/recordings/recordings/amharic5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pliscortis stilla ask her to bring istings with her from the stot six spouns of fresh snowpiess five ixs slubs of blu ches and may be asnack for her brazar bob we also need a smorlastic snik and a blick twefrog for the its she canascop ziistinggis into srerad bugs and wil go mid her wensta athe trenstach
31.0,"addis ababa, ethiopia",amharic6,amharic,female,data/speech_accent_archive/recordings/recordings/amharic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,kes cald staar ask hr to bring thos things with her fron the stor sixs pons of fresh snow keas five tsixs lups of blu chees and ay b a snuck for her brother bol we ught o only the smol plastic smik and a bik toi fro for their itts she can scop thes things into three red backs and we will go mith her wens the athe trenstatian
22.0,"jiddah, saudi arabia",arabic102,arabic,male,data/speech_accent_archive/recordings/recordings/arabic102.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stela askd her to bring these things with her from the store six spoons of fresh snokees five fit thix slabbs of bluechees and may be a snack or her brother bog we also ned a small pastics snake in a big toifrog for the kids we can scoot these things into three red baggs and we will go met her om henes day at the tainsation
22.0,"meknes, morocco",arabic16,arabic,male,data/speech_accent_archive/recordings/recordings/arabic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costilla ask her to bring distings with her from the stow sixpoons of fresnow pees five sixs slabs of blu chees tha maby a snack for her brother bol we also need a snow plestixs nake in the big doy frog for the kes she can scop distings into a tree rat backs an we will go mit her whens thay aar the transtatiion
35.0,"settat, morocco",arabic17,arabic,male,data/speech_accent_archive/recordings/recordings/arabic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call still ask hor to bring thes tins with her from the stor six spons of forsnal peese fal thic slabbs of bre chees and may be aa sneck for hebrate bob we as only the smoprassic sneck and a big to frog for the kitts she can spo this thins into thre red bags and we will go meet her whence they ar the ternestation
18.0,"kuwait city, kuwait",arabic18,arabic,male,data/speech_accent_archive/recordings/recordings/arabic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ples colsteller ask her to bring these things with h from the tolk six scoons of pech snow pes five six labs of blue chies and may be a snack for her brother bok  we al to med a small plastiic  snake and the big toyfolk for the kids she can scow these things into swered baks and we willl go met her when es day at thes rain station
18.0,"damascus, syria",arabic2,arabic,male,data/speech_accent_archive/recordings/recordings/arabic2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal tella aask her to bring these things with her from the store sic spoones of fresh snow pees five thick slabs of blue cheees and may be a snack for her brother bob we also need a smot blasstick snake and a big toy frog for the kits she can scoob these things into the three red bags and we will go meet her wenstake at the train station
36.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,data/speech_accent_archive/recordings/recordings/arabic20.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela aske her to bring these things with her from the stort six spooons of rash snow pees five thick slabs of blue cheees and may be a snac of her brother ba we osonle the smort lastic snay and e bictory frog for the kits she can scoov these tins into three red bags and wull e go meet her wansta at the treinstiche
46.0,"beirut, lebanon",arabic21,arabic,female,data/speech_accent_archive/recordings/recordings/arabic21.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleese cal astella aask her to bring these things with her from the stor six spoones of fresh snow pees five thick slaps off blue chhees and may be a snack for her brother boe we also need a small plastic snake and a big toy ffrot for the kits she can scoop these things into three red backs and we will go meet her whens they ar the train station
23.0,"abu dhabi, united arab emirates",arabic22,arabic,female,data/speech_accent_archive/recordings/recordings/arabic22.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,tes carstera asked her to bring these things with her from the s door six porns of fresh snal pees five tix laves of bluwe chhees and may be asnartd for her brather bo we allso need the small plasic snake and a bigkta for for the kis she can scoot these things into three ibags and we will go met her onesday at the transtation
42.0,"al mahalla, egypt",arabic23,arabic,male,data/speech_accent_archive/recordings/recordings/arabic23.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these thanks with heher from the stoor six spoons of fresh snow pees five thick slabs of blue chhees and may be a snack for her brother bow we also need a smalll plastic snake an a big toy fridd for the kids she an scoop these thanks into three red baggs and wlll go meet her wins day at the train station
19.0,"riyadh, saudi arabia",arabic30,arabic,female,data/speech_accent_archive/recordings/recordings/arabic30.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plese castella ask her to bring these things with her for the stor six spoones of fresh am spons of fresh snote peese five thic slaps of buchies and may be a snack for her brother bop we also need a small plasicsnack am snack and he bik am toy froc for the kids she can scoop these things into three red baggs and we will golv meet her whons they at the trainestation
42.0,"baghdad, iraq",arabic32,arabic,male,data/speech_accent_archive/recordings/recordings/arabic32.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stela ask her to bring these things with her from the stoor six spoons of fresh sno pees five thick slobs of blluwe chees and maybe snachd for her brother ba we also need a smal plassic sa a snake and a big to fro for the kitts she can scroop these things into three hred bags and we will go mad her one day at the tran station
34.0,"kuwait city, kuwait",arabic34,arabic,female,data/speech_accent_archive/recordings/recordings/arabic34.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the stor six spoons of fresh snow pees five thix clabbs of blue chhees and maybe a snac for her brother bobb we also need aa small pplastic snake and a big toy frog for the kits she can scoop these things into three red bags and we wll go meet her one stay ot the train station
18.0,"jiddah, saudi arabia",arabic37,arabic,male,data/speech_accent_archive/recordings/recordings/arabic37.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pplease cal stela ask her to bring these things from the stor six poons of fresh sno pease five thix labs of blu chees and may be asnak for a brother bob we also need as mor plastic snake  and the bag foga to i frog for the kits she can schob theese things into  rerit backs and we will go met her when they at the trainstate
19.0,"sharjah, united arab emirates",arabic4,arabic,male,data/speech_accent_archive/recordings/recordings/arabic4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cord stalar ask care to bring these things with her from the stor six spoons of fresh snot pees five thic slapps of blu chees and may be asmuck for her brother boc we arso meede as mor clustics snick at the bictoyfog for the kits she can scoop theese things into thre red banks and wel go  meet here when is they at the tenstation
23.0,"jiddah, saudi arabia",arabic51,arabic,male,data/speech_accent_archive/recordings/recordings/arabic51.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call tella aske her to bring these things with her from the store six spoons of resh snowpees five thicks slaps of blue cheees and may be a snak for her brother bobb we also neet a smoll plastic snake and a big toy frog for the kits she can scoop these things into threee reedbags and le will go me here ones day at the train station
21.0,"jiddah, saudi arabia",arabic52,arabic,female,data/speech_accent_archive/recordings/recordings/arabic52.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the stor six poons of fresh snow peese five thicc slabs of blue chees and may be a snack for her brother bob we also need a small plastic snake and a big toy frogg fori the kids she can scoop these things into three red baggs and we will go meet her wonse they hav the train station
22.0,"baghdad, iraq",arabic54,arabic,male,data/speech_accent_archive/recordings/recordings/arabic54.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the stor six spooons of fresh snow pees ive fics slapps of blue chees and may be a snack for her brother babb we also neede a small plastic snake and a bik toyfrog for the kits she can scooop these things into three red bags and we will go meet her onesday at the trainstation
43.0,"ain defla, algeria",arabic56,arabic,male,data/speech_accent_archive/recordings/recordings/arabic56.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plese colatila ask here to bring these things with hare from the stor six poons of freesh snow peasfiive thick slibes of bblue chees and may be a snack for hare brother bobb we also need a small plastic snake and a big to frogg for thekeads she can scoop these things into thre red begs and we well go meet her nsdy at the train station
28.0,"beirut, lebanon",arabic57,arabic,female,data/speech_accent_archive/recordings/recordings/arabic57.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please coltela ask her to bring these things with her from the stor six spoons of fresh snow pees five thixs slabs of lu cheees and maybe a snack for her brotheer bobb wel also need a small clastic snake and a bigk toy frog for the kitts she an scoop tet things into three red bags and we will go meet her once tay at the train station
34.0,"baghdad, iraq",arabic58,arabic,male,data/speech_accent_archive/recordings/recordings/arabic58.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please ctela as her to bring these things with her from the sor six a spoones of fisch snow beas a five thix locs of bl chees an may be as snak for her brother boc we allso neede a small plastics na asnake  and a big toy frog for licits she can scoop these things into three redtboxs and we will go neet her when is vey at the churny station
55.0,"irbid, jordan",arabic59,arabic,male,data/speech_accent_archive/recordings/recordings/arabic59.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,tease call stellar aask here to briing thesese things with her from the stor sixs spoones of fresh snow pees five fick slapps of blue chhees and may be a snak for her brother bow we also need a small plastic snake annd a biig toy frog for the kits she can scoll these things into thre red bags and we wiill go meet have onse day at the train station
21.0,"sanaa, yemen",arabic6,arabic,male,data/speech_accent_archive/recordings/recordings/arabic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plese costill ask care to bring this things with heir from the stob six pones of frec snow bis bie fix slaps of grochies sand may be a snake for her brother pop w allso neede a smoll blusssic snacke and a bic toy frot for the kds she canscope this ad these things into three dadbic bas and we will go met her when a wonsday at their trainsstation
20.0,"manama, bahrain",arabic61,arabic,male,data/speech_accent_archive/recordings/recordings/arabic61.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleae call tella ask her to bring these things with her rom the store six spoones of fresh snok pees five thick slabs of blue cees and may be a snack for her brother bobb we also need a small plastic snak and the big toyhrog for the kitds she can scop these things into three red baggs and we will go meet her whenis day out the train station
23.0,"riyadh, saudi arabia",arabic64,arabic,male,data/speech_accent_archive/recordings/recordings/arabic64.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,a please coll stillar ask her to bring these things with her from the stor six spoons of fresh snopees five thick slapps of bluchies and may be as snac for her brother bo we also need a smoplastic snake and the big to a frog for the kits we can schoop these things into three red baggs and we will go met her winsday at the train station
32.0,"samail, oman",arabic65,arabic,female,data/speech_accent_archive/recordings/recordings/arabic65.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things with her from the stor six poons of fresh snow pees five thixs laps of blu chees and may be a snott for her brothers brother pok we also need us more plasti snake an a big doy frog for the kitts she can scoop these thigs into three red bads and we will go meet her when is they at the trainstation
55.0,"kerma, sudan",arabic69,arabic,female,data/speech_accent_archive/recordings/recordings/arabic69.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,peesse gostilla ask  ha to bring teth things wis farflong the stall sic poos o frech snon pees five thikslops wih rikis and may bisnit for her blovar bobg who also mit a smallblosstexsnaik and a big tol rog for the katses she caan scop tethe things into thre bbacs and well well go mit  howins di aa thee transtaa
47.0,"casablanca, morocco",arabic70,arabic,male,data/speech_accent_archive/recordings/recordings/arabic70.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please calstela ask her to braing these tinns withe hr from the stor tic spoons of fresh snow pees five thick slabbs of ebluches and mmay be a snack for her bother bod well also neet a smal plustic snack and a big toy fag for the kits she can scop these things into threee wed bags and ldo meet her one day at the trainstation
20.0,"baghdad, iraq",arabic72,arabic,female,data/speech_accent_archive/recordings/recordings/arabic72.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please col still ask her to bring thesese things with her from the store six poons of fresh snowbees by thik slabs of blu chees and may be asnack for her brother bobb we also neet a small plastic snake and a bak toy frogg for the kits she can scoove these things into three redd bags and we will comeet her when is they adderan station
