age,birthplace,filename,native_language,sex,path_to_audio,transcription,wavlm_base_transcriptions
45.0,"prishtina, kosovo",albanian7,albanian,female,data/speech_accent_archive/recordings/recordings/albanian7.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleace call thalla ask her to bring these things with her from the store six poons ofresh snow pece five thix laps of blue cheese and maybe a snak for her brother bob we also need the small plastic snake and the big doyfrog for the kids she can scoop these things into three red bags and we will go meet her one day at at trainstation
43.0,"prishtina, kosovo",albanian8,albanian,female,data/speech_accent_archive/recordings/recordings/albanian8.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stela ask her to bring these things from her with her from the store six poons of fresh snowpiece five thixk slabs of blue cheese and maybe a snack for her brother bob welsa eet a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wet wensday at the trinstasia
22.0,"tirana, albania",albanian9,albanian,female,data/speech_accent_archive/recordings/recordings/albanian9.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow bees five thik slabbs of blue cheese and maybe a snak for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop this things into three re bags and we will go meet her wensday at the train station
39.0,"ouarzazat, morocco",amazigh2,amazigh,male,data/speech_accent_archive/recordings/recordings/amazigh2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stila ask her to bring dhes thanks with her from the store six poons o frase snowpese five thixks lapse of blecheese and may be a snak for her bythe ba we also need a smae pasix nagk and a big to frog for the kits she can scooped it thanks into threetry bagks and we will go met her whensday at the trin station
24.0,"addis ababa, ethiopia",amharic11,amharic,female,data/speech_accent_archive/recordings/recordings/amharic11.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costella asker to bring these things with her from the store six spoons o fresh snowpece five tick slip o blue cheese and maybe i snagk for her brother bob we also need a small plastic snak in a big toy frog from the keats she can scoop this things into three red backs and we all swe will go meet her onesday at the trincticion
26.0,"addis ababa, ethiopia",amharic12,amharic,female,data/speech_accent_archive/recordings/recordings/amharic12.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pleace col estella ask her to bring the things with her from thes tor six a spoon of fresh smopiece five thicks slops of blue cheese and maybe a snak for the brother bu her brother bo we also need a smol plastic snak an the big toy frog for the kates she canascope thes things into three rad baks and we will go met her whenistey at the tren station
36.0,"werder, ethiopia",amharic16,amharic,male,data/speech_accent_archive/recordings/recordings/amharic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plise cal tela ask er to bring this tingeswis her from the stor six spons of fresh snowpace five tix las of blujieese and mabe a snak for her brozer ba we also need a smallplastic snack and a baktoi frog for thekits she can scoop this tings into three id baks and wil will go meet her wenseday a te trinstashion
21.0,"addis ababa, ethiopia",amharic17,amharic,male,data/speech_accent_archive/recordings/recordings/amharic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plese call stella asker to bring thisthing wis her from the store six spoons o fresh snowpese fi ix sleps o blue cheese a maybe a snak for her brother bu we also need a smallplastic snake and a big toy frog for the kitts she can scoop thisthings into three red begs and will go to meet her whonsetay at the trainstation
20.0,"addis ababa, ethiopia",amharic18,amharic,female,data/speech_accent_archive/recordings/recordings/amharic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please callstella askher to bring these things with her from the store six poons of fresh snowpeese five thick slabs of blue cheese and may be a snack for her brother bob we also need a small classic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wonesday at the train station
19.0,"tefki, ethiopia",amharic19,amharic,female,data/speech_accent_archive/recordings/recordings/amharic19.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colstela ask her to bring these things with her from the store six spoons of fresh snowpeese five thick slaps of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toy frog for the kits she can scoop these things nto three red bags and well go meet her wensday at the train station
27.0,"addis ababa, ethiopia",amharic3,amharic,male,data/speech_accent_archive/recordings/recordings/amharic3.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,beliscalsete ask her to bring these tinges with her from the store six spon o freh snawpiese five tik slip of bluchiese and maybe isnack for her bris abo we allso neetd a small plastic snack and big to frog for her keeps the skannscoof thes things into three reid backs and we will go met her whense they at the train station
31.0,"addis ababa, ethiopia",amharic5,amharic,male,data/speech_accent_archive/recordings/recordings/amharic5.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,blisecori steilaaskkher to bring istings wis her from desto six ponso fresh snowbeast fie tick slabsos blu chese and maybe a snakfor harbraza bop we also need as moraplastic snak and a bik toifrog for ekets sh canascopzistingis into treerad baks and well go met her wnsday atetranstish
31.0,"addis ababa, ethiopia",amharic6,amharic,female,data/speech_accent_archive/recordings/recordings/amharic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,kes coal stela ask er to bring thes things with her frond the stor six pnsaw fresh now keese five thick slaps of blue cheese and may be a snack for her brother bop we aultoeat a sma plastic sneak and a big toyfro for the kits she can scoop this things into three it backs and we wiuld go meet her wens te athe trencetio
22.0,"jiddah, saudi arabia",arabic102,arabic,male,data/speech_accent_archive/recordings/recordings/arabic102.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please castella ask er to bring these things with her from the store six spoons of fresh snowpeese five th thick slabs of blucheese and may be a snack for her brother bob we also eat a small pastic snake an a big toy frog for the kids we can scoope these things into three red bags and we will go meet her o wenesday at the train station
22.0,"meknes, morocco",arabic16,arabic,male,data/speech_accent_archive/recordings/recordings/arabic16.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal stell ask her to bring these things weid her from the sta sixpoons of frey snow beese five steke slaps of blue cheese ther may be a sngk for her brother ba we allso need a small blestic snake in the big toy frok for the keetse she can scoop these things into tree rat baks we will go met her wensday at the trans station
35.0,"settat, morocco",arabic17,arabic,male,data/speech_accent_archive/recordings/recordings/arabic17.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please gol stell ask her to bring these things with her from the storme six pons of fres snawpieese five thick slabs of blue cheese and may be a sneck for hebrother bob weors oneed a smaprassic snak and a big toy frog for the kids she can spol thes things into three red bags and we will go meet her whence they ar te transtation
18.0,"kuwait city, kuwait",arabic18,arabic,male,data/speech_accent_archive/recordings/recordings/arabic18.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,ese cols teller ask her to bring these sings with her from the stalk six poons of fwitch snow piese five seix slabs of lo cheese and maybe a snack for hi brother bob we also need a small plasti snake and a big toyfork for the kids she can scoo these things into threget baks and we will go methe wenis day at et train station
18.0,"damascus, syria",arabic2,arabic,male,data/speech_accent_archive/recordings/recordings/arabic2.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stell ask her to bring these things with her from the store six poons of fresh snow pease five thick slabs of blue cheese and maybe a snack for her brother bob we also need a smallsblastick snake and a big toy frog for the kits she can scoob these things into the three red bags and we will go meet her wensday at the train station
36.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,data/speech_accent_archive/recordings/recordings/arabic20.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plescol stelaask her to bring these kings with her on the sto six spoons of fresh snow bee five thick slaps of fo cheese and may be a snak of her brother va we also need a smo lastic snake and a big tloy fro for the gates she ganst schoo these things into three red bags an  go met  wonsday at the tran stache
46.0,"beirut, lebanon",arabic21,arabic,female,data/speech_accent_archive/recordings/recordings/arabic21.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,plese col stella ask her to bring these things with her from the store six spoons of fresh snowpeeds five thik slaps of locheese and may be a snack for her brother ba we also need a small plastic snake and a big toy frog for the kits she can scoop these things into three red baks and wwll go mneet her whensday at the train station
23.0,"abu dhabi, united arab emirates",arabic22,arabic,female,data/speech_accent_archive/recordings/recordings/arabic22.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,kese castaaask ar to bring these things with her rom thisdoor six pors of frist snowpese five thix labps of bloe cheese an maybeas nit for her brother bot we also need e smol blassicnake and a beit ti frok for the keats she kans coethings into three rat bags and we will go meet her ons day at the transashia
42.0,"al mahalla, egypt",arabic23,arabic,male,data/speech_accent_archive/recordings/recordings/arabic23.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,cleas call sta ask her to braing these thanks with her from the store six spoons of fresh snow peese five thick slaps of blue cheese and maybe a snak for her brother bow we also need a small plastic snake and a big toy frige for the kids she kanscoop these thangs into three rid begs and wl go meet her wensday at the train station
19.0,"riyadh, saudi arabia",arabic30,arabic,female,data/speech_accent_archive/recordings/recordings/arabic30.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,face costela ask her to bring these things with her for the store six poons of fresh am spoons of fresh snot pese five thick slaps of loo cheese in maybe a snack for her brother bo we also ned a small plassi snack a snack and a big a toy frogfr the kids shee kan scoop these things intithety red bags and we will go meet her wonsday at the trainstshion
42.0,"baghdad, iraq",arabic32,arabic,male,data/speech_accent_archive/recordings/recordings/arabic32.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please col stella ask her to bring these things with her from the stor six spoons o frih snowpiese five thick slops of blue cheese and maybe snaks for her brother ba we also need a small plassic sna ave snake and a big tofr for the kits shee kanscoop these things into three thred bags and we will go meet her onesday at the tran stace
34.0,"kuwait city, kuwait",arabic34,arabic,female,data/speech_accent_archive/recordings/recordings/arabic34.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six spoons of fresh snow peese five thick slabs of blue cheese and may be a snak for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her weneday at the train station
18.0,"jiddah, saudi arabia",arabic37,arabic,male,data/speech_accent_archive/recordings/recordings/arabic37.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please castella ask her to bring these things from the store six poons of fresh now piece five thixk slabbs of blu cheese and maybe asnap for a botherbo we also need as more plastic snakes and ae bag a to frog for the kits she can scoub these things into a three red baks and we will go meet her wensday at the train stace
19.0,"sharjah, united arab emirates",arabic4,arabic,male,data/speech_accent_archive/recordings/recordings/arabic4.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cod stear ask are to bring these things with her from the star six spoons of fresh snowpiese five thick slaps of lo cheese and maybe asnik for her brother bob we so needes mo blustic snick at the victory frog for the kits she can scoop these things into three red bags and well go meet here when is dey a te tranctation
23.0,"jiddah, saudi arabia",arabic51,arabic,male,data/speech_accent_archive/recordings/recordings/arabic51.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask hare to bring these things with her from the store six spoons of fresh snopieese five thick slaps of blo cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kits she can scoop these things into three rud bags and we will go met har ones day at the train station
21.0,"jiddah, saudi arabia",arabic52,arabic,female,data/speech_accent_archive/recordings/recordings/arabic52.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stella ask her to bring these things with her from the store six poons of fresh snow peese five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things insou three red bags and we will go meet her wonsday of the train station
22.0,"baghdad, iraq",arabic54,arabic,male,data/speech_accent_archive/recordings/recordings/arabic54.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please colstela ask her to bring these things with her from the store six spoons of fresh snowpeese five thixk slaps of blue cheese and may be a snack for her brother bob we also need a small plastic snake and a big toyfrog for the kits she can scoop these things into three red bags and we will go meet her oneday at the train station
43.0,"ain defla, algeria",arabic56,arabic,male,data/speech_accent_archive/recordings/recordings/arabic56.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal teila ask her to bring thes things with her from the store six poons of fresh snow pese five thick slies of blue cheesee and maybe o snak for her brother bob we also need o small plastic snake and big to frog for the keeds  she can scoop  these things into three red pegs and we weill go meet her wens the at the train station
28.0,"beirut, lebanon",arabic57,arabic,female,data/speech_accent_archive/recordings/recordings/arabic57.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please cal tea ask her to bring these things with her from the thor six poorns a fresh snowpiese five thix slabs of flu cheese and maybe a snak for her brother bob we also need a small plastic snake and a big toy frock for the keds she can scoop te things and to three read bags and we will go meet her once day at the train station
34.0,"baghdad, iraq",arabic58,arabic,male,data/speech_accent_archive/recordings/recordings/arabic58.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,leest costela ask her to bring these things with her from the stor sixisponso fresh snow beese a five thixlops o a boocheese an maybe asnagk for her brother bo we also need a small blastic nas nakecaand a big toy frog forlikts she kens coop these things into three red box and we will go met her whens ey at the shine station
55.0,"irbid, jordan",arabic59,arabic,male,data/speech_accent_archive/recordings/recordings/arabic59.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,pheese col stell ask are to bring these things with her from the stor six spoons of fresh snow teese five thick slaps of blue cheese and maybe a snak for her brother bo we also need a small plasic snake and a big toy frog for the kits she can school these things intil three rid bags and we will go meat her onestay at the train stish
21.0,"sanaa, yemen",arabic6,arabic,male,data/speech_accent_archive/recordings/recordings/arabic6.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costi ask here to bring these things with her from the sto six pons or fresh snow bath i thick slaps of blu cheeses and maybe a snake for her brother p we also need a small blussig snake and at bictoy frog for the keets she canscop this a these things into threerat bbags and we will go meet her when r onsday at their trinstation
20.0,"manama, bahrain",arabic61,arabic,male,data/speech_accent_archive/recordings/recordings/arabic61.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please call stelu ask her to bring these things with her from the store six poons of freh snowpeese five thick slabs of ble cheese and may be a snack for her brother bob we also need a small plastic snake and a big torfrog for the kids she can scoope these things into three red bags and w will go meet her wen as dey out the train station
23.0,"riyadh, saudi arabia",arabic64,arabic,male,data/speech_accent_archive/recordings/recordings/arabic64.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,a please cal ste ask er to bring these things with her from the star six spoons of fresh snowpiese five thick slaps of blucheis and maybe a snack for her brother bo we also need a smallplastick snake and a big toy frog for the kets we can scoop thes things into three red bags and we will go meet her whens day at the train station
32.0,"samail, oman",arabic65,arabic,female,data/speech_accent_archive/recordings/recordings/arabic65.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please col stela ask her to bring these things with her rom the stor six poons o fresh snow pese five thick slaps of blu cheese and maybe athno for her brothers brother po we also need aus more plastic snake and a big toy frog for the kits she can scoop these things into three red badts and we will go meet her wens day a the trainstasion
55.0,"kerma, sudan",arabic69,arabic,female,data/speech_accent_archive/recordings/recordings/arabic69.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,peasce gods tilaask a the binge ings is hor om te sta sex p risnapes i thickslovs bchees an maybe snik for har blothe bob ou asomate a smalblasticsni and a ba to for for the keas shecansco things ede three baks anw wilgomawinsdi ithe tristsio
47.0,"casablanca, morocco",arabic70,arabic,male,data/speech_accent_archive/recordings/recordings/arabic70.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,leese cose talla skkurto bang these things with her from the stor six pons o fresh snowpeese five thick slabs of abl cheese and maybe a snak for her bother bob where asoneita small plustick snagk and a big to frag for the kits she kans coup thes things ino three wethbags a ogo meetc her onese day at the transtation
20.0,"baghdad, iraq",arabic72,arabic,female,data/speech_accent_archive/recordings/recordings/arabic72.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,bleese col stolla ask her to bring these things with her from the store six bons o fresh snow beast bi thigk slaps of blue cheese int maybe asnak for her brother bub we also need a mall plastick snake and a big to frog for the kits shee kan scoo these things into three rad bags and wee will go meet her wn s dey a th ering station
18.0,"alexandria, egypt",arabic74,arabic,male,data/speech_accent_archive/recordings/recordings/arabic74.mp3,please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,please costela ask her to bring thes fings with her from e stor six poons a fresh snow bees five thixk slaps of blue cheese and maybe a snak for her broer bo we also neet a small plastic snake and the big toy froc for t gods she can scoo vs phings into free red baks and we will go meet her ones day at trastation
