transcription,path_to_audio,speaker_id,native_language,gender,unispeechsat_base_transcriptions
the fourth and fifth days passed without any developments,data/l2arctic/ABA/wav/arctic_a0064.wav,ABA,Arabic,M,the fourth and fifth dhese passt without any devilopments
they closed now until his fingers were like cords of steel,data/l2arctic/ABA/wav/arctic_a0065.wav,ABA,Arabic,M,they closed now until his fingers were like quords of steel
he saw jeanne falter for a moment,data/l2arctic/ABA/wav/arctic_a0066.wav,ABA,Arabic,M,he saw gen failter for a moment
surely i will excuse you she cried,data/l2arctic/ABA/wav/arctic_a0067.wav,ABA,Arabic,M,surely i will excuse you she cried
from that moment his friendship for belize turns to hatred and jealousy,data/l2arctic/ABA/wav/arctic_a0017.wav,ABA,Arabic,M,from that moment his friendship forreplies turnest to hitterd and jealousy
men of seldens stamp dont stop at women and children,data/l2arctic/ABA/wav/arctic_a0034.wav,ABA,Arabic,M,men of syldons stam don't stop at woman and tchildren
the lace was of a delicate ivory color faintly tinted with yellow,data/l2arctic/ABA/wav/arctic_a0051.wav,ABA,Arabic,M,the lace was of a delicate evori colour faintly tinted with ealo
in a flash philip followed its direction,data/l2arctic/ABA/wav/arctic_a0068.wav,ABA,Arabic,M,in a flesh flip followed its direction
a trickle of fresh blood ran over his face,data/l2arctic/ABA/wav/arctic_a0085.wav,ABA,Arabic,M,a trickle ofefrish blood  run over his face
he will follow us soon,data/l2arctic/ABA/wav/arctic_a0102.wav,ABA,Arabic,M,he will foll asun
jeanne was turning the bow shoreward,data/l2arctic/ABA/wav/arctic_a0119.wav,ABA,Arabic,M,gine was turning the bow shureward
about him everywhere were the evidences of luxury and of age,data/l2arctic/ABA/wav/arctic_a0136.wav,ABA,Arabic,M,about him everywhere with the evidence of a luxury and of age
macdougall tapped his forehead suspiciously with a stubby forefinger,data/l2arctic/ABA/wav/arctic_a0153.wav,ABA,Arabic,M,magduga tabbed his forehead suspiciously always asteaby forefinger
and when you come back in a few days bring eileen,data/l2arctic/ABA/wav/arctic_a0171.wav,ABA,Arabic,M,and when you come back in a few days prng ilin
two gigantic owls were tearing at the carcass,data/l2arctic/ABA/wav/arctic_a0188.wav,ABA,Arabic,M,two gigrantic olds wereh teering at zacarcus
from now on were pals,data/l2arctic/ABA/wav/arctic_a0205.wav,ABA,Arabic,M,for now on we are palte
what part of the united states is your home,data/l2arctic/ABA/wav/arctic_a0222.wav,ABA,Arabic,M,what part of the nice states is your home
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/ABA/wav/arctic_a0239.wav,ABA,Arabic,M,he cried in such agenian dismay that she broke into a hearty laughter
see the length of the body and that elongated neck,data/l2arctic/ABA/wav/arctic_a0256.wav,ABA,Arabic,M,see the lins of the body and that illonegated nick
it was his intention to return to eileen and her father,data/l2arctic/ABA/wav/arctic_a0069.wav,ABA,Arabic,M,it was his intention to return to ilen and her father
he would first hunt up gregson and begin his work there,data/l2arctic/ABA/wav/arctic_a0070.wav,ABA,Arabic,M,he would first hand up grikson and begin his wrk there
what was the object of your little sensation,data/l2arctic/ABA/wav/arctic_a0071.wav,ABA,Arabic,M,what was the object of you little sensation
but who was eileens double,data/l2arctic/ABA/wav/arctic_a0072.wav,ABA,Arabic,M,but who was ilin's adople
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/ABA/wav/arctic_a0073.wav,ABA,Arabic,M,the brumetors eyes were heavy with little puffe pugs under them
and now down there eileen was waiting for him,data/l2arctic/ABA/wav/arctic_a0074.wav,ABA,Arabic,M,an dina dow and there ilin was waiting for him
there has been a change she interrupted him,data/l2arctic/ABA/wav/arctic_a0075.wav,ABA,Arabic,M,there has been a change she interrupted him
the gray eyes faltered the flush deepened,data/l2arctic/ABA/wav/arctic_a0076.wav,ABA,Arabic,M,thei gry eyes filtered athe flush deepened
it is the fire partly she said,data/l2arctic/ABA/wav/arctic_a0077.wav,ABA,Arabic,M,it is the fire partly she said
then and at supper he tried to fathom her,data/l2arctic/ABA/wav/arctic_a0078.wav,ABA,Arabic,M,then and at supper he tried to futtom hair
it was a large canoe,data/l2arctic/ABA/wav/arctic_a0079.wav,ABA,Arabic,M,it was a large kenne
what if jeanne failed him,data/l2arctic/ABA/wav/arctic_a0080.wav,ABA,Arabic,M,what if igiin fail to him
what if she did not come to the rock,data/l2arctic/ABA/wav/arctic_a0081.wav,ABA,Arabic,M,what if she didn't come to the roke
his face was streaming with blood,data/l2arctic/ABA/wav/arctic_a0082.wav,ABA,Arabic,M,his face was dreaming with blood
a shadow was creeping over pierres eyes,data/l2arctic/ABA/wav/arctic_a0083.wav,ABA,Arabic,M,a shadow was creeping over berd eyes
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/ABA/wav/arctic_a0084.wav,ABA,Arabic,M,scarcely had he uttered the nime when pari's closing eyes shut open
death had come with terrible suddenness,data/l2arctic/ABA/wav/arctic_a0086.wav,ABA,Arabic,M,death had come with terripl sadness
philip bent lower and stared into the face of the dead man,data/l2arctic/ABA/wav/arctic_a0087.wav,ABA,Arabic,M,phlipppint lower and destared into the face of thei did men
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/ABA/wav/arctic_a0088.wav,ABA,Arabic,M,he made sure that the magazine was loaded and resumed his budlink
the night glow was treacherous to shoot by,data/l2arctic/ABA/wav/arctic_a0089.wav,ABA,Arabic,M,the nightglu was trichrus toushudpi
the singing voice approached rapidly,data/l2arctic/ABA/wav/arctic_a0090.wav,ABA,Arabic,M,ve singing voice approached rapidly
his blood grew hot with rage at the thought,data/l2arctic/ABA/wav/arctic_a0091.wav,ABA,Arabic,M,his blood grew hot while rge at the thought
he went down in midstream searching the shadows of both shores,data/l2arctic/ABA/wav/arctic_a0092.wav,ABA,Arabic,M,he went don in midistrem sirching the shadows of poth shores
for a full minute he crouched and listened,data/l2arctic/ABA/wav/arctic_a0093.wav,ABA,Arabic,M,for a full minute he crouached and listened
he had barely entered this when he saw the glow of a fire,data/l2arctic/ABA/wav/arctic_a0094.wav,ABA,Arabic,M,he had barely entered this when he saw the glow of a fire
a big canvas tent was the first thing to come within his vision,data/l2arctic/ABA/wav/arctic_a0095.wav,ABA,Arabic,M,a big canvas tintoa the first thing to come within his vision
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/ABA/wav/arctic_a0096.wav,ABA,Arabic,M,perhaps she had already mit her fate a little deeper in the forest
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/ABA/wav/arctic_a0097.wav,ABA,Arabic,M,then you can arrange yourselve conforcably among these robes in the po
shall i carry you,data/l2arctic/ABA/wav/arctic_a0098.wav,ABA,Arabic,M,shall i cett you
a maddening joy pounded in his brain,data/l2arctic/ABA/wav/arctic_a0099.wav,ABA,Arabic,M,amedeninc jou bounded in his brain
you must sleep he urged,data/l2arctic/ABA/wav/arctic_a0100.wav,ABA,Arabic,M,you must eslep  ergit
you you wouldnt keep the truth from me,data/l2arctic/ABA/wav/arctic_a0101.wav,ABA,Arabic,M,you youre than to give the ruth from me
but there came no promise from the bow of the canoe,data/l2arctic/ABA/wav/arctic_a0103.wav,ABA,Arabic,M,but there came no promise from the pou of the cano
she was sleeping under his protection as sweetly as a child,data/l2arctic/ABA/wav/arctic_a0104.wav,ABA,Arabic,M,she was leaping under his protiction as sweetly as a child
only it is so wonderful so almost impossible to believe,data/l2arctic/ABA/wav/arctic_a0105.wav,ABA,Arabic,M,only its so wonderful so almost impossible to believe
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/ABA/wav/arctic_a0106.wav,ABA,Arabic,M,the emotion which she had suppressed perssed forth now in a choking sop
if you only could know how i thank you,data/l2arctic/ABA/wav/arctic_a0107.wav,ABA,Arabic,M,if you only could know how i thank you
he waded into the edge of the water and began scrubbing himself,data/l2arctic/ABA/wav/arctic_a0108.wav,ABA,Arabic,M,he waided into the adge ofer the water and begun scrubping himself
do you know that you are shaking my confidence in you,data/l2arctic/ABA/wav/arctic_a0109.wav,ABA,Arabic,M,do you know that you are shaking my confidence in you
much replied jeanne as tersely,data/l2arctic/ABA/wav/arctic_a0110.wav,ABA,Arabic,M,muchr oblijan as terristly
instead he joined her and they ate like two hungry children,data/l2arctic/ABA/wav/arctic_a0111.wav,ABA,Arabic,M,in istead he joined th hare and the ate like to hangry children
he was wounded in the arm,data/l2arctic/ABA/wav/arctic_a0112.wav,ABA,Arabic,M,he was wanded in the arm
i suppose you picked that lingo up among the indians,data/l2arctic/ABA/wav/arctic_a0113.wav,ABA,Arabic,M,i suppose you'll big that lango up among the indians
her words sent a strange chill through philip,data/l2arctic/ABA/wav/arctic_a0114.wav,ABA,Arabic,M,here wore the cent a strange chill throu flipp
he had no excuse for the feelings which were aroused in him,data/l2arctic/ABA/wav/arctic_a0115.wav,ABA,Arabic,M,he had no execuse for the feelings which we're arost in him
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/ABA/wav/arctic_a0116.wav,ABA,Arabic,M,was it therindevou of those who were striving to work his ruin
she added with genuine sympathy in her face and voice,data/l2arctic/ABA/wav/arctic_a0117.wav,ABA,Arabic,M,she added with genian thympathy in hir face and te voice
pierre obeys me when we are together,data/l2arctic/ABA/wav/arctic_a0118.wav,ABA,Arabic,M,per opeys me when we are together
my right foot feels like that of a chinese debutante,data/l2arctic/ABA/wav/arctic_a0120.wav,ABA,Arabic,M,my right foot feeds like that of a chinese debutont
they ate dinner at the fifth and rested for two hours,data/l2arctic/ABA/wav/arctic_a0121.wav,ABA,Arabic,M,they ate dinner at the fifth and risted for two hours
two years ago i gave up civilization for this,data/l2arctic/ABA/wav/arctic_a0122.wav,ABA,Arabic,M,two years ago i give up civilization for thith
she had died from cold and starvation,data/l2arctic/ABA/wav/arctic_a0123.wav,ABA,Arabic,M,she had died from cauld and starvation
it was jeanne singing softly over beyond the rocks,data/l2arctic/ABA/wav/arctic_a0124.wav,ABA,Arabic,M,it was jane sainging softily over beyond the roks
he was determined now to maintain a more certain hold upon himself,data/l2arctic/ABA/wav/arctic_a0125.wav,ABA,Arabic,M,he was determined now to maintain a more certain hold up on himself
each day she became a more vital part of him,data/l2arctic/ABA/wav/arctic_a0126.wav,ABA,Arabic,M,hy da she became a more vital part of him
it was a temptation but he resisted it,data/l2arctic/ABA/wav/arctic_a0127.wav,ABA,Arabic,M,it was an imputation but he resisted it
this one hope was destroyed as quickly as it was born,data/l2arctic/ABA/wav/arctic_a0128.wav,ABA,Arabic,M,this one hope was destroyed as quickly as it was poor
her face was against his breast,data/l2arctic/ABA/wav/arctic_a0129.wav,ABA,Arabic,M,his face was against his brist
she was his now forever,data/l2arctic/ABA/wav/arctic_a0130.wav,ABA,Arabic,M,she was his no for ever
providence had delivered him through the maelstrom,data/l2arctic/ABA/wav/arctic_a0131.wav,ABA,Arabic,M,providence had delivered him through ze melestor
a cry of joy burst from philips lips,data/l2arctic/ABA/wav/arctic_a0132.wav,ABA,Arabic,M,a cry of joy persid from aphlip's lips
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/ABA/wav/arctic_a0133.wav,ABA,Arabic,M,flib begun to feel that he had foolishly over estimated hith strength
he obeyed the pressure of her hand,data/l2arctic/ABA/wav/arctic_a0134.wav,ABA,Arabic,M,he opeyed the pressure of hare hand
i am going to surprise father and you will go with pierre,data/l2arctic/ABA/wav/arctic_a0135.wav,ABA,Arabic,M,i am going to surprise father and you will go with bir
then he stepped back with a low cry of pleasure,data/l2arctic/ABA/wav/arctic_a0137.wav,ABA,Arabic,M,zhen he stipped back with a low cry of a pleasure
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/ABA/wav/arctic_a0138.wav,ABA,Arabic,M,in the picture he saw each moment a greater resemblance tugene
he told himself that as he washed himself and groomed his disheveled clothes,data/l2arctic/ABA/wav/arctic_a0139.wav,ABA,Arabic,M,he told himself that as he warged himself and groomed his dechivaeled glothes
accept a fathers blessing and with it this,data/l2arctic/ABA/wav/arctic_a0140.wav,ABA,Arabic,M,except a father is blessing and with it this
it seems like a strange pointing of the hand of god,data/l2arctic/ABA/wav/arctic_a0141.wav,ABA,Arabic,M,it seems like a strange pointing of the hand of god
such things had occurred before he told philip,data/l2arctic/ABA/wav/arctic_a0142.wav,ABA,Arabic,M,such things had occared before he told phlip
ah i had forgotten he exclaimed,data/l2arctic/ABA/wav/arctic_a0143.wav,ABA,Arabic,M,ah i had forgitten he execlaimed
but there was something even more startling than this resemblance,data/l2arctic/ABA/wav/arctic_a0144.wav,ABA,Arabic,M,but there was something even more startling than this resemblance
i have to be careful of them as they tear very easily,data/l2arctic/ABA/wav/arctic_a0145.wav,ABA,Arabic,M,i have to be careful of them an they tear very easily
of course that is uninteresting she continued,data/l2arctic/ABA/wav/arctic_a0146.wav,ABA,Arabic,M,of course that is uninteresting she continued
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/ABA/wav/arctic_a0147.wav,ABA,Arabic,M,a moment before he was intoxicated by a joy that was almost madness
now these things had been struck dead within him,data/l2arctic/ABA/wav/arctic_a0148.wav,ABA,Arabic,M,now these things had been struck did within him
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/ABA/wav/arctic_a0149.wav,ABA,Arabic,M,for an inninstant he is so peridron like a todewith against the sky
goodbye pierre he shouted,data/l2arctic/ABA/wav/arctic_a0150.wav,ABA,Arabic,M,good by berry he shouted
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/ABA/wav/arctic_a0151.wav,ABA,Arabic,M,and th magdugal was beyond the trail with three weeks to spare
philip thrust himself against it and entered,data/l2arctic/ABA/wav/arctic_a0152.wav,ABA,Arabic,M,flip thrust himself against it and interest
he was smooth shaven and his hair and eyes were black,data/l2arctic/ABA/wav/arctic_a0154.wav,ABA,Arabic,M,he was mourth shaven and his hair and eyes were plack
wont you draw up gentlemen,data/l2arctic/ABA/wav/arctic_a0155.wav,ABA,Arabic,M,will not you drow up gentlemen
a strange fire burned in his eyes when thorpe turned,data/l2arctic/ABA/wav/arctic_a0156.wav,ABA,Arabic,M,a strange ffire burned in his eyes owhen thorpe ternit
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/ABA/wav/arctic_a0157.wav,ABA,Arabic,M,he had a worshipped here as a danty might have worshipped pitrise
they look as though he had been drumming a piano all his life,data/l2arctic/ABA/wav/arctic_a0159.wav,ABA,Arabic,M,they lookd at so he had been druamming a piano all his life
you want to go over and see his gang throw dirt,data/l2arctic/ABA/wav/arctic_a0160.wav,ABA,Arabic,M,you want to go over and see his gang through theirt
take away their foreman and they wouldnt be worth their grub,data/l2arctic/ABA/wav/arctic_a0161.wav,ABA,Arabic,M,take away their foure men and they woulden't to be warth their grup
thats the sub foreman explained thorpe,data/l2arctic/ABA/wav/arctic_a0162.wav,ABA,Arabic,M,that is a sob forman explained thorpe
philip made no effort to follow,data/l2arctic/ABA/wav/arctic_a0163.wav,ABA,Arabic,M,flabde made no effort to follow
he came first a year ago and revealed himself to jeanne,data/l2arctic/ABA/wav/arctic_a0164.wav,ABA,Arabic,M,he came first a year ago and revealed himself to jene
they are to attack your camp tomorrow night,data/l2arctic/ABA/wav/arctic_a0165.wav,ABA,Arabic,M,they are to attack your camp to morrow night
two days ago jeanne learned where her fathers men were hiding,data/l2arctic/ABA/wav/arctic_a0166.wav,ABA,Arabic,M,two days ago jane learn id wher hir father's men were hiding
i was near the cabin and saw you,data/l2arctic/ABA/wav/arctic_a0167.wav,ABA,Arabic,M,i was near the kepin and  suyou
a low bush whipped him in the face and left no sting,data/l2arctic/ABA/wav/arctic_a0168.wav,ABA,Arabic,M,allopash wibbed him in the face and delift nostink
suddenly jeanne stopped for an instant,data/l2arctic/ABA/wav/arctic_a0169.wav,ABA,Arabic,M,saudely genstobdefor an innoccant
there was none of the joy of meeting in his face,data/l2arctic/ABA/wav/arctic_a0170.wav,ABA,Arabic,M,there was none of the joy of meeting in his face
gregson had left the outer door slightly ajar,data/l2arctic/ABA/wav/arctic_a0172.wav,ABA,Arabic,M,grikson had livet the outer door slightly aere
the date was nearly eighteen years old,data/l2arctic/ABA/wav/arctic_a0173.wav,ABA,Arabic,M,the date was nearly eighteen years old
they were the presage of storm,data/l2arctic/ABA/wav/arctic_a0174.wav,ABA,Arabic,M,they wear s a pressage of storm
down there the earth was already swelling with life,data/l2arctic/ABA/wav/arctic_a0175.wav,ABA,Arabic,M,dow an there the airs was already swilling with life
for the first time in his life he was yearning for a scrap,data/l2arctic/ABA/wav/arctic_a0176.wav,ABA,Arabic,M,for the first time in his life he was hierning forast crap
she had been thoroughly and efficiently mauled,data/l2arctic/ABA/wav/arctic_a0177.wav,ABA,Arabic,M,she had been throughly and efficient emolted
every bone in her aged body seemed broken or dislocated,data/l2arctic/ABA/wav/arctic_a0178.wav,ABA,Arabic,M,everybone in her aged body seemed proking or dislocated
tomorrow im going after that bear he said,data/l2arctic/ABA/wav/arctic_a0179.wav,ABA,Arabic,M,to morrow i am going after that beer he said
if not lets say our prayers and go to bed,data/l2arctic/ABA/wav/arctic_a0180.wav,ABA,Arabic,M,if not let's say our prayers and go to bit
so cheer up and give us your paw,data/l2arctic/ABA/wav/arctic_a0181.wav,ABA,Arabic,M,so cheer up and give us urapo
this time he did not yap for mercy,data/l2arctic/ABA/wav/arctic_a0182.wav,ABA,Arabic,M,this time he did in eap for mercy
and the air was growing chilly,data/l2arctic/ABA/wav/arctic_a0183.wav,ABA,Arabic,M,and the air was growing chilly
dont you see im chewing this thing in two,data/l2arctic/ABA/wav/arctic_a0184.wav,ABA,Arabic,M,don't you see iam showing this thing into
the questions may have come vaguely in his mind,data/l2arctic/ABA/wav/arctic_a0185.wav,ABA,Arabic,M,thaquisians may have come vaguely in his mind
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/ABA/wav/arctic_a0186.wav,ABA,Arabic,M,like a flesh he lunched himself into the fithered mass of the old
ahead of them they saw a glimmer of sunshine,data/l2arctic/ABA/wav/arctic_a0187.wav,ABA,Arabic,M,ahead of them they sow a glimmer of sunshine
the big eyed clucking moose birds were most annoying,data/l2arctic/ABA/wav/arctic_a0189.wav,ABA,Arabic,M,the big eyed clucking mose birds were most annoying
next to them the canada jays were most persistent,data/l2arctic/ABA/wav/arctic_a0190.wav,ABA,Arabic,M,nix to him the cannadaje's were most presistent
for a time the exciting thrill of his adventure was gone,data/l2arctic/ABA/wav/arctic_a0191.wav,ABA,Arabic,M,for a time the existing thrill of his adventure was gone
he did not rush in,data/l2arctic/ABA/wav/arctic_a0192.wav,ABA,Arabic,M,hiddin terush in
it was edged with ice,data/l2arctic/ABA/wav/arctic_a0193.wav,ABA,Arabic,M,it was idgid with ice
he drank of the water cautiously,data/l2arctic/ABA/wav/arctic_a0194.wav,ABA,Arabic,M,he drank over the water cautiously
but a strange thing happened,data/l2arctic/ABA/wav/arctic_a0195.wav,ABA,Arabic,M,but a strange thing happened
he began to follow the footprints of the dog,data/l2arctic/ABA/wav/arctic_a0196.wav,ABA,Arabic,M,he began to follow the footprints of the duk
such a dog the wise driver kills or turns loose,data/l2arctic/ABA/wav/arctic_a0197.wav,ABA,Arabic,M,such a dug the wise driver kills or tenistos
sometimes her dreams were filled with visions,data/l2arctic/ABA/wav/arctic_a0198.wav,ABA,Arabic,M,sometimes hare dreams were filled with visions
thus had the raw wilderness prepared him for this day,data/l2arctic/ABA/wav/arctic_a0199.wav,ABA,Arabic,M,zus had zero wildernest prepared him for this day
