transcription,path_to_audio,speaker_id,native_language,gender,whisper_base_transcriptions
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/ABA/wav/arctic_a0096.wav,ABA,Arabic,M,perhaps she had already made her fit a little deeper in the first.!!
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/ABA/wav/arctic_a0097.wav,ABA,Arabic,M,then you can arrange yourself comfortably among these ropes in the pole.!!
shall i carry you,data/l2arctic/ABA/wav/arctic_a0098.wav,ABA,Arabic,M,shall i carry you?!!
a maddening joy pounded in his brain,data/l2arctic/ABA/wav/arctic_a0099.wav,ABA,Arabic,M,medinning joy pounded in his brain.!!
you must sleep he urged,data/l2arctic/ABA/wav/arctic_a0100.wav,ABA,Arabic,M,you must sleep and urge it.!!
you you wouldnt keep the truth from me,data/l2arctic/ABA/wav/arctic_a0101.wav,ABA,Arabic,M,"you, you wouldn't keep the truth from me.!!"
but there came no promise from the bow of the canoe,data/l2arctic/ABA/wav/arctic_a0103.wav,ABA,Arabic,M,but there came no promise from the poo of the canon.!!
she was sleeping under his protection as sweetly as a child,data/l2arctic/ABA/wav/arctic_a0104.wav,ABA,Arabic,M,she was leaving under his protection as sweetly as a child.!!
only it is so wonderful so almost impossible to believe,data/l2arctic/ABA/wav/arctic_a0105.wav,ABA,Arabic,M,"only it's so wonderful, so almost impossible to believe.!!"
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/ABA/wav/arctic_a0106.wav,ABA,Arabic,M,"the emotion which she had suppressed, pressed forth now in a choking soap.!!"
if you only could know how i thank you,data/l2arctic/ABA/wav/arctic_a0107.wav,ABA,Arabic,M,if you only could know how i thank you.!!
he waded into the edge of the water and began scrubbing himself,data/l2arctic/ABA/wav/arctic_a0108.wav,ABA,Arabic,M,he waited into the edge of the water and began scrapping himself.!!
do you know that you are shaking my confidence in you,data/l2arctic/ABA/wav/arctic_a0109.wav,ABA,Arabic,M,do you know that you are shaking my confidence in you?!!
much replied jeanne as tersely,data/l2arctic/ABA/wav/arctic_a0110.wav,ABA,Arabic,M,much bloodshed as... seriously.!!
instead he joined her and they ate like two hungry children,data/l2arctic/ABA/wav/arctic_a0111.wav,ABA,Arabic,M,"instead, he joined here and they ate like two hungry children.!!"
he was wounded in the arm,data/l2arctic/ABA/wav/arctic_a0112.wav,ABA,Arabic,M,he was wanted in the arm.!!
i suppose you picked that lingo up among the indians,data/l2arctic/ABA/wav/arctic_a0113.wav,ABA,Arabic,M,i suppose you'll big that link up among the indians.!!
her words sent a strange chill through philip,data/l2arctic/ABA/wav/arctic_a0114.wav,ABA,Arabic,M,"here, we are going to send a strange chill through flip.!!"
he had no excuse for the feelings which were aroused in him,data/l2arctic/ABA/wav/arctic_a0115.wav,ABA,Arabic,M,he had no execuse for the feelings which were aroused in him.!!
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/ABA/wav/arctic_a0116.wav,ABA,Arabic,M,was it the rendouville of those who were striving to work his ruin?!!
she added with genuine sympathy in her face and voice,data/l2arctic/ABA/wav/arctic_a0117.wav,ABA,Arabic,M,"she added with genuine, thimpy in her face and voice.!!"
pierre obeys me when we are together,data/l2arctic/ABA/wav/arctic_a0118.wav,ABA,Arabic,M,who pays me when we are together.!!
my right foot feels like that of a chinese debutante,data/l2arctic/ABA/wav/arctic_a0120.wav,ABA,Arabic,M,my right foot feeds like that of a chinese debutant.!!
they ate dinner at the fifth and rested for two hours,data/l2arctic/ABA/wav/arctic_a0121.wav,ABA,Arabic,M,they ate dinner at the 5th and rested for 2 hours.!!!
two years ago i gave up civilization for this,data/l2arctic/ABA/wav/arctic_a0122.wav,ABA,Arabic,M,"two years ago, i gave up civilization for this.!!!"
she had died from cold and starvation,data/l2arctic/ABA/wav/arctic_a0123.wav,ABA,Arabic,M,she had died from cold and starvation.!!!
it was jeanne singing softly over beyond the rocks,data/l2arctic/ABA/wav/arctic_a0124.wav,ABA,Arabic,M,it was jane singing softly over beyond the rocks.!!!
he was determined now to maintain a more certain hold upon himself,data/l2arctic/ABA/wav/arctic_a0125.wav,ABA,Arabic,M,he was determined now to maintain a more certain hold up on himself.!!!
each day she became a more vital part of him,data/l2arctic/ABA/wav/arctic_a0126.wav,ABA,Arabic,M,each day she became a more vital part of him.!!!
it was a temptation but he resisted it,data/l2arctic/ABA/wav/arctic_a0127.wav,ABA,Arabic,M,"it was a invitation, but he resisted it.!!!"
this one hope was destroyed as quickly as it was born,data/l2arctic/ABA/wav/arctic_a0128.wav,ABA,Arabic,M,"this one, hope was destroyed as quickly as it was for.!!!"
her face was against his breast,data/l2arctic/ABA/wav/arctic_a0129.wav,ABA,Arabic,M,her face was against his breast.!!!
she was his now forever,data/l2arctic/ABA/wav/arctic_a0130.wav,ABA,Arabic,M,she was his now forever.!!!
providence had delivered him through the maelstrom,data/l2arctic/ABA/wav/arctic_a0131.wav,ABA,Arabic,M,providence had delivered him through the mail store.!!!
a cry of joy burst from philips lips,data/l2arctic/ABA/wav/arctic_a0132.wav,ABA,Arabic,M,a cry of joy perced from a flip-slips.!!!
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/ABA/wav/arctic_a0133.wav,ABA,Arabic,M,flip began to feed that. he had foolishly over-estimated his strength.!!!
he obeyed the pressure of her hand,data/l2arctic/ABA/wav/arctic_a0134.wav,ABA,Arabic,M,he opaied the pressure of her hand.!!!
i am going to surprise father and you will go with pierre,data/l2arctic/ABA/wav/arctic_a0135.wav,ABA,Arabic,M,i am going to surprise father and you will go with pier.!!!
then he stepped back with a low cry of pleasure,data/l2arctic/ABA/wav/arctic_a0137.wav,ABA,Arabic,M,"then, he stepped back with a low cry of a pleasure.!!!"
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/ABA/wav/arctic_a0138.wav,ABA,Arabic,M,"in the picture, he saw each moment a greater resemblance to jean.!!!"
he told himself that as he washed himself and groomed his disheveled clothes,data/l2arctic/ABA/wav/arctic_a0139.wav,ABA,Arabic,M,"he told himself that, as he watched himself and groomed his disabled glows.!!!"
accept a fathers blessing and with it this,data/l2arctic/ABA/wav/arctic_a0140.wav,ABA,Arabic,M,accept a father's blessing and with it this.!!!
it seems like a strange pointing of the hand of god,data/l2arctic/ABA/wav/arctic_a0141.wav,ABA,Arabic,M,it seems like a strange pointing of the hand of god.!!!
such things had occurred before he told philip,data/l2arctic/ABA/wav/arctic_a0142.wav,ABA,Arabic,M,such things had occurred before he told flip.!!!
ah i had forgotten he exclaimed,data/l2arctic/ABA/wav/arctic_a0143.wav,ABA,Arabic,M,"ah, i had forgotten how execlaimed.!!!"
but there was something even more startling than this resemblance,data/l2arctic/ABA/wav/arctic_a0144.wav,ABA,Arabic,M,but there was something even more startling than this simple lens.!!!
i have to be careful of them as they tear very easily,data/l2arctic/ABA/wav/arctic_a0145.wav,ABA,Arabic,M,i have to be careful of them as they tear very easily.!!!
of course that is uninteresting she continued,data/l2arctic/ABA/wav/arctic_a0146.wav,ABA,Arabic,M,"of course, that is uninteresting, she continued.!!!"
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/ABA/wav/arctic_a0147.wav,ABA,Arabic,M,a moment before he was intoxicated by a joy that was almost madness.!!!
now these things had been struck dead within him,data/l2arctic/ABA/wav/arctic_a0148.wav,ABA,Arabic,M,"now these things had been struck, did within him.!!!"
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/ABA/wav/arctic_a0149.wav,ABA,Arabic,M,for an instant he is so very drawn like a silhouette against the sky.!!!
goodbye pierre he shouted,data/l2arctic/ABA/wav/arctic_a0150.wav,ABA,Arabic,M,"goodbye, perry, he shouted.!!!"
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/ABA/wav/arctic_a0151.wav,ABA,Arabic,M,and macdougal was beyond the trail with three weeks to spare.!!!
philip thrust himself against it and entered,data/l2arctic/ABA/wav/arctic_a0152.wav,ABA,Arabic,M,"flip, thrust himself against it and entered.!!!"
he was smooth shaven and his hair and eyes were black,data/l2arctic/ABA/wav/arctic_a0154.wav,ABA,Arabic,M,he was most shaving and his hair and eyes were black.!!!
wont you draw up gentlemen,data/l2arctic/ABA/wav/arctic_a0155.wav,ABA,Arabic,M,will note you draw up gentlemen
a strange fire burned in his eyes when thorpe turned,data/l2arctic/ABA/wav/arctic_a0156.wav,ABA,Arabic,M,a strange fire burned in his eyes when thorb turned.
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/ABA/wav/arctic_a0157.wav,ABA,Arabic,M,"he had a warship here, as a dandy might have warshiped petrace."
they look as though he had been drumming a piano all his life,data/l2arctic/ABA/wav/arctic_a0159.wav,ABA,Arabic,M,"they look as so, he had been drumming a piano all his life."
you want to go over and see his gang throw dirt,data/l2arctic/ABA/wav/arctic_a0160.wav,ABA,Arabic,M,you want to go over and see his gang through the earth.
take away their foreman and they wouldnt be worth their grub,data/l2arctic/ABA/wav/arctic_a0161.wav,ABA,Arabic,M,take away their foreman and they wouldn't be worth their grub.
thats the sub foreman explained thorpe,data/l2arctic/ABA/wav/arctic_a0162.wav,ABA,Arabic,M,that's the subformal explained thorpe.
philip made no effort to follow,data/l2arctic/ABA/wav/arctic_a0163.wav,ABA,Arabic,M,flaped made no effort to follow.
he came first a year ago and revealed himself to jeanne,data/l2arctic/ABA/wav/arctic_a0164.wav,ABA,Arabic,M,he came first a year ago and revealed himself to jane.
they are to attack your camp tomorrow night,data/l2arctic/ABA/wav/arctic_a0165.wav,ABA,Arabic,M,they are to attack your camp tomorrow night.
two days ago jeanne learned where her fathers men were hiding,data/l2arctic/ABA/wav/arctic_a0166.wav,ABA,Arabic,M,"two days ago, jean learned where her father's men were hiding."
i was near the cabin and saw you,data/l2arctic/ABA/wav/arctic_a0167.wav,ABA,Arabic,M,i was near the cabin and saw you.
a low bush whipped him in the face and left no sting,data/l2arctic/ABA/wav/arctic_a0168.wav,ABA,Arabic,M,a low push with the him in the face and the left nos think.
suddenly jeanne stopped for an instant,data/l2arctic/ABA/wav/arctic_a0169.wav,ABA,Arabic,M,"suddenly, jane stopped the 4n instant."
there was none of the joy of meeting in his face,data/l2arctic/ABA/wav/arctic_a0170.wav,ABA,Arabic,M,there was none of the joy of meeting in his face.
gregson had left the outer door slightly ajar,data/l2arctic/ABA/wav/arctic_a0172.wav,ABA,Arabic,M,grickson had lived the outer door slightly ajar.
the date was nearly eighteen years old,data/l2arctic/ABA/wav/arctic_a0173.wav,ABA,Arabic,M,the date was nearly 18 years old.
they were the presage of storm,data/l2arctic/ABA/wav/arctic_a0174.wav,ABA,Arabic,M,they wear the pressage of storm.
down there the earth was already swelling with life,data/l2arctic/ABA/wav/arctic_a0175.wav,ABA,Arabic,M,down there the air was already swimming with life.
for the first time in his life he was yearning for a scrap,data/l2arctic/ABA/wav/arctic_a0176.wav,ABA,Arabic,M,for the first time in his life. he was yearning for a scrap.
she had been thoroughly and efficiently mauled,data/l2arctic/ABA/wav/arctic_a0177.wav,ABA,Arabic,M,she had been throughly and efficiently moulded.
every bone in her aged body seemed broken or dislocated,data/l2arctic/ABA/wav/arctic_a0178.wav,ABA,Arabic,M,every bone in her edged body seemed broken or dislocated.
tomorrow im going after that bear he said,data/l2arctic/ABA/wav/arctic_a0179.wav,ABA,Arabic,M,"tomorrow, i am going after that beer he said."
if not lets say our prayers and go to bed,data/l2arctic/ABA/wav/arctic_a0180.wav,ABA,Arabic,M,"if not, let's say our prayers and go to bed."
so cheer up and give us your paw,data/l2arctic/ABA/wav/arctic_a0181.wav,ABA,Arabic,M,so cheer up and they give us your vote.
this time he did not yap for mercy,data/l2arctic/ABA/wav/arctic_a0182.wav,ABA,Arabic,M,this time he didn't eapp for mercy.
and the air was growing chilly,data/l2arctic/ABA/wav/arctic_a0183.wav,ABA,Arabic,M,and the air was growing chilly.
dont you see im chewing this thing in two,data/l2arctic/ABA/wav/arctic_a0184.wav,ABA,Arabic,M,don't you see? i'm showing this thing into.
the questions may have come vaguely in his mind,data/l2arctic/ABA/wav/arctic_a0185.wav,ABA,Arabic,M,the questions may have come vaguely in his mind.
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/ABA/wav/arctic_a0186.wav,ABA,Arabic,M,"like a flesh, he launched himself into the feathered mass of the old."
ahead of them they saw a glimmer of sunshine,data/l2arctic/ABA/wav/arctic_a0187.wav,ABA,Arabic,M,"ahead of them, they saw a glimmer of sunshine."
the big eyed clucking moose birds were most annoying,data/l2arctic/ABA/wav/arctic_a0189.wav,ABA,Arabic,M,"the big eyed, clocking most per this were most annoying."
next to them the canada jays were most persistent,data/l2arctic/ABA/wav/arctic_a0190.wav,ABA,Arabic,M,"next to him, the canada jays were most persistent."
for a time the exciting thrill of his adventure was gone,data/l2arctic/ABA/wav/arctic_a0191.wav,ABA,Arabic,M,"for a time, the existing thrill of his adventure was gone."
he did not rush in,data/l2arctic/ABA/wav/arctic_a0192.wav,ABA,Arabic,M,he didn't rush in.
it was edged with ice,data/l2arctic/ABA/wav/arctic_a0193.wav,ABA,Arabic,M,it was edged with ice.
he drank of the water cautiously,data/l2arctic/ABA/wav/arctic_a0194.wav,ABA,Arabic,M,a drink of the water cautiously.
