transcription,path_to_audio,speaker_id,native_language,gender,sewd_tiny_transcriptions
his face was streaming with blood,data/l2arctic/ABA/wav/arctic_a0082.wav,ABA,Arabic,M,his face was treaming with bloot
a shadow was creeping over pierres eyes,data/l2arctic/ABA/wav/arctic_a0083.wav,ABA,Arabic,M,a sheadow was creeping over bearedth eyes
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/ABA/wav/arctic_a0084.wav,ABA,Arabic,M,scarocely had he uttered venium when paros glosing eyes shut open
death had come with terrible suddenness,data/l2arctic/ABA/wav/arctic_a0086.wav,ABA,Arabic,M,dith had come with teriple sedness
philip bent lower and stared into the face of the dead man,data/l2arctic/ABA/wav/arctic_a0087.wav,ABA,Arabic,M,flipp pint loer and stared into the face over the did men
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/ABA/wav/arctic_a0088.wav,ABA,Arabic,M,he made sure that the magazine was loaded and essumed his budling
the night glow was treacherous to shoot by,data/l2arctic/ABA/wav/arctic_a0089.wav,ABA,Arabic,M,then it glew was tricerous to shootby
the singing voice approached rapidly,data/l2arctic/ABA/wav/arctic_a0090.wav,ABA,Arabic,M,vesinging voice approached rabidly
his blood grew hot with rage at the thought,data/l2arctic/ABA/wav/arctic_a0091.wav,ABA,Arabic,M,his blood grew hot was rage ad the thorght
he went down in midstream searching the shadows of both shores,data/l2arctic/ABA/wav/arctic_a0092.wav,ABA,Arabic,M,he wente ouan in midis tream sarching the sheaders of poorth shores
for a full minute he crouched and listened,data/l2arctic/ABA/wav/arctic_a0093.wav,ABA,Arabic,M,for a full minute he croached and listened
he had barely entered this when he saw the glow of a fire,data/l2arctic/ABA/wav/arctic_a0094.wav,ABA,Arabic,M,he had batrly entered this when he saw the glow of a fire
a big canvas tent was the first thing to come within his vision,data/l2arctic/ABA/wav/arctic_a0095.wav,ABA,Arabic,M,a big conves ten to wa the first thing tol come within his vision
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/ABA/wav/arctic_a0096.wav,ABA,Arabic,M,perhaps she had already mit hir fait a little deeber in the first
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/ABA/wav/arctic_a0097.wav,ABA,Arabic,M,them you can uringe youselv comfortably among these ropes in the bol
shall i carry you,data/l2arctic/ABA/wav/arctic_a0098.wav,ABA,Arabic,M,shall i cel you
a maddening joy pounded in his brain,data/l2arctic/ABA/wav/arctic_a0099.wav,ABA,Arabic,M,medoning joy bounded in his prin
you must sleep he urged,data/l2arctic/ABA/wav/arctic_a0100.wav,ABA,Arabic,M,you most sleep a urgit
you you wouldnt keep the truth from me,data/l2arctic/ABA/wav/arctic_a0101.wav,ABA,Arabic,M,you you than to give the truth from me
but there came no promise from the bow of the canoe,data/l2arctic/ABA/wav/arctic_a0103.wav,ABA,Arabic,M,but there came no promise from the poo of the cano
she was sleeping under his protection as sweetly as a child,data/l2arctic/ABA/wav/arctic_a0104.wav,ABA,Arabic,M,she was leabing under his protiction as is weitly as a child
only it is so wonderful so almost impossible to believe,data/l2arctic/ABA/wav/arctic_a0105.wav,ABA,Arabic,M,only its so wonderful so almost impossible to blieve
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/ABA/wav/arctic_a0106.wav,ABA,Arabic,M,the emotion which she had supressed pursed forth now in a choking sop
if you only could know how i thank you,data/l2arctic/ABA/wav/arctic_a0107.wav,ABA,Arabic,M,if you only could know how i thank you
he waded into the edge of the water and began scrubbing himself,data/l2arctic/ABA/wav/arctic_a0108.wav,ABA,Arabic,M,he waided into the age of the water and begun scropping himself
do you know that you are shaking my confidence in you,data/l2arctic/ABA/wav/arctic_a0109.wav,ABA,Arabic,M,o you know that you are shaking my qunfidence in you
much replied jeanne as tersely,data/l2arctic/ABA/wav/arctic_a0110.wav,ABA,Arabic,M,much orblegin as terestly
instead he joined her and they ate like two hungry children,data/l2arctic/ABA/wav/arctic_a0111.wav,ABA,Arabic,M,inistead he juned here and the eight like to hangry children
he was wounded in the arm,data/l2arctic/ABA/wav/arctic_a0112.wav,ABA,Arabic,M,he was wanded in the ourm
i suppose you picked that lingo up among the indians,data/l2arctic/ABA/wav/arctic_a0113.wav,ABA,Arabic,M,i suppose you'll big that lango up among the indians
her words sent a strange chill through philip,data/l2arctic/ABA/wav/arctic_a0114.wav,ABA,Arabic,M,herewar the scent a tranghe chill throuw flip
he had no excuse for the feelings which were aroused in him,data/l2arctic/ABA/wav/arctic_a0115.wav,ABA,Arabic,M,he had no execuse for the feedings which we're arosed in him
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/ABA/wav/arctic_a0116.wav,ABA,Arabic,M,was it that in te vo of those whoweare triving to wark his ruin
she added with genuine sympathy in her face and voice,data/l2arctic/ABA/wav/arctic_a0117.wav,ABA,Arabic,M,she added wis ginian thympthy in hyface ond the voice
pierre obeys me when we are together,data/l2arctic/ABA/wav/arctic_a0118.wav,ABA,Arabic,M,ber opayse me who when we are together
my right foot feels like that of a chinese debutante,data/l2arctic/ABA/wav/arctic_a0120.wav,ABA,Arabic,M,my rite foot feeds te like that of a chines dipotant
they ate dinner at the fifth and rested for two hours,data/l2arctic/ABA/wav/arctic_a0121.wav,ABA,Arabic,M,the it dinner at the fifth and risted for two ours
two years ago i gave up civilization for this,data/l2arctic/ABA/wav/arctic_a0122.wav,ABA,Arabic,M,to years ago i give up civilization for thith
she had died from cold and starvation,data/l2arctic/ABA/wav/arctic_a0123.wav,ABA,Arabic,M,she had lied from cold and starvation
it was jeanne singing softly over beyond the rocks,data/l2arctic/ABA/wav/arctic_a0124.wav,ABA,Arabic,M,it was gin sanging softily over beyond the roks
he was determined now to maintain a more certain hold upon himself,data/l2arctic/ABA/wav/arctic_a0125.wav,ABA,Arabic,M,he was determined now to maintain a more sertin hold up on himself
each day she became a more vital part of him,data/l2arctic/ABA/wav/arctic_a0126.wav,ABA,Arabic,M,itiday she became a more vital part of him
it was a temptation but he resisted it,data/l2arctic/ABA/wav/arctic_a0127.wav,ABA,Arabic,M,it was at imbitation but he resisted it
this one hope was destroyed as quickly as it was born,data/l2arctic/ABA/wav/arctic_a0128.wav,ABA,Arabic,M,this one hope was distroyed as quickly as it was poor
her face was against his breast,data/l2arctic/ABA/wav/arctic_a0129.wav,ABA,Arabic,M,his face was against his prist
she was his now forever,data/l2arctic/ABA/wav/arctic_a0130.wav,ABA,Arabic,M,she was his now for ever
providence had delivered him through the maelstrom,data/l2arctic/ABA/wav/arctic_a0131.wav,ABA,Arabic,M,providence had delivered him through ze malistor
a cry of joy burst from philips lips,data/l2arctic/ABA/wav/arctic_a0132.wav,ABA,Arabic,M,a cry of joy perset from a flip'slips
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/ABA/wav/arctic_a0133.wav,ABA,Arabic,M,flib begun to fee that he had foolishly over istimated hith strenth
he obeyed the pressure of her hand,data/l2arctic/ABA/wav/arctic_a0134.wav,ABA,Arabic,M,he opayed the prissure of hair hand
i am going to surprise father and you will go with pierre,data/l2arctic/ABA/wav/arctic_a0135.wav,ABA,Arabic,M,i am going to surprise father and you will go with birrer
then he stepped back with a low cry of pleasure,data/l2arctic/ABA/wav/arctic_a0137.wav,ABA,Arabic,M,zin he stipped back with a locry of a pleasure
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/ABA/wav/arctic_a0138.wav,ABA,Arabic,M,in the picture his so itch moment a glater resemplence to gine
he told himself that as he washed himself and groomed his disheveled clothes,data/l2arctic/ABA/wav/arctic_a0139.wav,ABA,Arabic,M,he told himself that as he warged himself and tegoumed his decheveled glothus
accept a fathers blessing and with it this,data/l2arctic/ABA/wav/arctic_a0140.wav,ABA,Arabic,M,excippt a farther 's plissinc and with it this
it seems like a strange pointing of the hand of god,data/l2arctic/ABA/wav/arctic_a0141.wav,ABA,Arabic,M,it seems like a strenge pointing of the hand of got
such things had occurred before he told philip,data/l2arctic/ABA/wav/arctic_a0142.wav,ABA,Arabic,M,such things had ocared before he tolled flip
ah i had forgotten he exclaimed,data/l2arctic/ABA/wav/arctic_a0143.wav,ABA,Arabic,M,pa i had forgotten execlimt
but there was something even more startling than this resemblance,data/l2arctic/ABA/wav/arctic_a0144.wav,ABA,Arabic,M,but there was something even more startling than this esimplince
i have to be careful of them as they tear very easily,data/l2arctic/ABA/wav/arctic_a0145.wav,ABA,Arabic,M,i have to be careful or them as they tear very easily
of course that is uninteresting she continued,data/l2arctic/ABA/wav/arctic_a0146.wav,ABA,Arabic,M,of course that is uninterristing she continued
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/ABA/wav/arctic_a0147.wav,ABA,Arabic,M,a moment before he was intocicateed by a joy that was almost madness
now these things had been struck dead within him,data/l2arctic/ABA/wav/arctic_a0148.wav,ABA,Arabic,M,now thee things had been struck did within him
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/ABA/wav/arctic_a0149.wav,ABA,Arabic,M,for an innostant he so parl dron like as to the wit against the sky
goodbye pierre he shouted,data/l2arctic/ABA/wav/arctic_a0150.wav,ABA,Arabic,M,goodby burry he shouted
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/ABA/wav/arctic_a0151.wav,ABA,Arabic,M,and madogel was beyond the trale with three weeks to spir
philip thrust himself against it and entered,data/l2arctic/ABA/wav/arctic_a0152.wav,ABA,Arabic,M,flip threst himself against it and intert
he was smooth shaven and his hair and eyes were black,data/l2arctic/ABA/wav/arctic_a0154.wav,ABA,Arabic,M,he wastmorth shaven and his hair and eyes werepack
wont you draw up gentlemen,data/l2arctic/ABA/wav/arctic_a0155.wav,ABA,Arabic,M,ounmot you drow up gentenmen
a strange fire burned in his eyes when thorpe turned,data/l2arctic/ABA/wav/arctic_a0156.wav,ABA,Arabic,M,a strengefire burned in his eyes owin thorbe turnet
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/ABA/wav/arctic_a0157.wav,ABA,Arabic,M,he had a worshipped here as a danty might have worshipped pitrice
they look as though he had been drumming a piano all his life,data/l2arctic/ABA/wav/arctic_a0159.wav,ABA,Arabic,M,zeylook as so he had been drumming a pieno all his life
you want to go over and see his gang throw dirt,data/l2arctic/ABA/wav/arctic_a0160.wav,ABA,Arabic,M,you want to go over and see his gung through dirt
take away their foreman and they wouldnt be worth their grub,data/l2arctic/ABA/wav/arctic_a0161.wav,ABA,Arabic,M,take away their for men and they woulden to be warth their grup
thats the sub foreman explained thorpe,data/l2arctic/ABA/wav/arctic_a0162.wav,ABA,Arabic,M,thats is a sob forman explained thorpe
philip made no effort to follow,data/l2arctic/ABA/wav/arctic_a0163.wav,ABA,Arabic,M,flid mad no effort to follow
he came first a year ago and revealed himself to jeanne,data/l2arctic/ABA/wav/arctic_a0164.wav,ABA,Arabic,M,he kim first a yer ago and revealed himself to jen
they are to attack your camp tomorrow night,data/l2arctic/ABA/wav/arctic_a0165.wav,ABA,Arabic,M,they are to attack your cam to morelit
two days ago jeanne learned where her fathers men were hiding,data/l2arctic/ABA/wav/arctic_a0166.wav,ABA,Arabic,M,two days ago genlen dwere her father's men were hiding
i was near the cabin and saw you,data/l2arctic/ABA/wav/arctic_a0167.wav,ABA,Arabic,M,i was nead the kepain and desoyu
a low bush whipped him in the face and left no sting,data/l2arctic/ABA/wav/arctic_a0168.wav,ABA,Arabic,M,a lowbush wived him in the face and delift nosting
suddenly jeanne stopped for an instant,data/l2arctic/ABA/wav/arctic_a0169.wav,ABA,Arabic,M,suddenly ganis tobed tefort an innostant
there was none of the joy of meeting in his face,data/l2arctic/ABA/wav/arctic_a0170.wav,ABA,Arabic,M,there was none of the joy of meeting in his face
gregson had left the outer door slightly ajar,data/l2arctic/ABA/wav/arctic_a0172.wav,ABA,Arabic,M,grickson had lift the outor door slightly azer
the date was nearly eighteen years old,data/l2arctic/ABA/wav/arctic_a0173.wav,ABA,Arabic,M,the it was nearly itinear's old
they were the presage of storm,data/l2arctic/ABA/wav/arctic_a0174.wav,ABA,Arabic,M,the weare is a pressage of storm
down there the earth was already swelling with life,data/l2arctic/ABA/wav/arctic_a0175.wav,ABA,Arabic,M,thou en there the airs was already swilling with life
for the first time in his life he was yearning for a scrap,data/l2arctic/ABA/wav/arctic_a0176.wav,ABA,Arabic,M,for the first time in his life he was thearning foris crab
she had been thoroughly and efficiently mauled,data/l2arctic/ABA/wav/arctic_a0177.wav,ABA,Arabic,M,she had been throuhly and efficientlymouled
every bone in her aged body seemed broken or dislocated,data/l2arctic/ABA/wav/arctic_a0178.wav,ABA,Arabic,M,everybone in hair edged body seemed broken or this located
tomorrow im going after that bear he said,data/l2arctic/ABA/wav/arctic_a0179.wav,ABA,Arabic,M,to morrow i am going ofter that beer he said
if not lets say our prayers and go to bed,data/l2arctic/ABA/wav/arctic_a0180.wav,ABA,Arabic,M,if not lets say our prayers and the woodobid
so cheer up and give us your paw,data/l2arctic/ABA/wav/arctic_a0181.wav,ABA,Arabic,M,so chit up and to give us beautiful
this time he did not yap for mercy,data/l2arctic/ABA/wav/arctic_a0182.wav,ABA,Arabic,M,this time he did int ap for mercy
and the air was growing chilly,data/l2arctic/ABA/wav/arctic_a0183.wav,ABA,Arabic,M,and the eid was growing chilly
dont you see im chewing this thing in two,data/l2arctic/ABA/wav/arctic_a0184.wav,ABA,Arabic,M,don't you see i'm shuing thist thing into
the questions may have come vaguely in his mind,data/l2arctic/ABA/wav/arctic_a0185.wav,ABA,Arabic,M,that uiscians may have come viguly in his mind
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/ABA/wav/arctic_a0186.wav,ABA,Arabic,M,like a flesh he lunched himself into the fivort mess over the old
ahead of them they saw a glimmer of sunshine,data/l2arctic/ABA/wav/arctic_a0187.wav,ABA,Arabic,M,ahead of them they saw a glimor of sunshine
the big eyed clucking moose birds were most annoying,data/l2arctic/ABA/wav/arctic_a0189.wav,ABA,Arabic,M,the big eyed clucking mos birds were most annowyink
next to them the canada jays were most persistent,data/l2arctic/ABA/wav/arctic_a0190.wav,ABA,Arabic,M,nixt to him the canedages were most presistent
for a time the exciting thrill of his adventure was gone,data/l2arctic/ABA/wav/arctic_a0191.wav,ABA,Arabic,M,for a time the existing fill of his adventure was gune
he did not rush in,data/l2arctic/ABA/wav/arctic_a0192.wav,ABA,Arabic,M,he did in't the rush en
it was edged with ice,data/l2arctic/ABA/wav/arctic_a0193.wav,ABA,Arabic,M,it was eged with ice
he drank of the water cautiously,data/l2arctic/ABA/wav/arctic_a0194.wav,ABA,Arabic,M,his rank over the water cutiously
but a strange thing happened,data/l2arctic/ABA/wav/arctic_a0195.wav,ABA,Arabic,M,bout a terange thing happened
he began to follow the footprints of the dog,data/l2arctic/ABA/wav/arctic_a0196.wav,ABA,Arabic,M,he began to follo the foodprince of the loke
such a dog the wise driver kills or turns loose,data/l2arctic/ABA/wav/arctic_a0197.wav,ABA,Arabic,M,such a doge the wise driver kells ortenislos
sometimes her dreams were filled with visions,data/l2arctic/ABA/wav/arctic_a0198.wav,ABA,Arabic,M,sometimes here dreams were failed with visions
thus had the raw wilderness prepared him for this day,data/l2arctic/ABA/wav/arctic_a0199.wav,ABA,Arabic,M,jus had zherou wilderness prepared him for vizda
