transcription,path_to_audio,speaker_id,native_language,gender,wavlm_large_transcriptions
gregson was asleep when he reentered the cabin,data/l2arctic/ABA/wav/arctic_a0049.wav,ABA,Arabic,M,grikson wals asleep when he reentered the capin
in spite of their absurdity the words affected philip curiously,data/l2arctic/ABA/wav/arctic_a0050.wav,ABA,Arabic,M,in isbit of their absuredity the words affected filib curiously
it was a curious coincidence,data/l2arctic/ABA/wav/arctic_a0052.wav,ABA,Arabic,M,it was a curious coincidence
suddenly his fingers closed tightly over the handkerchief,data/l2arctic/ABA/wav/arctic_a0053.wav,ABA,Arabic,M,sudenly his fingers closed tigtly over the handkerchief
there was nothing on the rock,data/l2arctic/ABA/wav/arctic_a0054.wav,ABA,Arabic,M,there was nosing on the rok
philip stood undecided his ears strained to catch the slightest sound,data/l2arctic/ABA/wav/arctic_a0055.wav,ABA,Arabic,M,filip stod undecided his ears straned to catch the slightest sound
pearces little eyes were fixed on him shrewdly,data/l2arctic/ABA/wav/arctic_a0056.wav,ABA,Arabic,M,pers is little eyes were fixed on him shruwedly
i have no idea replied philip,data/l2arctic/ABA/wav/arctic_a0057.wav,ABA,Arabic,M,i have no idea replied fhilip
i came for information more out of curiosity than anything else,data/l2arctic/ABA/wav/arctic_a0058.wav,ABA,Arabic,M,i came for information more out of curiosity than anything else
his immaculate appearance was gone,data/l2arctic/ABA/wav/arctic_a0059.wav,ABA,Arabic,M,his imiculate appearance was gon
anyway no one saw her like that,data/l2arctic/ABA/wav/arctic_a0060.wav,ABA,Arabic,M,in a way no one so haer like that
philip snatched at the letter which gregson held out to him,data/l2arctic/ABA/wav/arctic_a0061.wav,ABA,Arabic,M,flibsnatched at the litter which grikson held out to him
the men stared into each others face,data/l2arctic/ABA/wav/arctic_a0062.wav,ABA,Arabic,M,the men stared into each others face
yes it was a man who asked a stranger,data/l2arctic/ABA/wav/arctic_a0063.wav,ABA,Arabic,M,yes it was a man who asked a stranger
the fourth and fifth days passed without any developments,data/l2arctic/ABA/wav/arctic_a0064.wav,ABA,Arabic,M,the fourth and fifth daes passed without any developments
they closed now until his fingers were like cords of steel,data/l2arctic/ABA/wav/arctic_a0065.wav,ABA,Arabic,M,they closed now until his fingers were like cordes of steel
he saw jeanne falter for a moment,data/l2arctic/ABA/wav/arctic_a0066.wav,ABA,Arabic,M,he saw gen filter for a momentt
surely i will excuse you she cried,data/l2arctic/ABA/wav/arctic_a0067.wav,ABA,Arabic,M,surely i will execuse you she cried
from that moment his friendship for belize turns to hatred and jealousy,data/l2arctic/ABA/wav/arctic_a0017.wav,ABA,Arabic,M,from that moment his friendship foreplies turneis to hatterd and jealousy
men of seldens stamp dont stop at women and children,data/l2arctic/ABA/wav/arctic_a0034.wav,ABA,Arabic,M,men of seldens stamp dont stop at woman and the children
the lace was of a delicate ivory color faintly tinted with yellow,data/l2arctic/ABA/wav/arctic_a0051.wav,ABA,Arabic,M,the lace was of a delicate evori color faintly tinted with yellow
in a flash philip followed its direction,data/l2arctic/ABA/wav/arctic_a0068.wav,ABA,Arabic,M,in a flesh flip followed its direction
a trickle of fresh blood ran over his face,data/l2arctic/ABA/wav/arctic_a0085.wav,ABA,Arabic,M,a tricle of fresh blud run over his faice
he will follow us soon,data/l2arctic/ABA/wav/arctic_a0102.wav,ABA,Arabic,M,he will folo as soon
jeanne was turning the bow shoreward,data/l2arctic/ABA/wav/arctic_a0119.wav,ABA,Arabic,M,jenwas turning the pow shurward
about him everywhere were the evidences of luxury and of age,data/l2arctic/ABA/wav/arctic_a0136.wav,ABA,Arabic,M,about him everywhere were the evidence of a luxury and of age
macdougall tapped his forehead suspiciously with a stubby forefinger,data/l2arctic/ABA/wav/arctic_a0153.wav,ABA,Arabic,M,magdogl tabbed his forehead suspiciously with a stabby forfinger
and when you come back in a few days bring eileen,data/l2arctic/ABA/wav/arctic_a0171.wav,ABA,Arabic,M,and when you come back in a few days prng elin
two gigantic owls were tearing at the carcass,data/l2arctic/ABA/wav/arctic_a0188.wav,ABA,Arabic,M,two gigantic ouls were teering at the carcas
from now on were pals,data/l2arctic/ABA/wav/arctic_a0205.wav,ABA,Arabic,M,from now on we are pulls
what part of the united states is your home,data/l2arctic/ABA/wav/arctic_a0222.wav,ABA,Arabic,M,what part of the nice states is your home
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/ABA/wav/arctic_a0239.wav,ABA,Arabic,M,he cried in such a genian dismay that she broke into ahearty loufter
see the length of the body and that elongated neck,data/l2arctic/ABA/wav/arctic_a0256.wav,ABA,Arabic,M,se the linse of the body and that illungated nick
it was his intention to return to eileen and her father,data/l2arctic/ABA/wav/arctic_a0069.wav,ABA,Arabic,M,it was his intention to return to ilin and heir father
he would first hunt up gregson and begin his work there,data/l2arctic/ABA/wav/arctic_a0070.wav,ABA,Arabic,M,he would first hant ub grikson and begin his wark there
what was the object of your little sensation,data/l2arctic/ABA/wav/arctic_a0071.wav,ABA,Arabic,M,what was the object of your little sensation
but who was eileens double,data/l2arctic/ABA/wav/arctic_a0072.wav,ABA,Arabic,M,but who was ilians douple
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/ABA/wav/arctic_a0073.wav,ABA,Arabic,M,the brumeters eyes were heavy with little puffy bogs under them
and now down there eileen was waiting for him,data/l2arctic/ABA/wav/arctic_a0074.wav,ABA,Arabic,M,and now down there iline was waiting for him
there has been a change she interrupted him,data/l2arctic/ABA/wav/arctic_a0075.wav,ABA,Arabic,M,there has been a change she interrupted him
the gray eyes faltered the flush deepened,data/l2arctic/ABA/wav/arctic_a0076.wav,ABA,Arabic,M,the gry eyes filtored the flush deppent
it is the fire partly she said,data/l2arctic/ABA/wav/arctic_a0077.wav,ABA,Arabic,M,it is the fire partly she said
then and at supper he tried to fathom her,data/l2arctic/ABA/wav/arctic_a0078.wav,ABA,Arabic,M,then and at supper he tried to fottom hair
it was a large canoe,data/l2arctic/ABA/wav/arctic_a0079.wav,ABA,Arabic,M,it was a large ceno
what if jeanne failed him,data/l2arctic/ABA/wav/arctic_a0080.wav,ABA,Arabic,M,what if jn filled him
what if she did not come to the rock,data/l2arctic/ABA/wav/arctic_a0081.wav,ABA,Arabic,M,what if she diddnt come to the rook
his face was streaming with blood,data/l2arctic/ABA/wav/arctic_a0082.wav,ABA,Arabic,M,his face was streaming with blood
a shadow was creeping over pierres eyes,data/l2arctic/ABA/wav/arctic_a0083.wav,ABA,Arabic,M,a shadow was creebing over beears eyes
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/ABA/wav/arctic_a0084.wav,ABA,Arabic,M,scarrecly had he uttered the name when pers closing eyes shut open
death had come with terrible suddenness,data/l2arctic/ABA/wav/arctic_a0086.wav,ABA,Arabic,M,dith had come with teribule sadness
philip bent lower and stared into the face of the dead man,data/l2arctic/ABA/wav/arctic_a0087.wav,ABA,Arabic,M,flippent lower and stared into the face of the ded man
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/ABA/wav/arctic_a0088.wav,ABA,Arabic,M,he made sure that the magazine was loaded and resumed his budling
the night glow was treacherous to shoot by,data/l2arctic/ABA/wav/arctic_a0089.wav,ABA,Arabic,M,the night glo was tricherous to shuot by
the singing voice approached rapidly,data/l2arctic/ABA/wav/arctic_a0090.wav,ABA,Arabic,M,the singing voice approached rapidly
his blood grew hot with rage at the thought,data/l2arctic/ABA/wav/arctic_a0091.wav,ABA,Arabic,M,his blood grew hot with rage at the thoght
he went down in midstream searching the shadows of both shores,data/l2arctic/ABA/wav/arctic_a0092.wav,ABA,Arabic,M,he went down in midstream searching the shadows of poth shores
for a full minute he crouched and listened,data/l2arctic/ABA/wav/arctic_a0093.wav,ABA,Arabic,M,for a full minute he croched and listened
he had barely entered this when he saw the glow of a fire,data/l2arctic/ABA/wav/arctic_a0094.wav,ABA,Arabic,M,he had barly entered this when he saw the glow of a fire
a big canvas tent was the first thing to come within his vision,data/l2arctic/ABA/wav/arctic_a0095.wav,ABA,Arabic,M,a big canvas tint was the first thing to come within his vision
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/ABA/wav/arctic_a0096.wav,ABA,Arabic,M,prehaps she had already met heir fat a little deeper in the forest
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/ABA/wav/arctic_a0097.wav,ABA,Arabic,M,then you can arrange yourselfe confortably among thes robes in the po
shall i carry you,data/l2arctic/ABA/wav/arctic_a0098.wav,ABA,Arabic,M,shall i carry you
a maddening joy pounded in his brain,data/l2arctic/ABA/wav/arctic_a0099.wav,ABA,Arabic,M,medenink joy bounded in his brain
you must sleep he urged,data/l2arctic/ABA/wav/arctic_a0100.wav,ABA,Arabic,M,you must sleep he urgedt
you you wouldnt keep the truth from me,data/l2arctic/ABA/wav/arctic_a0101.wav,ABA,Arabic,M,you yo wouldnt keep the truth from me
but there came no promise from the bow of the canoe,data/l2arctic/ABA/wav/arctic_a0103.wav,ABA,Arabic,M,but there came no promise from the pou of the cano
she was sleeping under his protection as sweetly as a child,data/l2arctic/ABA/wav/arctic_a0104.wav,ABA,Arabic,M,she was leabing under his protiction as sweetly as a childd
only it is so wonderful so almost impossible to believe,data/l2arctic/ABA/wav/arctic_a0105.wav,ABA,Arabic,M,only its so wonderful so almost impossible to blieve
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/ABA/wav/arctic_a0106.wav,ABA,Arabic,M,the emotion which she had suppressed purssed forth now in a chocking sop
if you only could know how i thank you,data/l2arctic/ABA/wav/arctic_a0107.wav,ABA,Arabic,M,if you onnly could know how i thank you
he waded into the edge of the water and began scrubbing himself,data/l2arctic/ABA/wav/arctic_a0108.wav,ABA,Arabic,M,he weded into the edge of the warter and began scroubbing himself
do you know that you are shaking my confidence in you,data/l2arctic/ABA/wav/arctic_a0109.wav,ABA,Arabic,M,do you know that you are shaking my coinfidence in you
much replied jeanne as tersely,data/l2arctic/ABA/wav/arctic_a0110.wav,ABA,Arabic,M,much replied chain as terestly
instead he joined her and they ate like two hungry children,data/l2arctic/ABA/wav/arctic_a0111.wav,ABA,Arabic,M,in istead he joined hair and they ate like to hungry children
he was wounded in the arm,data/l2arctic/ABA/wav/arctic_a0112.wav,ABA,Arabic,M,he was wanded in the arm
i suppose you picked that lingo up among the indians,data/l2arctic/ABA/wav/arctic_a0113.wav,ABA,Arabic,M,i suppose you big that lingu up among the indians
her words sent a strange chill through philip,data/l2arctic/ABA/wav/arctic_a0114.wav,ABA,Arabic,M,her wor dssent a strange chill thruflip
he had no excuse for the feelings which were aroused in him,data/l2arctic/ABA/wav/arctic_a0115.wav,ABA,Arabic,M,he had no execuse for the feelings which were arosed in him
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/ABA/wav/arctic_a0116.wav,ABA,Arabic,M,was it therindovo of thouse who were striving to wark his ruin
she added with genuine sympathy in her face and voice,data/l2arctic/ABA/wav/arctic_a0117.wav,ABA,Arabic,M,she added wit geniin thympathy in her face and voice
pierre obeys me when we are together,data/l2arctic/ABA/wav/arctic_a0118.wav,ABA,Arabic,M,par opys me w when we are together
my right foot feels like that of a chinese debutante,data/l2arctic/ABA/wav/arctic_a0120.wav,ABA,Arabic,M,my right fot feeds like that of a chinese dibutant
they ate dinner at the fifth and rested for two hours,data/l2arctic/ABA/wav/arctic_a0121.wav,ABA,Arabic,M,they ate  dinner at the fifth and rested for two hours
two years ago i gave up civilization for this,data/l2arctic/ABA/wav/arctic_a0122.wav,ABA,Arabic,M,two years ago i gave up civilization for this
she had died from cold and starvation,data/l2arctic/ABA/wav/arctic_a0123.wav,ABA,Arabic,M,she had died from cold and starvation
it was jeanne singing softly over beyond the rocks,data/l2arctic/ABA/wav/arctic_a0124.wav,ABA,Arabic,M,it was jane singing softly over beyond the rocks
he was determined now to maintain a more certain hold upon himself,data/l2arctic/ABA/wav/arctic_a0125.wav,ABA,Arabic,M,he was determined now to maintain a more certain hold up on himself
each day she became a more vital part of him,data/l2arctic/ABA/wav/arctic_a0126.wav,ABA,Arabic,M,ech day she became a more vital part of him
it was a temptation but he resisted it,data/l2arctic/ABA/wav/arctic_a0127.wav,ABA,Arabic,M,it was a timvitation but he resisted it
this one hope was destroyed as quickly as it was born,data/l2arctic/ABA/wav/arctic_a0128.wav,ABA,Arabic,M,this one hope was destroyed as quickly as it was por
her face was against his breast,data/l2arctic/ABA/wav/arctic_a0129.wav,ABA,Arabic,M,her face was against his prist
she was his now forever,data/l2arctic/ABA/wav/arctic_a0130.wav,ABA,Arabic,M,she was his now forever
providence had delivered him through the maelstrom,data/l2arctic/ABA/wav/arctic_a0131.wav,ABA,Arabic,M,providence had delivered him through ze meli store
a cry of joy burst from philips lips,data/l2arctic/ABA/wav/arctic_a0132.wav,ABA,Arabic,M,a cry of joy pursed from a flips lips
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/ABA/wav/arctic_a0133.wav,ABA,Arabic,M,flip begun to feel that he had foulishly overestimated his strength
he obeyed the pressure of her hand,data/l2arctic/ABA/wav/arctic_a0134.wav,ABA,Arabic,M,he opeyed the pressure of hir hand
i am going to surprise father and you will go with pierre,data/l2arctic/ABA/wav/arctic_a0135.wav,ABA,Arabic,M,i am going to surprise father and you will go with peer
then he stepped back with a low cry of pleasure,data/l2arctic/ABA/wav/arctic_a0137.wav,ABA,Arabic,M,zhen he stepbed back with a low cry of pleasure
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/ABA/wav/arctic_a0138.wav,ABA,Arabic,M,in the picture he saw ech moment a greater resemplance to jane
he told himself that as he washed himself and groomed his disheveled clothes,data/l2arctic/ABA/wav/arctic_a0139.wav,ABA,Arabic,M,he told himself that as he washed himself and groomed his disheveled clothis
accept a fathers blessing and with it this,data/l2arctic/ABA/wav/arctic_a0140.wav,ABA,Arabic,M,accept a fathers plessing and with it this
it seems like a strange pointing of the hand of god,data/l2arctic/ABA/wav/arctic_a0141.wav,ABA,Arabic,M,it seems like a strange pointing of the hand of god
such things had occurred before he told philip,data/l2arctic/ABA/wav/arctic_a0142.wav,ABA,Arabic,M,such things had occured before he told flip
ah i had forgotten he exclaimed,data/l2arctic/ABA/wav/arctic_a0143.wav,ABA,Arabic,M,ah i had forgotten he exclaimed
but there was something even more startling than this resemblance,data/l2arctic/ABA/wav/arctic_a0144.wav,ABA,Arabic,M,but there was something even more startling than this resimplance
i have to be careful of them as they tear very easily,data/l2arctic/ABA/wav/arctic_a0145.wav,ABA,Arabic,M,i have to be careful of them as they teer very easily
of course that is uninteresting she continued,data/l2arctic/ABA/wav/arctic_a0146.wav,ABA,Arabic,M,of course that is uninteresting she continued
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/ABA/wav/arctic_a0147.wav,ABA,Arabic,M,a moment   before he was intoxicated by a joy that was almost madness
now these things had been struck dead within him,data/l2arctic/ABA/wav/arctic_a0148.wav,ABA,Arabic,M,now the things had been struck did within him
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/ABA/wav/arctic_a0149.wav,ABA,Arabic,M,for an inistant he is so perdrone like a srouett against  the sky
goodbye pierre he shouted,data/l2arctic/ABA/wav/arctic_a0150.wav,ABA,Arabic,M,good by bery he shouted
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/ABA/wav/arctic_a0151.wav,ABA,Arabic,M,and mag dugl was beyond the trail with three weeks to spear
philip thrust himself against it and entered,data/l2arctic/ABA/wav/arctic_a0152.wav,ABA,Arabic,M,flip thrust himself against it and entered
he was smooth shaven and his hair and eyes were black,data/l2arctic/ABA/wav/arctic_a0154.wav,ABA,Arabic,M,he was smooth shaven and his hair and eyes were plack
wont you draw up gentlemen,data/l2arctic/ABA/wav/arctic_a0155.wav,ABA,Arabic,M,wi not you drow up gentlemen
a strange fire burned in his eyes when thorpe turned,data/l2arctic/ABA/wav/arctic_a0156.wav,ABA,Arabic,M,a strange fire burnid in his eyes hoin thorp turnit
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/ABA/wav/arctic_a0157.wav,ABA,Arabic,M,he had a worshipped here as a danti might have worshiped pitris
they look as though he had been drumming a piano all his life,data/l2arctic/ABA/wav/arctic_a0159.wav,ABA,Arabic,M,zey looke as sou he had been draming a piano al his life
you want to go over and see his gang throw dirt,data/l2arctic/ABA/wav/arctic_a0160.wav,ABA,Arabic,M,you want to go over and see his gong through dhiart
take away their foreman and they wouldnt be worth their grub,data/l2arctic/ABA/wav/arctic_a0161.wav,ABA,Arabic,M,tak away their foremen and they wden to be worth their grup
thats the sub foreman explained thorpe,data/l2arctic/ABA/wav/arctic_a0162.wav,ABA,Arabic,M,thats the subforman explained thorpe
philip made no effort to follow,data/l2arctic/ABA/wav/arctic_a0163.wav,ABA,Arabic,M,fleybe made no effort to follow
he came first a year ago and revealed himself to jeanne,data/l2arctic/ABA/wav/arctic_a0164.wav,ABA,Arabic,M,he came first a year ago and revealed himself to jene
they are to attack your camp tomorrow night,data/l2arctic/ABA/wav/arctic_a0165.wav,ABA,Arabic,M,they are to attack your camp to morrow night
two days ago jeanne learned where her fathers men were hiding,data/l2arctic/ABA/wav/arctic_a0166.wav,ABA,Arabic,M,two days ago jene learned where her fathers men were hiding
i was near the cabin and saw you,data/l2arctic/ABA/wav/arctic_a0167.wav,ABA,Arabic,M,i was near the capin and saw you
a low bush whipped him in the face and left no sting,data/l2arctic/ABA/wav/arctic_a0168.wav,ABA,Arabic,M,a lowpash wibed him in the face and elift no stink
suddenly jeanne stopped for an instant,data/l2arctic/ABA/wav/arctic_a0169.wav,ABA,Arabic,M,sudenly jeni stoped for an instant
there was none of the joy of meeting in his face,data/l2arctic/ABA/wav/arctic_a0170.wav,ABA,Arabic,M,there was none of the joy of meeting in his face
gregson had left the outer door slightly ajar,data/l2arctic/ABA/wav/arctic_a0172.wav,ABA,Arabic,M,grikson had lift the outer door slightly ajer
the date was nearly eighteen years old,data/l2arctic/ABA/wav/arctic_a0173.wav,ABA,Arabic,M,the date was nearly iteen years old
they were the presage of storm,data/l2arctic/ABA/wav/arctic_a0174.wav,ABA,Arabic,M,they were she precege of storm
down there the earth was already swelling with life,data/l2arctic/ABA/wav/arctic_a0175.wav,ABA,Arabic,M,dowin there the eiirs was already swelling with life
for the first time in his life he was yearning for a scrap,data/l2arctic/ABA/wav/arctic_a0176.wav,ABA,Arabic,M,for the first time in his life he was rning for ascrap
she had been thoroughly and efficiently mauled,data/l2arctic/ABA/wav/arctic_a0177.wav,ABA,Arabic,M,she had been throughly and efficientrymo
every bone in her aged body seemed broken or dislocated,data/l2arctic/ABA/wav/arctic_a0178.wav,ABA,Arabic,M,every bone in heir agid body seemed broken or dis rocated
tomorrow im going after that bear he said,data/l2arctic/ABA/wav/arctic_a0179.wav,ABA,Arabic,M,to morrow i am going after that beer he said
if not lets say our prayers and go to bed,data/l2arctic/ABA/wav/arctic_a0180.wav,ABA,Arabic,M,if not lest say our prayers and  go to bid
so cheer up and give us your paw,data/l2arctic/ABA/wav/arctic_a0181.wav,ABA,Arabic,M,so cher up and tey give us your po
this time he did not yap for mercy,data/l2arctic/ABA/wav/arctic_a0182.wav,ABA,Arabic,M,this tim he didnt ap for mercy
and the air was growing chilly,data/l2arctic/ABA/wav/arctic_a0183.wav,ABA,Arabic,M,and the air was growing chilly
dont you see im chewing this thing in two,data/l2arctic/ABA/wav/arctic_a0184.wav,ABA,Arabic,M,dont you see i m showing shis thing into
the questions may have come vaguely in his mind,data/l2arctic/ABA/wav/arctic_a0185.wav,ABA,Arabic,M,the quistions may have come vaguely in his mind
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/ABA/wav/arctic_a0186.wav,ABA,Arabic,M,like a flesh he lunched himself into the fithered mass of the old
ahead of them they saw a glimmer of sunshine,data/l2arctic/ABA/wav/arctic_a0187.wav,ABA,Arabic,M,ahead of them they saw a glimmer of sunshine
the big eyed clucking moose birds were most annoying,data/l2arctic/ABA/wav/arctic_a0189.wav,ABA,Arabic,M,the big eyed clucking mos berds were most annoying
next to them the canada jays were most persistent,data/l2arctic/ABA/wav/arctic_a0190.wav,ABA,Arabic,M,nixt to them the cannadajes were most presistant
for a time the exciting thrill of his adventure was gone,data/l2arctic/ABA/wav/arctic_a0191.wav,ABA,Arabic,M,for a time the existing thrill of his adventure was gone
he did not rush in,data/l2arctic/ABA/wav/arctic_a0192.wav,ABA,Arabic,M,he didnt  rush in
it was edged with ice,data/l2arctic/ABA/wav/arctic_a0193.wav,ABA,Arabic,M,it was agid with ice
he drank of the water cautiously,data/l2arctic/ABA/wav/arctic_a0194.wav,ABA,Arabic,M,he drank ove the water cautiously
but a strange thing happened,data/l2arctic/ABA/wav/arctic_a0195.wav,ABA,Arabic,M,but a strange thing happened
he began to follow the footprints of the dog,data/l2arctic/ABA/wav/arctic_a0196.wav,ABA,Arabic,M,he began to follow the foodprints of the dok
such a dog the wise driver kills or turns loose,data/l2arctic/ABA/wav/arctic_a0197.wav,ABA,Arabic,M,such a doog the wise driver kells or tenislos
sometimes her dreams were filled with visions,data/l2arctic/ABA/wav/arctic_a0198.wav,ABA,Arabic,M,sometimes heir dreams were filled with visions
thus had the raw wilderness prepared him for this day,data/l2arctic/ABA/wav/arctic_a0199.wav,ABA,Arabic,M,zos had zeroa wilderness prepared him for this day
he leapt again and the club caught him once more,data/l2arctic/ABA/wav/arctic_a0200.wav,ABA,Arabic,M,he lipped again and the club caught him once more
